"SourcePage","Date","Home","Away","Score","Source","Country","Competition","CompetitionType","Tier","League","Season","Stage","Result"
"1992–93 UEFA Champions League preliminary round",1992-08-19,"KÍ","Skonto","1-3","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League preliminary round",1992-08-19,"Olimpija Ljubljana","Norma Tallinn","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League preliminary round",1992-08-19,"Shelbourne","Tavriya Simferopol","0-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"D"
"1992–93 UEFA Champions League preliminary round",1992-08-19,"Valletta","Maccabi Tel Aviv","1-2","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League preliminary round",1992-09-02,"Maccabi Tel Aviv","Valletta","1-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League preliminary round",1992-09-02,"Norma Tallinn","Olimpija Ljubljana","0-2","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League preliminary round",1992-09-02,"Skonto","KÍ","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League preliminary round",1992-09-02,"Tavriya Simferopol","Shelbourne","2-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"AEK Athens","APOEL","1-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"D"
"1992–93 UEFA Champions League first round",1992-09-16,"Austria Wien","CSKA Sofia","3-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Barcelona","Viking","1-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Glentoran","Marseille","0-5","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League first round",1992-09-16,"IFK Göteborg","Beşiktaş","2-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Kuusysi","Dinamo București","1-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Lech Poznań","Skonto","2-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Maccabi Tel Aviv","Club Brugge","0-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League first round",1992-09-16,"Milan","Olimpija Ljubljana","4-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"PSV Eindhoven","Žalgiris","6-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Rangers","Lyngby","2-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Sion","Tavriya Simferopol","4-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Slovan Bratislava","Ferencváros","4-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Union Luxembourg","Porto","1-4","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League first round",1992-09-16,"VfB Stuttgart","Leeds United","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-16,"Víkingur Reykjavík","CSKA Moscow","0-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League first round",1992-09-30,"APOEL","AEK Athens","2-2","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"D"
"1992–93 UEFA Champions League first round",1992-09-30,"Beşiktaş","IFK Göteborg","2-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"CSKA Moscow","Víkingur Reykjavík","4-2","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"CSKA Sofia","Austria Wien","3-2","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"Club Brugge","Maccabi Tel Aviv","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"Dinamo București","Kuusysi","2-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"Ferencváros","Slovan Bratislava","0-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"D"
"1992–93 UEFA Champions League first round",1992-09-30,"Leeds United","VfB Stuttgart","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"Lyngby","Rangers","0-1","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
"1992–93 UEFA Champions League first round",1992-09-30,"Marseille","Glentoran","3-0","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"H"
"1992–93 UEFA Champions League first round",1992-09-30,"Olimpija Ljubljana","Milan","0-3","Wikipedia","Europe","UEFA 1st Division","Continental",1,"UEFA 1st Division","1992-93",NA,"A"
