"Season","RootPage","Pages","Expected","Recovered","MissingDate","MissingHome","MissingAway","MissingScore","DuplicateKeys","Status"
"1993-94","1993–94 UEFA Champions League",6,94,94,0,0,0,0,0,"PASS"
"1994-95","1994–95 UEFA Champions League",4,76,76,0,0,0,0,0,"PASS"
"1995-96","1995–96 UEFA Champions League",4,77,77,0,0,0,0,0,"PASS"
"1996-97","1996–97 UEFA Champions League",4,76,76,0,0,0,0,0,"PASS"
"1997-98","1997–98 UEFA Champions League",4,147,147,0,0,0,1,0,"FAIL"
"1998-99","1998–99 UEFA Champions League",4,148,148,0,0,0,0,0,"PASS"
"1999-2000","1999–00 UEFA Champions League",1,234,0,0,0,0,0,0,"FAIL"
"2000-01","2000–01 UEFA Champions League",6,236,236,0,0,0,0,0,"PASS"
"2001-02","2001–02 UEFA Champions League",6,237,237,0,0,0,0,0,"PASS"
"2002-03","2002–03 UEFA Champions League",7,236,236,0,0,0,0,0,"PASS"
"2003-04","2003–04 UEFA Champions League",4,204,204,0,0,0,0,0,"PASS"
"2004-05","2004–05 UEFA Champions League",4,204,204,0,0,0,0,0,"PASS"
"2005-06","2005–06 UEFA Champions League",4,208,208,0,0,0,0,0,"PASS"
"2006-07","2006–07 UEFA Champions League",4,206,206,0,0,0,0,0,"PASS"
"2007-08","2007–08 UEFA Champions League",4,211,212,0,0,0,0,0,"FAIL"
"2008-09","2008–09 UEFA Champions League",4,212,212,0,0,0,0,0,"PASS"
"2009-10","2009–10 UEFA Champions League",6,212,212,0,0,0,0,0,"PASS"
"2010-11","2010–11 UEFA Champions League",5,212,212,0,0,0,0,0,"PASS"
"2011-12","2011–12 UEFA Champions League",5,212,212,0,0,0,0,0,"PASS"
"2012-13","2012–13 UEFA Champions League",5,212,212,0,0,0,0,0,"PASS"
"2013-14","2013–14 UEFA Champions League",5,212,212,0,0,0,0,0,"PASS"
"2014-15","2014–15 UEFA Champions League",5,214,214,0,0,0,0,0,"PASS"
"2015-16","2015–16 UEFA Champions League",5,216,216,0,0,0,0,0,"PASS"
"2016-17","2016–17 UEFA Champions League",5,216,216,0,0,0,0,0,"PASS"
"2017-18","2017–18 UEFA Champions League",5,218,218,0,0,0,0,0,"PASS"
"2018-19","2018–19 UEFA Champions League",6,215,215,0,0,0,0,0,"PASS"
"2019-20","2019–20 UEFA Champions League",5,209,209,0,0,0,0,0,"PASS"
"2020-21","2020–21 UEFA Champions League",5,177,177,0,0,0,0,0,"PASS"
"2021-22","2021–22 UEFA Champions League",5,217,217,0,0,0,0,0,"PASS"
"2022-23","2022–23 UEFA Champions League",5,213,213,0,0,0,0,0,"PASS"
"2023-24","2023–24 UEFA Champions League",5,213,213,0,0,0,0,0,"PASS"
"2024-25","2024–25 UEFA Champions League",5,134,134,0,0,0,0,0,"PASS"
"2025-26","2025–26 UEFA Champions League",4,136,136,0,0,0,0,0,"PASS"
