"Season","Page","FootballBoxes","ParsedRows","MissingDate","MissingHome","MissingAway","MissingScore"
"1993-94","1993–94 UEFA Champions League",0,0,0,0,0,0
"1993-94","1993–94 UEFA Champions League first round",32,32,0,0,0,0
"1993-94","1993–94 UEFA Champions League group stage",24,24,0,0,0,0
"1993-94","1993–94 UEFA Champions League knockout stage",2,2,0,0,0,0
"1993-94","1993–94 UEFA Champions League preliminary round",20,20,0,0,0,0
"1993-94","1993–94 UEFA Champions League second round",16,16,0,0,0,0
"1994-95","1994–95 UEFA Champions League",0,0,0,0,0,0
"1994-95","1994–95 UEFA Champions League group stage",48,48,0,0,0,0
"1994-95","1994–95 UEFA Champions League knockout stage",12,12,0,0,0,0
"1994-95","1994–95 UEFA Champions League qualifying round",16,16,0,0,0,0
"1995-96","1995–96 UEFA Champions League",0,0,0,0,0,0
"1995-96","1995–96 UEFA Champions League group stage",49,49,0,0,0,0
"1995-96","1995–96 UEFA Champions League knockout stage",12,12,0,0,0,0
"1995-96","1995–96 UEFA Champions League qualifying round",16,16,0,0,0,0
"1996-97","1996–97 UEFA Champions League",0,0,0,0,0,0
"1996-97","1996–97 UEFA Champions League group stage",48,48,0,0,0,0
"1996-97","1996–97 UEFA Champions League knockout stage",12,12,0,0,0,0
"1996-97","1996–97 UEFA Champions League qualifying round",16,16,0,0,0,0
"1997-98","1997–98 UEFA Champions League",0,0,0,0,0,0
"1997-98","1997–98 UEFA Champions League group stage",72,72,0,0,0,0
"1997-98","1997–98 UEFA Champions League knockout stage",12,12,0,0,0,0
"1997-98","1997–98 UEFA Champions League qualifying rounds",63,63,0,0,0,1
"1998-99","1998–99 UEFA Champions League",0,0,0,0,0,0
"1998-99","1998–99 UEFA Champions League group stage",72,72,0,0,0,0
"1998-99","1998–99 UEFA Champions League knockout stage",12,12,0,0,0,0
"1998-99","1998–99 UEFA Champions League qualifying rounds",64,64,0,0,0,0
"1999-2000","1999–00 UEFA Champions League",0,0,0,0,0,0
"2000-01","2000–01 UEFA Champions League",0,0,0,0,0,0
"2000-01","2000–01 UEFA Champions League first group stage",96,96,0,0,0,0
"2000-01","2000–01 UEFA Champions League group stage",96,96,0,0,0,0
"2000-01","2000–01 UEFA Champions League knockout stage",12,12,0,0,0,0
"2000-01","2000–01 UEFA Champions League qualifying rounds",80,80,0,0,0,0
"2000-01","2000–01 UEFA Champions League second group stage",48,48,0,0,0,0
"2001-02","2001–02 UEFA Champions League",0,0,0,0,0,0
"2001-02","2001–02 UEFA Champions League first group stage",96,96,0,0,0,0
"2001-02","2001–02 UEFA Champions League group stage",96,96,0,0,0,0
"2001-02","2001–02 UEFA Champions League knockout stage",12,12,0,0,0,0
"2001-02","2001–02 UEFA Champions League qualifying rounds",81,81,0,0,0,0
"2001-02","2001–02 UEFA Champions League second group stage",48,48,0,0,0,0
"2002-03","2002–03 UEFA Champions League",0,0,0,0,0,0
"2002-03","2002–03 UEFA Champions League first group stage",96,96,0,0,0,0
"2002-03","2002–03 UEFA Champions League group stage",96,96,0,0,0,0
"2002-03","2002–03 UEFA Champions League knockout stage",12,12,0,0,0,0
"2002-03","2002–03 UEFA Champions League qualifying phase",80,80,0,0,0,0
"2002-03","2002–03 UEFA Champions League qualifying rounds",80,80,0,0,0,0
"2002-03","2002–03 UEFA Champions League second group stage",48,48,0,0,0,0
"2003-04","2003–04 UEFA Champions League",0,0,0,0,0,0
"2003-04","2003–04 UEFA Champions League group stage",96,96,0,0,0,0
"2003-04","2003–04 UEFA Champions League knockout stage",28,28,0,0,0,0
"2003-04","2003–04 UEFA Champions League qualifying rounds",80,80,0,0,0,0
"2004-05","2004–05 UEFA Champions League",0,0,0,0,0,0
"2004-05","2004–05 UEFA Champions League group stage",96,96,0,0,0,0
"2004-05","2004–05 UEFA Champions League knockout stage",28,28,0,0,0,0
"2004-05","2004–05 UEFA Champions League qualifying rounds",80,80,0,0,0,0
"2005-06","2005–06 UEFA Champions League",0,0,0,0,0,0
"2005-06","2005–06 UEFA Champions League group stage",96,96,0,0,0,0
"2005-06","2005–06 UEFA Champions League knockout stage",28,28,0,0,0,0
"2005-06","2005–06 UEFA Champions League qualifying rounds",84,84,0,0,0,0
"2006-07","2006–07 UEFA Champions League",0,0,0,0,0,0
"2006-07","2006–07 UEFA Champions League group stage",96,96,0,0,0,0
"2006-07","2006–07 UEFA Champions League knockout stage",28,28,0,0,0,0
"2006-07","2006–07 UEFA Champions League qualifying rounds",82,82,0,0,0,0
"2007-08","2007–08 UEFA Champions League",0,0,0,0,0,0
"2007-08","2007–08 UEFA Champions League group stage",96,96,0,0,0,0
"2007-08","2007–08 UEFA Champions League knockout stage",28,28,0,0,0,0
"2007-08","2007–08 UEFA Champions League qualifying rounds",88,88,0,0,0,0
"2008-09","2008–09 UEFA Champions League",0,0,0,0,0,0
"2008-09","2008–09 UEFA Champions League group stage",96,96,0,0,0,0
"2008-09","2008–09 UEFA Champions League knockout phase",28,28,0,0,0,0
"2008-09","2008–09 UEFA Champions League qualifying rounds",88,88,0,0,0,0
"2009-10","2009–10 UEFA Champions League",0,0,0,0,0,0
"2009-10","2009–10 UEFA Champions League group stage",96,96,0,0,0,0
"2009-10","2009–10 UEFA Champions League knockout phase",28,28,0,0,0,0
"2009-10","2009–10 UEFA Champions League knockout stage",28,28,0,0,0,0
"2009-10","2009–10 UEFA Champions League qualifying",88,88,0,0,0,0
"2009-10","2009–10 UEFA Champions League qualifying phase and play-off round",88,88,0,0,0,0
"2010-11","2010–11 UEFA Champions League",0,0,0,0,0,0
"2010-11","2010–11 UEFA Champions League group stage",96,96,0,0,0,0
"2010-11","2010–11 UEFA Champions League knockout phase",28,28,0,0,0,0
"2010-11","2010–11 UEFA Champions League qualifying",88,88,0,0,0,0
"2010-11","2010–11 UEFA Champions League qualifying phase and play-off round",88,88,0,0,0,0
"2011-12","2011–12 UEFA Champions League",0,0,0,0,0,0
"2011-12","2011–12 UEFA Champions League group stage",96,96,0,0,0,0
"2011-12","2011–12 UEFA Champions League knockout phase",28,28,0,0,0,0
"2011-12","2011–12 UEFA Champions League qualifying",88,88,0,0,0,0
"2011-12","2011–12 UEFA Champions League qualifying phase and play-off round",88,88,0,0,0,0
"2012-13","2012–13 UEFA Champions League",0,0,0,0,0,0
"2012-13","2012–13 UEFA Champions League group stage",96,96,0,0,0,0
"2012-13","2012–13 UEFA Champions League knockout phase",28,28,0,0,0,0
"2012-13","2012–13 UEFA Champions League qualifying",88,88,0,0,0,0
"2012-13","2012–13 UEFA Champions League qualifying phase and play-off round",88,88,0,0,0,0
"2013-14","2013–14 UEFA Champions League",0,0,0,0,0,0
"2013-14","2013–14 UEFA Champions League group stage",96,96,0,0,0,0
"2013-14","2013–14 UEFA Champions League knockout phase",28,28,0,0,0,0
"2013-14","2013–14 UEFA Champions League qualifying",88,88,0,0,0,0
"2013-14","2013–14 UEFA Champions League qualifying phase and play-off round",88,88,0,0,0,0
"2014-15","2014–15 UEFA Champions League",0,0,0,0,0,0
"2014-15","2014–15 UEFA Champions League group stage",96,96,0,0,0,0
"2014-15","2014–15 UEFA Champions League knockout phase",28,28,0,0,0,0
"2014-15","2014–15 UEFA Champions League qualifying",90,90,0,0,0,0
"2014-15","2014–15 UEFA Champions League qualifying phase and play-off round",90,90,0,0,0,0
"2015-16","2015–16 UEFA Champions League",0,0,0,0,0,0
"2015-16","2015–16 UEFA Champions League group stage",96,96,0,0,0,0
"2015-16","2015–16 UEFA Champions League knockout phase",28,28,0,0,0,0
"2015-16","2015–16 UEFA Champions League qualifying",92,92,0,0,0,0
"2015-16","2015–16 UEFA Champions League qualifying phase and play-off round",92,92,0,0,0,0
"2016-17","2016–17 UEFA Champions League",0,0,0,0,0,0
"2016-17","2016–17 UEFA Champions League group stage",96,96,0,0,0,0
"2016-17","2016–17 UEFA Champions League knockout phase",28,28,0,0,0,0
"2016-17","2016–17 UEFA Champions League qualifying",92,92,0,0,0,0
"2016-17","2016–17 UEFA Champions League qualifying phase and play-off round",92,92,0,0,0,0
"2017-18","2017–18 UEFA Champions League",0,0,0,0,0,0
"2017-18","2017–18 UEFA Champions League group stage",96,96,0,0,0,0
"2017-18","2017–18 UEFA Champions League knockout phase",28,28,0,0,0,0
"2017-18","2017–18 UEFA Champions League qualifying",94,94,0,0,0,0
"2017-18","2017–18 UEFA Champions League qualifying phase and play-off round",94,94,0,0,0,0
"2018-19","2018–19 UEFA Champions League",0,0,0,0,0,0
"2018-19","2018–19 UEFA Champions League group stage",96,96,0,0,0,0
"2018-19","2018–19 UEFA Champions League knockout phase",28,28,0,0,0,0
"2018-19","2018–19 UEFA Champions League qualifying",91,91,0,0,0,0
"2018-19","2018–19 UEFA Champions League qualifying phase and play-off round",91,91,0,0,0,0
"2018-19","2018–19 UEFA Champions League qualifying phase and play-offs",91,91,0,0,0,0
"2019-20","2019–20 UEFA Champions League",0,0,0,0,0,0
