"RawName","CanonicalName","ResolutionMethod"
"1. FC Kaiserslautern","Kaiserslautern","Alias table"
"1. FC Köln","Köln","Alias table"
"1. FC Nürnberg","Nürnberg","Alias table"
"17 Nëntori","17 Nëntori","Alias table"
"1860 Munich","1860 Munich","Already canonical in master"
"AaB","AaB","Alias table"
"Aarau","Aarau","Alias table"
"AB","AB","Alias table"
"Aberdeen","Aberdeen","Alias table"
"Admira-NÖ Energie Wien","Admira-NÖ Energie Wien","Alias table"
"AEK Athens","AEK Athens","Alias table"
"AEK Larnaca","AEK Larnaca","Alias table"
"AEL","AEL","Alias table"
"AEL Limassol","AEL Limassol","Alias table"
"AGF","AGF","Already canonical in master"
"AGF Aarhus","AGF Aarhus","Alias table"
"AIK","AIK","Alias table"
"Ajax","Ajax","Alias table"
"Aktobe","Aktobe","Alias table"
"Alania Vladikavkaz","Alania Vladikavkaz","Alias table"
"Alashkert","Alashkert","Alias table"
"Anderlecht","Anderlecht","Alias table"
"Anorthosis Famagusta","Anorthosis Famagusta","Alias table"
"Antwerp","Antwerp","Alias table"
"APOEL","APOEL","Alias table"
"Apollon Limassol","Apollon Limassol","Alias table"
"Araks-Impeks","Araks-Impeks","Alias table"
"Ararat-Armenia","Ararat-Armenia","Already canonical in master"
"Ararat Yerevan","Ararat Yerevan","Alias table"
"Ards","Ards","Alias table"
"Argeș Pitești","Argeș Pitești","Alias table"
"Aris","Aris","Alias table"
"Aris Bonnevoie","Aris Bonnevoie","Alias table"
"Aris Limassol","Aris Limassol","Alias table"
"Arsenal","Arsenal","Alias table"
"Artmedia Bratislava","Artmedia Bratislava","Alias table"
"Artmedia Petržalka","Artmedia Petržalka","Alias table"
"Astana","Astana","Alias table"
"Aston Villa","Aston Villa","Alias table"
"Astra Giurgiu","Astra Giurgiu","Alias table"
"Atalanta","Atalanta","Alias table"
"Athletic Bilbao","Athletic Club","Alias table"
"Athlone Town","Athlone Town","Alias table"
"Atlètic Club d'Escaldes","Atlètic Club d'Escaldes","Alias table"
"Atlético Madrid","Atlético Madrid","Alias table"
"Åtvidaberg","Åtvidaberg","Alias table"
"Austria Vienna","Austria Vienna","Alias table"
"Austria Wien","Austria Vienna","Alias table"
"Auxerre","Auxerre","Alias table"
"Avenir Beggen","Avenir Beggen","Alias table"
"AZ","AZ","Alias table"
"B36","B36","Alias table"
"B68","B68","Alias table"
"Baku","Baku","Alias table"
"Ballkani","Ballkani","Alias table"
"Banants","Banants","Alias table"
"Bangor City","Bangor City","Alias table"
"Baník Ostrava","Baník Ostrava","Alias table"
"Barcelona","Barcelona","Alias table"
"Barry Town","Barry Town","Alias table"
"Basel","Basel","Alias table"
"BATE Borisov","BATE Borisov","Alias table"
"Bayer Leverkusen","Bayer Leverkusen","Alias table"
"Bayern Munich","Bayern Munich","Alias table"
"Bayern Münich","Bayern Munich","Alias table"
"Beitar Jerusalem","Beitar Jerusalem","Alias table"
"Belshina Bobruisk","Belshina Bobruisk","Alias table"
"Benfica","Benfica","Alias table"
"Beroe","Beroe","Alias table"
"Beşiktaş","Beşiktaş","Alias table"
"Beveren","Beveren","Alias table"
"BFC Dynamo","BFC Dynamo","Alias table"
"Birkirkara","Birkirkara","Alias table"
"BK Häcken","BK Häcken","Alias table"
"Blackburn Rovers","Blackburn Rovers","Alias table"
"Boavista","Boavista","Alias table"
"Bodø/Glimt","Bodø/Glimt","Alias table"
"Bohemians","Bohemians","Alias table"
"Bohemians Prague","Bohemians Prague","Alias table"
"Boldklubben 1903","Boldklubben 1903","Alias table"
"Boldklubben 1909","Boldklubben 1909","Alias table"
"Boldklubben 1913","Boldklubben 1913","Alias table"
"Bologna","Bologna","Alias table"
"Borac Banja Luka","Borac Banja Luka","Alias table"
"Bordeaux","Bordeaux","Alias table"
"Borussia Dortmund","Borussia Dortmund","Alias table"
"Borussia Mönchengladbach","Borussia Mönchengladbach","Alias table"
"Botev Plovdiv","Botev Plovdiv","Alias table"
"Braga","Braga","Alias table"
"Brann","Brann","Alias table"
"Breiðablik","Breiðablik","Alias table"
"Brest","Brest","Alias table"
"Brøndby","Brøndby","Alias table"
"Brotnjo","Brotnjo","Alias table"
"Budapest Honvéd","Budapest Honvéd","Alias table"
"Budapesti Honvéd","Budapesti Honvéd","Alias table"
"Budućnost Podgorica","Budućnost Podgorica","Alias table"
"Burnley","Burnley","Alias table"
"Bursaspor","Bursaspor","Alias table"
"Cagliari","Cagliari","Alias table"
"Carl Zeiss Jena","Carl Zeiss Jena","Alias table"
"Casino Salzburg","Austria Salzburg","Alias table"
"CCA București","Steaua Bucharest","Alias table"
"CDNA Sofia","CSKA Sofia","Alias table"
"Celje","Celje","Alias table"
"Celta Vigo","Celta Vigo","Alias table"
"Celtic","Celtic","Alias table"
"Červená Hviezda Bratislava","Červená Hviezda Bratislava","Alias table"
"CFKA Sredets","CSKA Sofia","Alias table"
"CFR Cluj","CFR Cluj","Alias table"
"Chelsea","Chelsea","Alias table"
"Chemie Leipzig","Chemie Leipzig","Alias table"
"Chievo","Chievo","Alias table"
"Cliftonville","Cliftonville","Alias table"
"Club Brugge","Club Brugge","Alias table"
"Coleraine","Coleraine","Alias table"
"Connah's Quay Nomads","Connah's Quay Nomads","Alias table"
"Constructorul Chișinău","Constructorul Chișinău","Alias table"
"Copenhagen","Copenhagen","Alias table"
"Cork Celtic","Cork Celtic","Alias table"
"Cork City","Cork City","Alias table"
"Cork Hibernians","Cork Hibernians","Alias table"
"Croatia Zagreb","Dinamo Zagreb","Alias table"
"Crusaders","Crusaders","Alias table"
"Csepel","Csepel","Alias table"
"CSKA Moscow","CSKA Moscow","Alias table"
"CSKA Red Flag","CSKA Sofia","Alias table"
"CSKA September Flag","CSKA Sofia","Alias table"
"CSKA Sofia","CSKA Sofia","Alias table"
"CWKS Warsaw","CWKS Warsaw","Alias table"
"Cwmbrân Town","Cwmbrân Town","Alias table"
"Dacia Chișinău","Dacia Chișinău","Alias table"
"Daugava Daugavpils","Daugava Daugavpils","Alias table"
"Debrecen","Debrecen","Alias table"
"Dečić","Dečić","Alias table"
"Deportivo La Coruña","Deportivo La Coruña","Alias table"
"Derby County","Derby County","Alias table"
"Derry City","Derry City","Alias table"
"Differdange 03","Differdange 03","Alias table"
"Dila Gori","Dila Gori","Alias table"
"Dinamo Batumi","Dinamo Batumi","Alias table"
"Dinamo București","Dinamo București","Alias table"
"Dinamo Minsk","Dinamo Minsk","Alias table"
"Dinamo Tbilisi","Dinamo Tbilisi","Alias table"
"Dinamo Tirana","Dinamo Tirana","Alias table"
"Dinamo Zagreb","Dinamo Zagreb","Alias table"
"Distillery","Distillery","Alias table"
"Djurgården","Djurgårdens IF","Alias table"
"Djurgårdens IF","Djurgårdens IF","Alias table"
"Dnepr-Transmash Mogilev","Dnepr-Transmash Mogilev","Alias table"
"Dnipro-1","Dnipro-1","Alias table"
"Dnipro Dnipropetrovsk","Dnipro Dnipropetrovsk","Alias table"
"Domžale","Domžale","Alias table"
"Drita","Drita","Alias table"
"Drogheda United","Drogheda United","Alias table"
"Drumcondra","Drumcondra","Alias table"
"Dukla Prague","Dukla Prague","Already canonical in master"
"Dunaferr","Dunaferr","Alias table"
"Dundalk","Dundalk","Alias table"
"Dundee","Dundee","Alias table"
"Dundee United","Dundee United","Alias table"
"DWS","DWS","Alias table"
"Dynamo Brest","Dynamo Brest","Alias table"
"Dynamo Dresden","Dynamo Dresden","Alias table"
"Dynamo Kyiv","Dynamo Kyiv","Alias table"
"Dynamo Moscow","Dynamo Moscow","Alias table"
"EB/Streymur","EB/Streymur","Alias table"
"Egnatia","Egnatia","Already canonical in master"
"Eintracht Braunschweig","Eintracht Braunschweig","Alias table"
"Eintracht Frankfurt","Eintracht Frankfurt","Alias table"
"Ekranas","Ekranas","Alias table"
"Elbasani","Elbasani","Alias table"
"EPA Larnaca","EPA Larnaca","Alias table"
"Esbjerg","Esbjerg","Alias table"
"Etar Veliko Tarnovo","Etar Veliko Tarnovo","Alias table"
"Europa","Europa","Alias table"
"Everton","Everton","Alias table"
"F91 Dudelange","F91 Dudelange","Alias table"
"Farul Constanța","Farul Constanța","Alias table"
"FC Basel","Basel","Alias table"
"FC Santa Coloma","FC Santa Coloma","Alias table"
"FC Zürich","Zurich","Alias table"
"FCI Levadia","Levadia Tallinn","Alias table"
"FCI Tallinn","FCI Tallinn","Alias table"
"FCSB","FCSB","Alias table"
"Fenerbahçe","Fenerbahçe","Alias table"
"Ferencváros","Ferencváros","Alias table"
"Feronikeli","Feronikeli","Alias table"
"Feyenoord","Feyenoord","Alias table"
"FH","FH","Alias table"
"Fiorentina","Fiorentina","Alias table"
"Flamurtari","Flamurtari","Alias table"
"Flora","Flora","Alias table"
"Floriana","Floriana","Alias table"
"Fola Esch","Fola Esch","Alias table"
"Folgore","Folgore","Alias table"
"Fram","Fram","Alias table"
"Fredrikstad","Fredrikstad","Alias table"
"GAK","GAK","Alias table"
"Galatasaray","Galatasaray","Alias table"
"Genk","Genk","Alias table"
"Gent","Gent","Alias table"
"GÍ","GÍ","Alias table"
"Glenavon","Glenavon","Alias table"
"Glentoran","Glentoran","Alias table"
"Gomel","Gomel","Alias table"
"Górnik Zabrze","Górnik Zabrze","Alias table"
"Grasshopper","Grasshoppers","Alias table"
"Grevenmacher","Grevenmacher","Alias table"
"Gwardia Warsaw","Gwardia Warsaw","Alias table"
"Győri ETO","Győri ETO","Alias table"
"Győri Vasas ETO","Győri Vasas ETO","Alias table"
"Hajduk Split","Hajduk Split","Already canonical in master"
"Haka","Haka","Alias table"
"Halmstad","Halmstad","Alias table"
"Halmstads BK","Halmstads BK","Alias table"
"Hamburg","Hamburg","Alias table"
"Hamburger SV","Hamburg","Alias table"
"Hammarby IF","Hammarby IF","Alias table"
"Hamrun Spartans","Hamrun Spartans","Alias table"
"Ħamrun Spartans","Hamrun Spartans","Alias table"
"Hansa Rostock","Hansa Rostock","Alias table"
"Hapoel Be'er Sheva","Hapoel Be'er Sheva","Alias table"
"Hapoel Haifa","Hapoel Haifa","Alias table"
