Season,Matches,FirstDate,LastDate,MonthsPresent,Months
1955-56,29,1955-09-04,1956-06-13,9,"1955-09, 1955-10, 1955-11, 1955-12, 1956-01, 1956-02, 1956-04, 1956-05, 1956-06"
1956-57,44,1956-08-01,1957-05-30,10,"1956-08, 1956-09, 1956-10, 1956-11, 1956-12, 1957-01, 1957-02, 1957-03, 1957-04, 1957-05"
1957-58,48,1957-09-04,1958-05-28,9,"1957-09, 1957-10, 1957-11, 1957-12, 1958-01, 1958-02, 1958-03, 1958-04, 1958-05"
1958-59,55,1958-08-26,1959-06-03,10,"1958-08, 1958-09, 1958-10, 1958-11, 1958-12, 1959-02, 1959-03, 1959-04, 1959-05, 1959-06"
1959-60,52,1959-08-26,1960-05-18,9,"1959-08, 1959-09, 1959-10, 1959-11, 1959-12, 1960-02, 1960-03, 1960-04, 1960-05"
1960-61,51,1960-08-31,1961-05-31,9,"1960-08, 1960-09, 1960-10, 1960-11, 1960-12, 1961-01, 1961-03, 1961-04, 1961-05"
1961-62,56,1961-08-23,1962-05-02,9,"1961-08, 1961-09, 1961-10, 1961-11, 1961-12, 1962-02, 1962-03, 1962-04, 1962-05"
1962-63,59,1962-08-26,1963-05-22,10,"1962-08, 1962-09, 1962-10, 1962-11, 1962-12, 1963-01, 1963-02, 1963-03, 1963-04, 1963-05"
1963-64,61,1963-09-10,1964-05-27,9,"1963-09, 1963-10, 1963-11, 1963-12, 1964-01, 1964-02, 1964-03, 1964-04, 1964-05"
1964-65,63,1964-08-17,1965-05-27,9,"1964-08, 1964-09, 1964-10, 1964-11, 1964-12, 1965-02, 1965-03, 1965-04, 1965-05"
1965-66,59,1965-08-29,1966-05-11,9,"1965-08, 1965-09, 1965-10, 1965-11, 1965-12, 1966-02, 1966-03, 1966-04, 1966-05"
1966-67,65,1966-08-31,1967-05-25,9,"1966-08, 1966-09, 1966-10, 1966-11, 1966-12, 1967-02, 1967-03, 1967-04, 1967-05"
1967-68,60,1967-09-13,1968-05-29,9,"1967-09, 1967-10, 1967-11, 1967-12, 1968-01, 1968-02, 1968-03, 1968-04, 1968-05"
1968-69,52,1968-09-18,1969-05-28,8,"1968-09, 1968-10, 1968-11, 1968-12, 1969-02, 1969-03, 1969-04, 1969-05"
1969-70,63,1969-08-21,1970-05-06,8,"1969-08, 1969-09, 1969-10, 1969-11, 1969-12, 1970-03, 1970-04, 1970-05"
1970-71,63,1970-08-18,1971-06-02,7,"1970-08, 1970-09, 1970-10, 1970-11, 1971-03, 1971-04, 1971-06"
1971-72,64,1971-08-19,1972-05-31,8,"1971-08, 1971-09, 1971-10, 1971-11, 1971-12, 1972-03, 1972-04, 1972-05"
1972-73,58,1972-09-13,1973-05-30,6,"1972-09, 1972-10, 1972-11, 1973-03, 1973-04, 1973-05"
