Date,Home,Away,Score,Source,Country,Competition,CompetitionType,Tier,League,Season,Stage,Result,DateApprox,SourcePage,SourceFile
1997-07-23,Anorthosis Famagusta,Kareda,3-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Constructorul Chișinău,MPKC Mozyr,1-1,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,D,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Crusaders,Dinamo Tbilisi,1-3,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Derry City,Maribor,0-2,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Dynamo Kyiv,Barry Town,2-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,GÍ,Rangers,0-5,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Košice,ÍA,3-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Lantana,Jazz,0-2,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Neftçi,Widzew Łódź,0-2,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Partizan,Croatia Zagreb,1-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Pyunik,MTK,0-2,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Sileks,Beitar Jerusalem,1-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Sion,Jeunesse Esch,4-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Steaua București,CSKA Sofia,3-3,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,D,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-23,Valletta,Skonto,1-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-30,Barry Town,Dynamo Kyiv,4-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-30,Beitar Jerusalem,Sileks,0-3,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-30,CSKA Sofia,Steaua București,2-0,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,H,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
1997-07-30,Croatia Zagreb,Partizan,0-5,User-supplied Wikipedia markdown,Europe,UEFA 1st Division,Continental,1,UEFA 1st Division,1997-98,First qualifying round,A,True,1997–98_UEFA_Champions_League_qualifying_rounds,Pasted markdown(20260910-174933).md
