Season,Matches,FirstDate,LastDate,MissingDate,MissingHome,MissingAway,MissingScore,MissingResult,DuplicateFixtureKeys,CupWinnersCupRows,BadLeagueRows,BadCompetitionTypeRows,DatesOutsideSeason,Status
1971–72,126,1971-09-14,1972-05-17,0,0,0,124,124,0,0,0,0,0,FAIL
1972–73,126,1972-09-12,1973-05-23,0,0,0,2,2,0,0,0,0,0,FAIL
1973–74,126,1973-09-12,1974-05-29,0,0,0,0,0,0,0,0,0,0,PASS
1974–75,124,1974-09-11,1975-05-21,0,0,0,0,0,0,0,0,0,0,PASS
1975–76,126,1975-09-14,1976-05-19,0,0,0,0,0,0,0,0,0,0,PASS
1976–77,126,1976-09-08,1977-05-18,0,0,0,0,0,0,0,0,0,0,PASS
1977–78,126,1977-09-13,1978-05-09,0,0,0,0,0,0,0,0,0,0,PASS
1978–79,126,1978-09-05,1979-05-23,0,0,0,0,0,0,0,0,0,0,PASS
1979–80,126,1979-09-18,1980-05-21,0,0,0,0,0,0,0,0,0,0,PASS
1980–81,126,1980-09-16,1981-05-20,0,0,0,0,0,0,0,0,0,0,PASS
1981–82,126,1981-09-15,1982-05-19,0,0,0,0,0,0,0,0,0,0,PASS
1982–83,126,1982-09-08,1983-05-18,0,0,0,0,0,0,0,0,0,0,PASS
1983–84,126,1983-09-11,1984-05-23,0,0,0,0,0,0,0,0,0,0,PASS
1984–85,126,1984-09-12,1985-05-22,0,0,0,0,0,0,0,0,0,0,PASS
1985–86,126,1985-09-11,1986-05-06,0,0,0,0,0,0,0,0,0,0,PASS
1986–87,127,1986-09-16,1987-05-20,0,0,0,0,0,0,0,0,0,0,PASS
1987–88,126,1987-09-16,1988-05-18,0,0,0,0,0,0,0,0,0,0,PASS
1988–89,126,1988-09-07,1989-05-17,0,0,0,0,0,0,0,0,0,0,PASS
1989–90,128,1989-08-09,1990-05-16,0,0,0,0,0,0,0,0,0,0,PASS
1990–91,126,1990-09-18,1991-05-22,0,0,0,0,0,0,0,0,0,0,PASS
