Season,Matches,FirstDate,LastDate,MissingDate,MissingHome,MissingAway,MissingScore,MissingResult,DuplicateFixtureKeys,CupWinnersCupRows,Status
1992–93,126,1992-09-15,1993-05-19,0,0,0,0,0,0,0,PASS
1993–94,125,1993-09-14,1994-05-11,0,0,0,0,0,0,0,PASS
1994–95,180,1994-08-09,1995-05-17,0,0,0,0,0,0,0,PASS
1995–96,194,1995-08-08,1996-05-15,0,0,0,2,2,0,0,CHECK
1996–97,232,1996-07-17,1997-05-21,0,0,0,0,0,0,0,PASS
1997–98,200,1997-07-22,1998-04-14,0,0,0,0,0,0,0,PASS
1998–99,204,1998-07-21,1999-04-20,0,0,0,0,0,0,0,PASS
2000–01,286,2000-08-08,2001-04-19,0,0,0,0,0,0,0,PASS
2001–02,285,2001-08-09,2002-04-11,0,0,0,0,0,0,0,PASS
2002–03,286,2002-08-13,2003-04-24,0,0,0,0,0,0,0,PASS
2003–04,286,2003-08-12,2004-05-06,0,0,0,0,0,0,0,PASS
2004–05,334,2004-07-13,2005-05-05,0,0,0,1,1,0,0,CHECK
2005–06,332,2005-07-14,2006-04-27,0,0,0,0,0,0,0,PASS
2006–07,354,2006-07-13,2007-05-03,0,0,0,2,2,0,0,CHECK
2007–08,358,2007-07-19,2008-05-01,0,0,0,0,0,0,0,PASS
2008–09,358,2008-07-17,2009-05-07,0,0,0,1,1,0,0,CHECK
2009–10,204,2009-09-17,2010-04-29,0,0,0,0,0,0,0,PASS
2010–11,204,2010-09-16,2011-05-05,0,0,0,0,0,0,0,PASS
2011–12,204,2011-09-15,2012-04-26,0,0,0,0,0,0,0,PASS
2012–13,204,2012-09-20,2013-05-02,0,0,0,0,0,0,0,PASS
2013–14,204,2013-09-19,2014-05-01,0,0,0,0,0,0,0,PASS
2014–15,204,2014-09-18,2015-05-14,0,0,0,0,0,0,0,PASS
2015–16,204,2015-09-17,2016-05-05,0,0,0,0,0,0,0,PASS
2016–17,204,2016-09-15,2017-05-11,0,0,0,0,0,0,0,PASS
2017–18,204,2017-09-14,2018-05-03,0,0,0,0,0,0,0,PASS
2018–19,204,2018-09-20,2019-05-09,0,0,0,0,0,0,0,PASS
2019–20,196,2019-09-19,2020-08-17,0,0,0,0,0,0,0,PASS
2020–21,204,2020-10-22,2021-05-06,0,0,0,0,0,0,0,PASS
2021–22,176,2021-08-03,2022-05-05,0,0,0,2,2,0,0,CHECK
2022–23,174,2022-08-04,2023-05-18,0,0,0,0,0,0,0,PASS
2023–24,174,2023-08-08,2024-05-09,0,0,0,0,0,0,0,PASS
2024–25,269,2024-07-11,2025-05-21,0,0,0,0,0,0,0,PASS
2025–26,271,2025-07-10,2026-05-20,0,0,0,0,0,0,0,PASS
