Season,Matches,FirstDate,LastDate,MissingDate,MissingHome,MissingAway,MissingScore,MissingResult,DuplicateFixtureKeys,Status
1992–93,126,1992-09-15,1993-05-19,0,0,0,0,0,0,PASS
1993–94,125,1993-09-14,1994-05-11,0,0,0,0,0,0,PASS
1994–95,180,1994-08-09,1995-05-17,0,0,0,0,0,0,PASS
1995–96,194,1995-08-08,1996-05-15,0,0,0,0,0,0,PASS
1996–97,232,1996-07-17,1997-05-21,0,0,0,0,0,0,PASS
1997–98,201,1997-07-22,1998-05-06,0,0,0,0,0,0,PASS
1998–99,205,1998-07-21,1999-05-12,0,0,0,0,0,0,PASS
1999–2000,281,1999-08-10,2000-05-17,0,0,0,0,0,0,PASS
2000–01,287,2000-08-08,2001-05-16,0,0,0,0,0,0,PASS
2001–02,286,2001-08-09,2002-05-08,0,0,0,0,0,0,PASS
2002–03,287,2002-08-13,2003-05-21,0,0,0,0,0,0,PASS
2003–04,287,2003-08-12,2004-05-19,0,0,0,0,0,0,PASS
2004–05,334,2004-07-13,2005-05-18,0,0,0,0,0,0,PASS
2005–06,333,2005-07-14,2006-05-10,0,0,0,0,0,0,PASS
2006–07,353,2006-07-13,2007-05-16,0,0,0,0,0,0,PASS
2007–08,359,2007-07-19,2008-05-14,0,0,0,0,0,0,PASS
2008–09,358,2008-07-17,2009-05-20,0,0,0,0,0,0,PASS
2009–10,477,2009-07-02,2010-05-12,0,0,0,0,0,0,PASS
2010–11,482,2010-07-01,2011-05-18,0,0,0,0,0,0,PASS
2011–12,480,2011-06-30,2012-05-09,0,0,0,0,0,0,PASS
2012–13,479,2012-07-03,2013-05-15,0,0,0,0,0,0,PASS
2013–14,479,2013-07-02,2014-05-14,0,0,0,0,0,0,PASS
2014–15,483,2014-07-01,2015-05-27,0,0,0,0,0,0,PASS
2015–16,475,2015-06-30,2016-05-18,0,0,0,0,0,0,PASS
2016–17,468,2016-06-28,2017-05-24,0,0,0,0,0,0,PASS
2017–18,473,2017-06-29,2018-05-16,0,0,0,0,0,0,PASS
2018–19,519,2018-06-26,2019-05-29,0,0,0,0,0,0,PASS
2019–20,511,2019-06-27,2020-08-21,0,0,0,0,0,0,PASS
2020–21,362,2020-08-18,2021-05-26,0,0,0,0,0,0,PASS
2021–22,175,2021-08-03,2022-05-18,0,0,0,0,0,0,PASS
2022–23,175,2022-08-04,2023-05-31,0,0,0,0,0,0,PASS
2023–24,175,2023-08-08,2024-05-22,0,0,0,0,0,0,PASS
2024–25,269,2024-07-11,2025-05-21,0,0,0,0,0,0,PASS
2025–26,271,2025-07-10,2026-05-20,0,0,0,0,0,0,PASS
