Season,Page,FootballBoxes,ParsedRows,CupWinnersCup
1992–93,1992–93 UEFA Cup,126,126,FALSE
1993–94,1993–94 UEFA Cup,125,125,FALSE
1994–95,1994–95 UEFA Cup,180,180,FALSE
1995–96,1995–96 UEFA Cup,194,194,FALSE
1996–97,1996–97 UEFA Cup,232,232,FALSE
1997–98,1997–98 UEFA Cup,200,200,FALSE
1998–99,1998–99 UEFA Cup,204,204,FALSE
1999–00,1999–2000 UEFA Cup,0,0,FALSE
2000–01,2000–01 UEFA Cup,0,0,FALSE
2000–01,2000–01 UEFA Cup final phase,60,60,FALSE
2000–01,2000–01 UEFA Cup first round,96,96,FALSE
2000–01,2000–01 UEFA Cup qualifying round,82,82,FALSE
2000–01,2000–01 UEFA Cup second round,48,48,FALSE
2001–02,2001–02 UEFA Cup,0,0,FALSE
2001–02,2001–02 UEFA Cup final phase,60,60,FALSE
2001–02,2001–02 UEFA Cup first round,95,95,FALSE
2001–02,2001–02 UEFA Cup qualifying round,82,82,FALSE
2001–02,2001–02 UEFA Cup second round,48,48,FALSE
2002–03,2002–03 UEFA Cup,0,0,FALSE
2002–03,2002–03 UEFA Cup final phase,60,60,FALSE
2002–03,2002–03 UEFA Cup first round,96,96,FALSE
2002–03,2002–03 UEFA Cup qualifying round,82,82,FALSE
2002–03,2002–03 UEFA Cup second round,48,48,FALSE
2003–04,2003–04 UEFA Cup,0,0,FALSE
2003–04,2003–04 UEFA Cup final phase,60,60,FALSE
2003–04,2003–04 UEFA Cup first round,96,96,FALSE
2003–04,2003–04 UEFA Cup qualifying round,82,82,FALSE
2003–04,2003–04 UEFA Cup second round,48,48,FALSE
2004–05,2004–05 UEFA Cup,0,0,FALSE
2004–05,2004–05 UEFA Cup final phase,60,60,FALSE
2004–05,2004–05 UEFA Cup first round,80,80,FALSE
2004–05,2004–05 UEFA Cup group stage,80,80,FALSE
2004–05,2004–05 UEFA Cup knockout stage,60,60,FALSE
2004–05,2004–05 UEFA Cup qualifying rounds,114,114,FALSE
2004–05,Talk:2004–05 UEFA Cup group stage,0,0,FALSE
2004–05,UEFA Cup 2004–05,0,0,FALSE
2005–06,2005–06 UEFA Cup,0,0,FALSE
2005–06,2005–06 UEFA Cup final phase,60,60,FALSE
2005–06,2005–06 UEFA Cup first round,80,80,FALSE
2005–06,2005–06 UEFA Cup group stage,80,80,FALSE
2005–06,2005–06 UEFA Cup knockout stage,60,60,FALSE
2005–06,2005–06 UEFA Cup qualifying rounds,112,112,FALSE
2005–06,Talk:2005–06 UEFA Cup group stage,0,0,FALSE
2005–06,UEFA Cup 2005–06,0,0,FALSE
2006–07,2006–07 UEFA Cup,0,0,FALSE
2006–07,2006–07 UEFA Cup first round,80,80,FALSE
2006–07,2006–07 UEFA Cup group stage,80,80,FALSE
2006–07,2006–07 UEFA Cup knockout stage,60,60,FALSE
2006–07,2006–07 UEFA Cup qualifying rounds,134,134,FALSE
2006–07,Talk:2006–07 UEFA Cup group stage,0,0,FALSE
2007–08,2007–08 UEFA Cup,0,0,FALSE
2007–08,2007–08 UEFA Cup final phase,60,60,FALSE
2007–08,2007–08 UEFA Cup first round,80,80,FALSE
2007–08,2007–08 UEFA Cup group stage,80,80,FALSE
2007–08,2007–08 UEFA Cup knockout stage,60,60,FALSE
2007–08,2007–08 UEFA Cup qualifying rounds,138,138,FALSE
2007–08,Talk:2007–08 UEFA Cup group stage,0,0,FALSE
2008–09,2008–09 UEFA Cup,0,0,FALSE
2008–09,2008–09 UEFA Cup final phase,60,60,FALSE
2008–09,2008–09 UEFA Cup first round,80,80,FALSE
2008–09,2008–09 UEFA Cup group stage,80,80,FALSE
2008–09,2008–09 UEFA Cup knockout stage,60,60,FALSE
2008–09,2008–09 UEFA Cup qualifying rounds,138,138,FALSE
2008–09,Talk:2008–09 UEFA Cup group stage,0,0,FALSE
2008–09,UEFA Cup 2008–09 group stage,80,80,FALSE
2009–10,2009–10 UEFA Europa League,0,0,FALSE
2009–10,2009–10 UEFA Europa League group stage,144,144,FALSE
2009–10,2009–10 UEFA Europa League knockout phase,60,60,FALSE
2009–10,2009–10 UEFA Europa League qualifying,0,0,FALSE
2009–10,2009–10 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2009–10,2009–10 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2009–10,Talk:2009–10 UEFA Europa League group stage,0,0,FALSE
2009–10,2009–10 UEFA Europa League qualifying phase and play-off round,0,0,FALSE
2010–11,2010–11 UEFA Europa League,0,0,FALSE
2010–11,2010–11 UEFA Europa League group stage,144,144,FALSE
2010–11,2010–11 UEFA Europa League knockout phase,60,60,FALSE
2010–11,2010–11 UEFA Europa League qualifying,0,0,FALSE
2010–11,2010–11 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2010–11,2010–11 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2010–11,Talk:2010–11 UEFA Europa League group stage,0,0,FALSE
2010–11,2010–11 UEFA Europa League play-off round,0,0,FALSE
2011–12,2011–12 UEFA Europa League,0,0,FALSE
2011–12,2011–12 UEFA Europa League group stage,144,144,FALSE
2011–12,2011–12 UEFA Europa League knockout phase,60,60,FALSE
2011–12,2011–12 UEFA Europa League qualifying,0,0,FALSE
2011–12,2011–12 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2011–12,2011–12 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2011–12,Talk:2011–12 UEFA Europa League group stage,0,0,FALSE
2011–12,2011–12 UEFA Europa League qualifying phase and play-off round,0,0,FALSE
2012–13,2012–13 UEFA Europa League,0,0,FALSE
2012–13,2012–13 UEFA Europa League group stage,144,144,FALSE
2012–13,2012–13 UEFA Europa League knockout phase,60,60,FALSE
2012–13,2012–13 UEFA Europa League qualifying,0,0,FALSE
2012–13,2012–13 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2012–13,2012–13 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2012–13,Talk:2012–13 UEFA Europa League group stage,0,0,FALSE
2012–13,2012–13 UEFA Europa League play-off round,0,0,FALSE
2013–14,2013–14 UEFA Europa League,0,0,FALSE
2013–14,2013–14 UEFA Europa League group stage,144,144,FALSE
2013–14,2013–14 UEFA Europa League knockout phase,60,60,FALSE
2013–14,2013–14 UEFA Europa League qualifying,0,0,FALSE
2013–14,2013–14 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2013–14,2013–14 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2013–14,Talk:2013–14 UEFA Europa League group stage,0,0,FALSE
2013–14,2013–14 UEFA Europa League play-off round,0,0,FALSE
2014–15,2014–15 UEFA Europa League,0,0,FALSE
2014–15,2014–15 UEFA Europa League group stage,144,144,FALSE
2014–15,2014–15 UEFA Europa League knockout phase,60,60,FALSE
2014–15,2014–15 UEFA Europa League qualifying,0,0,FALSE
2014–15,2014–15 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2014–15,2014–15 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2014–15,Talk:2014–15 UEFA Europa League group stage,0,0,FALSE
2014–15,2014–15 UEFA Europa League qualifying phase and play-off round,0,0,FALSE
2015–16,2015–16 UEFA Europa League,0,0,FALSE
2015–16,2015–16 UEFA Europa League group stage,144,144,FALSE
2015–16,2015–16 UEFA Europa League knockout phase,60,60,FALSE
2015–16,2015–16 UEFA Europa League qualifying,0,0,FALSE
2015–16,2015–16 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2015–16,2015–16 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2015–16,Talk:2015–16 UEFA Europa League group stage,0,0,FALSE
2015–16,2015–16 UEFA Europa League play-off round,0,0,FALSE
2016–17,2016–17 UEFA Europa League,0,0,FALSE
2016–17,2016–17 UEFA Europa League group stage,144,144,FALSE
2016–17,2016–17 UEFA Europa League knockout phase,60,60,FALSE
2016–17,2016–17 UEFA Europa League qualifying,0,0,FALSE
2016–17,2016–17 UEFA Europa League qualifying (first and second round matches),0,0,FALSE
2016–17,2016–17 UEFA Europa League qualifying (third and play-off round matches),0,0,FALSE
2016–17,Talk:2016–17 UEFA Europa League group stage,0,0,FALSE
2016–17,2016–17 UEFA Europa League qualifying phase and play-off round,0,0,FALSE
2017–18,2017–18 UEFA Europa League,0,0,FALSE
2017–18,2017–18 UEFA Europa League group stage,144,144,FALSE
2017–18,2017–18 UEFA Europa League knockout phase,60,60,FALSE
2017–18,2017–18 UEFA Europa League qualifying,0,0,FALSE
