Repair,Page,Season,RowsRecovered
1999-2000 season,1999–2000 UEFA Cup and subpages,1999–2000,280
Rendered qualifying/play-off page,2009–10 UEFA Europa League qualifying,2009–10,0
Rendered qualifying/play-off page,2009–10 UEFA Europa League qualifying (first and second round matches),2009–10,126
Rendered qualifying/play-off page,2009–10 UEFA Europa League qualifying (third and play-off round matches),2009–10,146
Rendered qualifying/play-off page,2009–10 UEFA Europa League qualifying phase and play-off round,2009–10,0
Rendered qualifying/play-off page,2010–11 UEFA Europa League qualifying,2010–11,0
Rendered qualifying/play-off page,2010–11 UEFA Europa League qualifying (first and second round matches),2010–11,133
Rendered qualifying/play-off page,2010–11 UEFA Europa League qualifying (third and play-off round matches),2010–11,144
Rendered qualifying/play-off page,2010–11 UEFA Europa League play-off round,2010–11,144
Rendered qualifying/play-off page,2011–12 UEFA Europa League qualifying,2011–12,0
Rendered qualifying/play-off page,2011–12 UEFA Europa League qualifying (first and second round matches),2011–12,130
Rendered qualifying/play-off page,2011–12 UEFA Europa League qualifying (third and play-off round matches),2011–12,145
Rendered qualifying/play-off page,2011–12 UEFA Europa League qualifying phase and play-off round,2011–12,0
Rendered qualifying/play-off page,2012–13 UEFA Europa League qualifying,2012–13,0
Rendered qualifying/play-off page,2012–13 UEFA Europa League qualifying (first and second round matches),2012–13,154
Rendered qualifying/play-off page,2012–13 UEFA Europa League qualifying (third and play-off round matches),2012–13,120
Rendered qualifying/play-off page,2012–13 UEFA Europa League play-off round,2012–13,120
Rendered qualifying/play-off page,2013–14 UEFA Europa League qualifying,2013–14,0
Rendered qualifying/play-off page,2013–14 UEFA Europa League qualifying (first and second round matches),2013–14,156
Rendered qualifying/play-off page,2013–14 UEFA Europa League qualifying (third and play-off round matches),2013–14,118
Rendered qualifying/play-off page,2013–14 UEFA Europa League play-off round,2013–14,118
Rendered qualifying/play-off page,2014–15 UEFA Europa League qualifying,2014–15,0
Rendered qualifying/play-off page,2014–15 UEFA Europa League qualifying (first and second round matches),2014–15,158
Rendered qualifying/play-off page,2014–15 UEFA Europa League qualifying (third and play-off round matches),2014–15,120
Rendered qualifying/play-off page,2014–15 UEFA Europa League qualifying phase and play-off round,2014–15,0
Rendered qualifying/play-off page,2015–16 UEFA Europa League qualifying,2015–16,0
Rendered qualifying/play-off page,2015–16 UEFA Europa League qualifying (first and second round matches),2015–16,168
Rendered qualifying/play-off page,2015–16 UEFA Europa League qualifying (third and play-off round matches),2015–16,102
Rendered qualifying/play-off page,2015–16 UEFA Europa League play-off round,2015–16,102
Rendered qualifying/play-off page,2016–17 UEFA Europa League qualifying,2016–17,0
Rendered qualifying/play-off page,2016–17 UEFA Europa League qualifying (first and second round matches),2016–17,161
Rendered qualifying/play-off page,2016–17 UEFA Europa League qualifying (third and play-off round matches),2016–17,102
Rendered qualifying/play-off page,2016–17 UEFA Europa League qualifying phase and play-off round,2016–17,0
Rendered qualifying/play-off page,2017–18 UEFA Europa League qualifying,2017–18,0
Rendered qualifying/play-off page,2017–18 UEFA Europa League qualifying (first and second round matches),2017–18,166
Rendered qualifying/play-off page,2017–18 UEFA Europa League qualifying (third and play-off round matches),2017–18,102
Rendered qualifying/play-off page,2017–18 UEFA Europa League qualifying phase and play-off round,2017–18,0
Rendered qualifying/play-off page,2018–19 UEFA Europa League qualifying,2018–19,0
Rendered qualifying/play-off page,2018–19 UEFA Europa League qualifying (preliminary to second round matches),2018–19,200
Rendered qualifying/play-off page,2018–19 UEFA Europa League qualifying (third and play-off round matches),2018–19,114
Rendered qualifying/play-off page,2018–19 UEFA Europa League qualifying phase and play-off round,2018–19,0
Rendered qualifying/play-off page,2019–20 UEFA Europa League qualifying,2019–20,0
Rendered qualifying/play-off page,2019–20 UEFA Europa League qualifying (preliminary to second round matches),2019–20,200
Rendered qualifying/play-off page,2019–20 UEFA Europa League qualifying (third and play-off round matches),2019–20,114
Rendered qualifying/play-off page,2019–20 UEFA Europa League qualifying phase and play-off round,2019–20,0
Rendered qualifying/play-off page,2020–21 UEFA Europa League qualifying,2020–21,157
Rendered qualifying/play-off page,2020–21 UEFA Europa League qualifying phase and play-off round,2020–21,157
