Season,Matches,FirstDate,LastDate,MissingDate,MissingHome,MissingAway,MissingScore,MissingResult,DuplicateFixtureKeys,CupWinnersCupRows,Status
1992–93,126,1992-09-15,1993-05-19,0,0,0,0,0,0,0,PASS
1993–94,125,1993-09-14,1994-05-11,0,0,0,0,0,0,0,PASS
1994–95,180,1994-08-09,1995-05-17,0,0,0,0,0,0,0,PASS
1995–96,194,1995-08-08,1996-05-15,0,0,0,0,0,0,0,PASS
1996–97,232,1996-07-17,1997-05-21,0,0,0,0,0,0,0,PASS
1997–98,200,1997-07-22,1998-04-14,0,0,0,0,0,0,0,PASS
1998–99,204,1998-07-21,1999-04-20,0,0,0,0,0,0,0,PASS
1999–2000,280,1999-08-10,2000-04-20,0,0,0,0,0,0,0,PASS
2000–01,286,2000-08-08,2001-04-19,0,0,0,0,0,0,0,PASS
2001–02,285,2001-08-09,2002-04-11,0,0,0,0,0,0,0,PASS
2002–03,286,2002-08-13,2003-04-24,0,0,0,0,0,0,0,PASS
2003–04,286,2003-08-12,2004-05-06,0,0,0,0,0,0,0,PASS
2004–05,334,2004-07-13,2005-05-05,0,0,0,1,1,0,0,CHECK
2005–06,332,2005-07-14,2006-04-27,0,0,0,0,0,0,0,PASS
2006–07,354,2006-07-13,2007-05-03,0,0,0,2,2,0,0,CHECK
2007–08,358,2007-07-19,2008-05-01,0,0,0,0,0,0,0,PASS
2008–09,358,2008-07-17,2009-05-07,0,0,0,1,1,0,0,CHECK
2009–10,476,2009-07-02,2010-04-29,0,0,0,0,0,0,0,PASS
2010–11,481,2010-07-01,2011-05-05,0,0,0,0,0,0,0,PASS
2011–12,479,2011-06-30,2012-04-26,0,0,0,0,0,0,0,PASS
2012–13,478,2012-07-03,2013-05-02,0,0,0,0,0,0,0,PASS
2013–14,478,2013-07-02,2014-05-01,0,0,0,0,0,0,0,PASS
2014–15,482,2014-07-01,2015-05-14,0,0,0,0,0,0,0,PASS
2015–16,474,2015-06-30,2016-05-05,0,0,0,0,0,0,0,PASS
2016–17,467,2016-06-28,2017-05-11,0,0,0,0,0,0,0,PASS
2017–18,472,2017-06-29,2018-05-03,0,0,0,0,0,0,0,PASS
2018–19,518,2018-06-26,2019-05-09,0,0,0,0,0,0,0,PASS
2019–20,510,2019-06-27,2020-08-17,0,0,0,0,0,0,0,PASS
2020–21,361,2020-08-18,2021-05-06,0,0,0,0,0,0,0,PASS
2021–22,176,2021-08-03,2022-05-05,0,0,0,2,2,0,0,CHECK
2022–23,174,2022-08-04,2023-05-18,0,0,0,0,0,0,0,PASS
2023–24,174,2023-08-08,2024-05-09,0,0,0,0,0,0,0,PASS
2024–25,269,2024-07-11,2025-05-21,0,0,0,0,0,0,0,PASS
2025–26,271,2025-07-10,2026-05-20,0,0,0,0,0,0,0,PASS
