Date,Country,League,Tier,Season,Home,Away,Score,Result,CompetitionType,Source,SourcePage
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Caen,Zaragoza,3-2,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Floriana,Borussia Dortmund,0-1,A,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Fram,Kaiserslautern,0-3,A,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Hibernian,Anderlecht,2-2,D,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Köln,Celtic,2-0,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-15,UEFA,UEFA 2nd Division,2,1992–93,Neuchâtel Xamax,BK Frem,2-2,D,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Benfica,Belvedur Izola,3-0,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Casino Salzburg,Ajax,0-3,A,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Copenhagen,MP,5-0,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Dynamo Kyiv,Rapid Wien,1-0,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Dynamo Moscow,Rosenborg,5-1,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Electroputere Craiova,Panathinaikos,0-6,A,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Fenerbahçe,Botev Plovdiv,3-1,H,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,GKS Katowice,Galatasaray,0-0,D,Continental,Wikipedia,1992–93 UEFA Cup
1992-09-16,UEFA,UEFA 2nd Division,2,1992–93,Grasshopper,Sporting CP,1-2,A,Continental,Wikipedia,1992–93 UEFA Cup
