Date,Country,League,Tier,Season,Home,Away,Score,Result,CompetitionType,Source,SourcePage
1998-05-06,UEFA,UEFA 2nd Division,2,1997–98,Inter Milan,Lazio,3-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
1999-05-12,UEFA,UEFA 2nd Division,2,1998–99,Parma,Marseille,3-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2000-05-17,UEFA,UEFA 2nd Division,2,1999–2000,Galatasaray,Arsenal,0-0,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2001-05-16,UEFA,UEFA 2nd Division,2,2000–01,Liverpool,Alavés,5-4,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2002-05-08,UEFA,UEFA 2nd Division,2,2001–02,Feyenoord,Borussia Dortmund,3-2,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2003-05-21,UEFA,UEFA 2nd Division,2,2002–03,Porto,Celtic,3-2,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2004-05-19,UEFA,UEFA 2nd Division,2,2003–04,Valencia,Marseille,2-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2005-05-18,UEFA,UEFA 2nd Division,2,2004–05,CSKA Moscow,Sporting CP,3-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2006-05-10,UEFA,UEFA 2nd Division,2,2005–06,Sevilla,Middlesbrough,4-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2007-05-16,UEFA,UEFA 2nd Division,2,2006–07,Sevilla,Espanyol,2-2,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2008-05-14,UEFA,UEFA 2nd Division,2,2007–08,Zenit St Petersburg,Rangers,2-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2009-05-20,UEFA,UEFA 2nd Division,2,2008–09,Shakhtar Donetsk,Werder Bremen,2-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2010-05-12,UEFA,UEFA 2nd Division,2,2009–10,Atlético Madrid,Fulham,2-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2011-05-18,UEFA,UEFA 2nd Division,2,2010–11,Porto,Braga,1-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2012-05-09,UEFA,UEFA 2nd Division,2,2011–12,Atlético Madrid,Athletic Bilbao,3-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2013-05-15,UEFA,UEFA 2nd Division,2,2012–13,Chelsea,Benfica,2-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2014-05-14,UEFA,UEFA 2nd Division,2,2013–14,Sevilla,Benfica,0-0,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2015-05-27,UEFA,UEFA 2nd Division,2,2014–15,Sevilla,Dnipro,3-2,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2016-05-18,UEFA,UEFA 2nd Division,2,2015–16,Sevilla,Liverpool,3-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2017-05-24,UEFA,UEFA 2nd Division,2,2016–17,Manchester United,Ajax,2-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2018-05-16,UEFA,UEFA 2nd Division,2,2017–18,Atlético Madrid,Marseille,3-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2019-05-29,UEFA,UEFA 2nd Division,2,2018–19,Chelsea,Arsenal,4-1,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2020-08-21,UEFA,UEFA 2nd Division,2,2019–20,Sevilla,Inter Milan,3-2,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2021-05-26,UEFA,UEFA 2nd Division,2,2020–21,Villarreal,Manchester United,1-1,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2022-05-18,UEFA,UEFA 2nd Division,2,2021–22,Eintracht Frankfurt,Rangers,1-1,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2023-05-31,UEFA,UEFA 2nd Division,2,2022–23,Sevilla,Roma,1-1,D,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
2024-05-22,UEFA,UEFA 2nd Division,2,2023–24,Atalanta,Bayer Leverkusen,3-0,H,Continental,Manual final repair,User-supplied UEFA Cup / Europa League finals table
