Date,Country,League,Tier,Season,Home,Away,Score,Result,CompetitionType,Source,SourcePage
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Anorthosis Famagusta,Steaua București,1-2,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Gent,Lausanne,0-1,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,HAŠK Građanski,Trabzonspor,2-3,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Hamburg,Górnik Zabrze,1-1,D,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Ikast,Auxerre,0-1,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Neuchâtel Xamax,Floriana,2-0,H,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-17,UEFA,UEFA 2nd Division,2,1991–92,Slavia Sofia,Osasuna,1-0,H,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Aberdeen,B 1903,0-1,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Ajax,Örebro SK,3-0,H,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Bangor,Sigma Olomouc,0-3,A,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Boavista,Internazionale,2-1,H,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Celtic,Germinal Ekeren,2-0,H,Continental,Wikipedia,1991–92 UEFA Cup
1991-09-18,UEFA,UEFA 2nd Division,2,1991–92,Cork City,Bayern Munich,1-1,D,Continental,Wikipedia,1991–92 UEFA Cup
