Date,Country,League,Tier,Season,Home,Away,Score,Result,CompetitionType,Source,SourcePage
2021-07-06,UEFA,UEFA 3rd Division,3,2021–22,Mons Calpe,FC Santa Coloma,1-1,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-06,UEFA,UEFA 3rd Division,3,2021–22,Mosta,Spartak Trnava,3-2,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-06,UEFA,UEFA 3rd Division,3,2021–22,Podgorica,Laçi,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Bala Town,Larne,0-1,A,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Birkirkara,La Fiorita,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Domžale,Swift Hesperange,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Drita,Dečić,2-1,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Dundalk,Newtown,4-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Europa,Kauno Žalgiris,0-0,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,FCI Levadia,St Joseph's,3-1,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,FH,Sligo Rovers,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Glentoran,The New Saints,1-1,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Honka,NSÍ,0-0,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Inter Turku,Puskás Akadémia,1-1,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Liepāja,Struga,1-1,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,MOL Fehérvár,Ararat Yerevan,1-1,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Maribor,Urartu,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Milsami Orhei,Sarajevo,0-0,D,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Noah,KuPS,1-0,H,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
2021-07-08,UEFA,UEFA 3rd Division,3,2021–22,Paide Linnameeskond,Śląsk Wrocław,1-2,A,Continental,Wikipedia rendered HTML,2021–22 UEFA Europa Conference League qualifying (first and second round matches)
