Season,Page,ParsedRows
2021–22,2021–22 UEFA Europa Conference League qualifying (first and second round matches),174
2021–22,2021–22 UEFA Europa Conference League qualifying (third and play-off round matches),108
2021–22,2021–22 UEFA Europa Conference League group stage,96
2021–22,2021–22 UEFA Europa Conference League knockout phase,45
2022–23,2022–23 UEFA Europa Conference League qualifying (first and second round matches),166
2022–23,2022–23 UEFA Europa Conference League qualifying (third and play-off round matches),108
2022–23,2022–23 UEFA Europa Conference League group stage,96
2022–23,2022–23 UEFA Europa Conference League knockout phase,45
2023–24,2023–24 UEFA Europa Conference League qualifying (first and second round matches),168
2023–24,2023–24 UEFA Europa Conference League qualifying (third and play-off round matches),108
2023–24,2023–24 UEFA Europa Conference League group stage,96
2023–24,2023–24 UEFA Europa Conference League knockout phase,45
2024–25,2024–25 UEFA Conference League qualifying (first and second round matches),148
2024–25,2024–25 UEFA Conference League qualifying (third and play-off round matches),108
2024–25,2024–25 UEFA Conference League league phase,108
2024–25,2024–25 UEFA Conference League knockout phase,45
2025–26,2025–26 UEFA Conference League qualifying (first and second round matches),148
2025–26,2025–26 UEFA Conference League qualifying (third and play-off round matches),108
2025–26,2025–26 UEFA Conference League league phase,108
2025–26,2025–26 UEFA Conference League knockout phase,45
