Date,RSSSFHome,RSSSFAway,RSSSFScore,HomeCanon,AwayCanon,MatchKey
2025-08-01,Kolos,Kryvbas,2-1,kolos_kovalivka,kryvbas_kryvyi_rih,kolos_kovalivka|||kryvbas_kryvyi_rih|||2-1
2025-08-02,Veres,Dynamo,0-1,veres_rivne,dynamo_kyiv,veres_rivne|||dynamo_kyiv|||0-1
2025-08-02,Zorja,LNZ,0-0,zorya_luhansk,lnz_cherkasy,zorya_luhansk|||lnz_cherkasy|||0-0
2025-08-03,Kudrivka,Olexandrija,3-1,kudrivka,oleksandriya,kudrivka|||oleksandriya|||3-1
2025-08-03,Epicenter,Sachtar,0-1,epicenter,shakhtar_donetsk,epicenter|||shakhtar_donetsk|||0-1
2025-08-03,Karpaty,Polissja,0-2,karpaty_lviv,polissya_zhytomyr,karpaty_lviv|||polissya_zhytomyr|||0-2
2025-08-04,Metalist'25,Obolon,0-0,metalist_1925,obolon_kyiv,metalist_1925|||obolon_kyiv|||0-0
2025-08-08,Poltava,Veres,1-0,sc_poltava,veres_rivne,sc_poltava|||veres_rivne|||1-0
2025-08-09,LNZ,Epicenter,1-0,lnz_cherkasy,epicenter,lnz_cherkasy|||epicenter|||1-0
2025-08-09,Kryvbas,Metalist'25,2-0,kryvbas_kryvyi_rih,metalist_1925,kryvbas_kryvyi_rih|||metalist_1925|||2-0
2025-08-10,Polissja,Kolos,0-1,polissya_zhytomyr,kolos_kovalivka,polissya_zhytomyr|||kolos_kovalivka|||0-1
2025-08-10,Karpaty,Sachtar,3-3,karpaty_lviv,shakhtar_donetsk,karpaty_lviv|||shakhtar_donetsk|||3-3
2025-08-10,Obolon,Olexandrija,1-0,obolon_kyiv,oleksandriya,obolon_kyiv|||oleksandriya|||1-0
2025-08-11,Zorja,Kudrivka,2-1,zorya_luhansk,kudrivka,zorya_luhansk|||kudrivka|||2-1
2025-08-16,Epicenter,Dynamo,1-4,epicenter,dynamo_kyiv,epicenter|||dynamo_kyiv|||1-4
2025-08-16,Kolos,Karpaty,1-1,kolos_kovalivka,karpaty_lviv,kolos_kovalivka|||karpaty_lviv|||1-1
2025-08-16,Olexandrija,Metalist'25,1-4,oleksandriya,metalist_1925,oleksandriya|||metalist_1925|||1-4
2025-08-17,Veres,Sachtar,0-2,veres_rivne,shakhtar_donetsk,veres_rivne|||shakhtar_donetsk|||0-2
2025-08-17,Polissja,LNZ,0-2,polissya_zhytomyr,lnz_cherkasy,polissya_zhytomyr|||lnz_cherkasy|||0-2
2025-08-17,Kudrivka,Poltava,3-1,kudrivka,sc_poltava,kudrivka|||sc_poltava|||3-1
2025-08-18,Zorja,Kryvbas,2-3,zorya_luhansk,kryvbas_kryvyi_rih,zorya_luhansk|||kryvbas_kryvyi_rih|||2-3
2025-08-29,Kudrivka,Karpaty,2-2,kudrivka,karpaty_lviv,kudrivka|||karpaty_lviv|||2-2
2025-08-29,Poltava,Zorja,1-4,sc_poltava,zorya_luhansk,sc_poltava|||zorya_luhansk|||1-4
2025-08-30,Kolos,Epicenter,1-0,kolos_kovalivka,epicenter,kolos_kovalivka|||epicenter|||1-0
2025-08-30,Kryvbas,Obolon,2-1,kryvbas_kryvyi_rih,obolon_kyiv,kryvbas_kryvyi_rih|||obolon_kyiv|||2-1
2025-08-31,Dynamo,Polissja,4-1,dynamo_kyiv,polissya_zhytomyr,dynamo_kyiv|||polissya_zhytomyr|||4-1
2025-08-31,Sachtar,Olexandrija,2-0,shakhtar_donetsk,oleksandriya,shakhtar_donetsk|||oleksandriya|||2-0
2025-08-31,LNZ,Veres,0-2,lnz_cherkasy,veres_rivne,lnz_cherkasy|||veres_rivne|||0-2
2025-09-12,Veres,Kudrivka,2-0,veres_rivne,kudrivka,veres_rivne|||kudrivka|||2-0
2025-09-12,Olexandrija,LNZ,4-1,oleksandriya,lnz_cherkasy,oleksandriya|||lnz_cherkasy|||4-1
2025-09-13,Obolon,Dynamo,2-2,obolon_kyiv,dynamo_kyiv,obolon_kyiv|||dynamo_kyiv|||2-2
2025-09-13,Metalist'25,Sachtar,1-1,metalist_1925,shakhtar_donetsk,metalist_1925|||shakhtar_donetsk|||1-1
2025-09-14,Zorja,Kolos,1-3,zorya_luhansk,kolos_kovalivka,zorya_luhansk|||kolos_kovalivka|||1-3
2025-09-14,Kryvbas,Polissja,0-1,kryvbas_kryvyi_rih,polissya_zhytomyr,kryvbas_kryvyi_rih|||polissya_zhytomyr|||0-1
2025-09-14,Karpaty,Poltava,1-1,karpaty_lviv,sc_poltava,karpaty_lviv|||sc_poltava|||1-1
2025-09-20,Kolos,Veres,0-0,kolos_kovalivka,veres_rivne,kolos_kovalivka|||veres_rivne|||0-0
2025-09-20,Polissja,Kudrivka,2-0,polissya_zhytomyr,kudrivka,polissya_zhytomyr|||kudrivka|||2-0
2025-09-21,Epicenter,Kryvbas,4-5,epicenter,kryvbas_kryvyi_rih,epicenter|||kryvbas_kryvyi_rih|||4-5
2025-09-21,Poltava,Metalist'25,0-2,sc_poltava,metalist_1925,sc_poltava|||metalist_1925|||0-2
2025-09-22,Dynamo,Olexandrija,2-2,dynamo_kyiv,oleksandriya,dynamo_kyiv|||oleksandriya|||2-2
2025-09-22,Sachtar,Zorja,1-0,shakhtar_donetsk,zorya_luhansk,shakhtar_donetsk|||zorya_luhansk|||1-0
2025-09-22,Obolon,Karpaty,0-2,obolon_kyiv,karpaty_lviv,obolon_kyiv|||karpaty_lviv|||0-2
2025-09-26,Kudrivka,Epicenter,2-1,kudrivka,epicenter,kudrivka|||epicenter|||2-1
2025-09-27,Karpaty,Dynamo,3-3,karpaty_lviv,dynamo_kyiv,karpaty_lviv|||dynamo_kyiv|||3-3
2025-09-27,Zorja,Obolon,0-0,zorya_luhansk,obolon_kyiv,zorya_luhansk|||obolon_kyiv|||0-0
2025-09-27,Olexandrija,Poltava,1-0,oleksandriya,sc_poltava,oleksandriya|||sc_poltava|||1-0
2025-09-28,Metalist'25,Kolos,1-0,metalist_1925,kolos_kovalivka,metalist_1925|||kolos_kovalivka|||1-0
2025-09-28,LNZ,Kryvbas,0-0,lnz_cherkasy,kryvbas_kryvyi_rih,lnz_cherkasy|||kryvbas_kryvyi_rih|||0-0
2025-09-29,Veres,Polissja,1-4,veres_rivne,polissya_zhytomyr,veres_rivne|||polissya_zhytomyr|||1-4
2025-10-03,Epicenter,Zorja,1-2,epicenter,zorya_luhansk,epicenter|||zorya_luhansk|||1-2
2025-10-04,Polissja,Poltava,4-0,polissya_zhytomyr,sc_poltava,polissya_zhytomyr|||sc_poltava|||4-0
2025-10-04,Obolon,Veres,1-1,obolon_kyiv,veres_rivne,obolon_kyiv|||veres_rivne|||1-1
2025-10-04,Olexandrija,Karpaty,0-2,oleksandriya,karpaty_lviv,oleksandriya|||karpaty_lviv|||0-2
2025-10-05,Sachtar,LNZ,1-4,shakhtar_donetsk,lnz_cherkasy,shakhtar_donetsk|||lnz_cherkasy|||1-4
2025-10-05,Dynamo,Metalist'25,1-1,dynamo_kyiv,metalist_1925,dynamo_kyiv|||metalist_1925|||1-1
