Season,Country,Competition,CompetitionType,Tier,League,Date,Home,Away,Result,Score,FixtureSource,ResultSource,DateSource
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-04-15,Metalist 1925,Veres Rivne,H,4-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-01,Kolos,Kryvbas Kryvyi Rih,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-01,Rukh,SC Poltava,H,2-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-02,Veres,Dynamo Kyiv,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-02,Zorya,LNZ Cherkasy,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-03,Epitsentr,Shakhtar Donetsk,A,0-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-03,Karpaty,Polissya Zhytomyr,A,0-2,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-03,Kudrivka,Oleksandriya,H,3-1,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-04,Metalist 1925,Obolon Kyiv,D,0-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-08,Poltava,Veres Rivne,H,1-0,wikipedia,wikipedia,rsssf
2025/26,Ukraine,ukrainian_premier_league,league,1,Ukrainian Premier League,2025-08-08,Rukh,Dynamo Kyiv,A,1-5,wikipedia,wikipedia,rsssf
