Country,Season,Home,Away,HG,AG,FDHome,FDAway
Norway,2012,Viking,Sandnes Ulf,5,0,Viking,Sandnes
Norway,2014,Stabæk,Start,0,1,Stabaek,Start
Norway,2020,Kristiansund,Haugesund,1,2,Kristiansund,Haugesund
Norway,2020,Start,Kristiansund,0,2,Start,Kristiansund
Norway,2023,Aalesund,HamKam,0,2,Aalesund,HamKam
Norway,2023,Aalesund,Molde,3,0,Aalesund,Molde
Norway,2023,Bodø/Glimt,HamKam,3,0,Bodo/Glimt,HamKam
Norway,2023,Brann,HamKam,2,1,Brann,HamKam
Norway,2023,HamKam,Aalesund,2,1,HamKam,Aalesund
Norway,2023,HamKam,Bodø/Glimt,4,4,HamKam,Bodo/Glimt
Norway,2023,HamKam,Brann,0,2,HamKam,Brann
Norway,2023,HamKam,Lillestrøm,0,0,HamKam,Lillestrom
Norway,2023,HamKam,Molde,0,4,HamKam,Molde
Norway,2023,HamKam,Odd,0,1,HamKam,Odd
Norway,2023,HamKam,Rosenborg,3,0,HamKam,Rosenborg
Norway,2023,HamKam,Sandefjord,2,0,HamKam,Sandefjord
Norway,2023,HamKam,Stabæk,3,2,HamKam,Stabaek
Norway,2023,HamKam,Strømsgodset,2,0,HamKam,Stromsgodset
Norway,2023,HamKam,Tromsø,1,2,HamKam,Tromso
Norway,2023,Haugesund,HamKam,3,2,Haugesund,HamKam
Norway,2023,Lillestrøm,HamKam,3,1,Lillestrom,HamKam
Norway,2023,Rosenborg,HamKam,4,0,Rosenborg,HamKam
Norway,2023,Sarpsborg,HamKam,2,3,Sarpsborg 08,HamKam
Norway,2023,Viking,HamKam,7,3,Viking,HamKam
Norway,2023,Vålerenga,HamKam,3,0,Valerenga,HamKam
Norway,2025,Vålerenga,Kristiansund,3,0,Valerenga,Kristiansund
Sweden,2013,Östers IF,IF Brommapojkarna,1,1,Osters,Brommapojkarna
Sweden,2016,IFK Göteborg,Hammarby IF,2,0,Goteborg,Hammarby
Sweden,2016,IFK Göteborg,Helsingborgs IF,2,1,Goteborg,Helsingborg
Romania,2013/14,Petrolul Ploiești,Concordia Chiajna,3,0,Petrolul,Concordia
Romania,2013/14,Petrolul Ploiești,Corona Brașov,2,0,Petrolul,Corona Brasov
Romania,2013/14,Vaslui,Concordia Chiajna,1,0,Vaslui,Concordia
Romania,2019/20,Sepsi OSK,Academica Clinceni,4,0,Sepsi Sf. Gheorghe,Academica Clinceni
Romania,2020/21,Academica Clinceni,Universitatea Craiova,0,0,Academica Clinceni,U Craiova
Romania,2020/21,Chindia Târgoviște,Universitatea Craiova,1,0,Chindia Targoviste,U Craiova
Romania,2020/21,FCSB,Universitatea Craiova,0,0,FCSB,U Craiova
Romania,2020/21,Gaz Metan Mediaș,Universitatea Craiova,0,2,Gaz Metan Medias,U Craiova
Romania,2020/21,Universitatea Craiova,Botoșani,1,0,U Craiova,FC Botosani
Romania,2020/21,Universitatea Craiova,CFR Cluj,0,0,U Craiova,CFR Cluj
Romania,2020/21,Universitatea Craiova,Hermannstadt,1,0,U Craiova,FC Hermannstadt
Romania,2020/21,Universitatea Craiova,UTA Arad,2,0,U Craiova,UTA Arad
Romania,2021/22,Academica Clinceni,Universitatea Craiova,1,3,Academica Clinceni,U. Cluj
Romania,2021/22,Argeș Pitești,Universitatea Craiova,3,2,FC Arges,U. Cluj
Romania,2021/22,Botoșani,Universitatea Craiova,2,2,FC Botosani,U. Cluj
Romania,2021/22,Chindia Târgoviște,Universitatea Craiova,0,1,Chindia Targoviste,U. Cluj
Romania,2021/22,CFR Cluj,Universitatea Craiova,1,0,CFR Cluj,U. Cluj
Romania,2021/22,Dinamo București,Universitatea Craiova,1,6,Din. Bucuresti,U. Cluj
Romania,2021/22,Farul Constanța,Universitatea Craiova,1,0,Farul Constanta,U. Cluj
Romania,2021/22,FCSB,Universitatea Craiova,4,1,FCSB,U. Cluj
Romania,2021/22,FC U Craiova 1948,Universitatea Craiova,0,2,U Craiova 1948,U. Cluj
Romania,2021/22,Gaz Metan Mediaș,Universitatea Craiova,1,1,Gaz Metan Medias,U. Cluj
Romania,2021/22,Mioveni,Universitatea Craiova,0,3,Mioveni,U. Cluj
Romania,2021/22,Rapid București,Universitatea Craiova,1,2,FC Rapid Bucuresti,U. Cluj
Romania,2021/22,Sepsi OSK,Universitatea Craiova,3,1,Sepsi Sf. Gheorghe,U. Cluj
Romania,2021/22,Universitatea Craiova,Academica Clinceni,5,0,U. Cluj,Academica Clinceni
Romania,2021/22,Universitatea Craiova,Argeș Pitești,1,0,U. Cluj,FC Arges
Romania,2021/22,Universitatea Craiova,Botoșani,1,2,U. Cluj,FC Botosani
Romania,2021/22,Universitatea Craiova,Chindia Târgoviște,1,0,U. Cluj,Chindia Targoviste
Romania,2021/22,Universitatea Craiova,CFR Cluj,1,1,U. Cluj,CFR Cluj
Romania,2021/22,Universitatea Craiova,Dinamo București,5,0,U. Cluj,Din. Bucuresti
Romania,2021/22,Universitatea Craiova,Farul Constanța,1,0,U. Cluj,Farul Constanta
Romania,2021/22,Universitatea Craiova,FCSB,2,3,U. Cluj,FCSB
Romania,2021/22,Universitatea Craiova,FC U Craiova 1948,2,0,U. Cluj,U Craiova 1948
Romania,2021/22,Universitatea Craiova,Gaz Metan Mediaș,1,0,U. Cluj,Gaz Metan Medias
Romania,2021/22,Universitatea Craiova,Mioveni,5,2,U. Cluj,Mioveni
Romania,2021/22,Universitatea Craiova,Rapid București,1,0,U. Cluj,FC Rapid Bucuresti
Romania,2021/22,Universitatea Craiova,Sepsi OSK,1,1,U. Cluj,Sepsi Sf. Gheorghe
Romania,2021/22,Universitatea Craiova,UTA Arad,0,0,U. Cluj,UTA Arad
Romania,2021/22,Universitatea Craiova,Voluntari,3,0,U. Cluj,FC Voluntari
Romania,2021/22,UTA Arad,Universitatea Craiova,1,0,UTA Arad,U. Cluj
Romania,2021/22,Voluntari,Universitatea Craiova,1,1,FC Voluntari,U. Cluj
