SeasonFolder,File,Rows,Status
2015-16,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2015-16/5-nationalleague.txt,552,parsed
2016-17,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2016-17/5-nationalleague.txt,552,parsed
2017-18,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2017-18/5-nationalleague.txt,552,parsed
2018-19,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2018-19/5-nationalleague.txt,552,parsed
2019-20,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2019-20/5-nationalleague.txt,451,parsed
2020-21,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2020-21/5-nationalleague.txt,462,parsed
2021-22,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2021-22/5-nationalleague.txt,506,parsed
2022-23,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2022-23/5-nationalleague.txt,552,parsed
2023-24,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2023-24/5-nationalleague.txt,552,parsed
2024-25,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2024-25/5-nationalleague.txt,552,parsed
2025-26,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/openfootball/england/2025-26/5-nationalleague.txt,296,parsed
