Season,League,Date,Home,Away,Result,Score,Source,SourceSeasonFolder,SourceFile
2005/06,National League,2005-08-13,Accrington,Canvey Island,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Aldershot,Tamworth,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Burton,Grays,0.5-0.5,1-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Dag and Red,Southport,1-0,3-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Forest Green,Cambridge,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Gravesend,Exeter,0-1,0-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Hereford,Scarborough,1-0,4-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Kidderminster,Woking,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Morecambe,Halifax,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,Stevenage,Altrincham,1-0,3-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-13,York,Crawley Town,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Altrincham,Accrington,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Cambridge,Hereford,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Canvey Island,Aldershot,1-0,2-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Crawley Town,Dag and Red,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Exeter,Kidderminster,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Grays,Gravesend,1-0,6-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Halifax,Burton,1-0,1-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Scarborough,Morecambe,0-1,0-1,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Southport,York,0-1,1-4,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Tamworth,Forest Green,0.5-0.5,0-0,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
2005/06,National League,2005-08-16,Woking,Stevenage,1-0,3-2,football-data,2005-06,C:/Users/stjuk/OneDrive/Documents/GitHub/J-Ratings/EnglishFootball/pipeline_data/Source/football-data/england/2005-06/EC.csv
