Country,SourceName,CanonicalName
Austria,1. Simmeringer SC,1. Simmeringer SC
Austria,FC Admira Wacker,Admira Wacker
Austria,FC Trenkwalder Admira,Admira Wacker
Austria,SCR Altach,Altach
Austria,Austria Klagenfurt,Austria Klagenfurt
Austria,SK Austria Klagenfurt,Austria Klagenfurt
Austria,Austria Lustenau,Austria Lustenau
Austria,Austria Salzburg,Austria Salzburg
Austria,Austria Wien,Austria Vienna
Austria,Blau-Weiß Linz,Blau-Weiß Linz
Austria,FC Blau Weiß Linz,Blau-Weiß Linz
Austria,Dsv Leoben,Dsv Leoben
Austria,ESV Austria Graz,ESV Austria Graz
Austria,FC Alpe Adria,FC Alpe Adria
Austria,FC Dornbirn 1913,FC Dornbirn 1913
Austria,FC Kaernten,FC Kaernten
Austria,FC Stadlau,FC Stadlau
Austria,FC Superfund,FC Superfund
Austria,FC Vorarlberg,FC Vorarlberg
Austria,FC Wien,FC Wien
Austria,Favoritner AC,Favoritner AC
Austria,First Vienna FC,First Vienna FC
Austria,Grazer AK,Grazer AK
Austria,Grazer SC Straßenbahn,Grazer SC Straßenbahn
Austria,SV Grödig,Grödig
Austria,TSV Hartberg,Hartberg
Austria,KSV Superfund,Kapfenberg
Austria,Kapfenberger SV 1919,Kapfenberg
Austria,Kremser SC,Kremser SC
Austria,LASK,LASK
Austria,LASK Linz,LASK
Austria,SV Mattersburg,Mattersburg
Austria,Rapid,Rapid
Austria,Rapid Wien,Rapid Vienna
Austria,FC Salzburg,Red Bull Salzburg
Austria,RB Salzburg,Red Bull Salzburg
Austria,Rheindorf Altach,Rheindorf Altach
Austria,SV Ried,Ried
Austria,SC Eisenstadt,SC Eisenstadt
Austria,SC Neusiedl See 1919,SC Neusiedl See 1919
Austria,SC Wacker Wien,SC Wacker Wien
Austria,SK Admira Vienna,SK Admira Vienna
Austria,SV Chemie Linz,SV Chemie Linz
Austria,SV Schwechat,SV Schwechat
Austria,SV Spittal Drau,SV Spittal Drau
Austria,Salzburg,Salzburg
Austria,Salzburger AK 1914,Salzburger AK 1914
Austria,Schwarz Weiss Bregenz,Schwarz Weiss Bregenz
Austria,Sk Austria Kaernten,Sk Austria Kaernten
Austria,Sportclub,Sportclub
Austria,SKN St Poelten,St. Pölten
Austria,SKN St. Pölten,St. Pölten
Austria,Sturm Graz,Sturm Graz
Austria,Union Wels,Union Wels
Austria,Vfb Moedling,Vfb Moedling
Austria,Vorwaerts Steyr,Vorwaerts Steyr
Austria,Vse St Poelten,Vse St Poelten
Austria,WSG Radenthein,WSG Radenthein
Austria,WSG Tirol,WSG Tirol
Austria,WSG Wattens,WSG Wattens
Austria,WSV Donawitz,WSV Donawitz
Austria,FC Wacker Innsbruck,Wacker Innsbruck
Austria,Wiener AC,Wiener AC
Austria,1. Wiener Neustädter SC,Wiener Neustadt
Austria,SC Magna Wiener Neustadt,Wiener Neustadt
Austria,SC Wiener Neustadt,Wiener Neustadt
Austria,Wiener Sportklub,Wiener Sportklub
Austria,Wolfsberger AC,Wolfsberger
Austria,ÖMV Olympia,ÖMV Olympia
Belgium,Afc Tubize,Afc Tubize
Belgium,Anderlecht,Anderlecht
Belgium,RSC Anderlecht,Anderlecht
Belgium,Antwerp,Antwerp
Belgium,Royal Antwerp FC,Antwerp
Belgium,Athletic Running Bruxelles,Athletic Running Bruxelles
Belgium,K Beerschot VA,Beerschot
Belgium,K Beerschot Vac,Beerschot
Belgium,Beerschot AC,Beerschot AC
Belgium,Cercle Brugge,Cercle Brugge
Belgium,Sporting Charleroi,Charleroi
Belgium,Club Brugge,Club Brugge
Belgium,Club Brugge KV,Club Brugge
Belgium,Daring Club Molenbeek,Daring Club Molenbeek
Belgium,Dender,Dender
Belgium,FCV Dender EH,Dender
Belgium,Eendracht Aalst,Eendracht Aalst
Belgium,AS Eupen,Eupen
Belgium,KAS Eupen,Eupen
Belgium,Excelsior Mouscron,Excelsior Mouscron
Belgium,FC Lommel,FC Lommel
Belgium,Genk,Genk
Belgium,KRC Genk,Genk
Belgium,Gent,Gent
Belgium,KAA Gent,Gent
Belgium,Germinal Ekeren,Germinal Ekeren
Belgium,K Berchem Sport Antwerp,K Berchem Sport Antwerp
Belgium,K Beringen FC,K Beringen FC
Belgium,K Boom FC,K Boom FC
Belgium,K Sint-Niklase SKE,K Sint-Niklase SKE
Belgium,K Waterschei SV Thor Genk,K Waterschei SV Thor Genk
Belgium,KFC Diest,KFC Diest
Belgium,KRC Mechelen,KRC Mechelen
Belgium,KSC Hasselt,KSC Hasselt
Belgium,KSC Verbroedering Geel,KSC Verbroedering Geel
Belgium,KSC Winterslag,KSC Winterslag
Belgium,KSK Beveren,KSK Beveren
Belgium,KSK Tongeren,KSK Tongeren
Belgium,KSV Roeselare,KSV Roeselare
Belgium,KSV Waregem,KSV Waregem
Belgium,KV Turnhout,KV Turnhout
Belgium,KVK Tienen,KVK Tienen
Belgium,KVV Crossing Elewijt,KVV Crossing Elewijt
Belgium,Koninklijke Beringen Heusden Zolder,Koninklijke Beringen Heusden Zolder
Belgium,Koninklijke Lyra TSV,Koninklijke Lyra TSV
Belgium,KV Kortrijk,Kortrijk
Belgium,Kortrijk,Kortrijk
Belgium,Krc Zuid West Vlaanderen,Krc Zuid West Vlaanderen
Belgium,RAAL La Louviére,La Louvière
Belgium,Lierse SK,Lierse SK
Belgium,Sporting Lokeren,Lokeren
