id,name,rating,peak,peak_date,flag,gender,games,first_date,last_date
kyo-kagen,Kyo Kagen,3540,3590,2022-04-11,NA,NA,555,2013-08-29,2025-12-25
ma-xiaojun,Ma Xiaojun,3255,3538,1999-12-28,NA,NA,946,1977-08-25,2024-06-07
song-t-ae-kon,Song T'ae-kon,3227,3529,2003-06-07,NA,NA,299,1995-03-15,2021-01-19
lee-younggu,Lee Younggu,3355,3528,2018-08-12,NA,NA,586,1999-08-05,2024-01-25
baek-hongseok,Baek Hongseok,3286,3515,2012-08-19,NA,NA,408,2001-08-24,2025-03-22
oh-rissei,Oh Rissei,3227,3455,2001-05-25,NA,NA,1177,1976-01-01,2025-07-07
kim-seungchae,Kim Seungchae,3286,3445,2013-03-12,NA,NA,298,2006-12-02,2025-12-21
jin-siyeong,Jin Siyeong,3320,3441,2015-10-16,NA,NA,153,2004-05-10,2024-08-31
go-seigen,Go Seigen,3271,3440,1958-02-13,NA,NA,153,1950-07-14,1989-01-17
wang-lei-sr,Wang Lei Sr.,3220,3440,2002-12-14,NA,NA,604,1991-05-26,2024-06-12
kim-jooho,Kim Jooho,3291,3431,2003-08-04,NA,NA,199,1999-05-26,2018-01-09
oh-meien,Oh Meien,3152,3430,1986-01-16,NA,NA,931,1979-09-01,2025-06-06
kim-kiyong,Kim Kiyong,3293,3425,2013-02-09,NA,NA,166,1995-10-22,2019-11-07
liu-xi-jr,Liu Xi Jr.,3273,3424,2013-07-23,NA,NA,131,2001-04-09,2019-06-06
yoo-zhiying,Yoo Zhiying,3247,3424,2016-11-13,NA,NA,595,2009-11-15,2025-12-29
sim-jaeui,Sim Jaeui,3241,3395,2025-03-16,NA,NA,58,2022-09-02,2025-12-19
cho-zuiketsoo,Cho Zuiketsoo,3264,3391,2023-07-13,NA,NA,89,2014-04-09,2025-09-17
chen-yijun,Chen Yijun,3195,3384,2024-12-23,NA,NA,75,2017-01-07,2025-11-29
handa-dogen,Handa Dogen,3249,3379,1962-03-21,NA,NA,151,1955-10-05,1974-03-06
takagawa-shukaku,Takagawa Shukaku,3164,3378,1966-04-06,NA,NA,634,1952-10-01,1984-03-29
ryu-jaehyung,Ryu Jaehyung,3203,3374,2005-10-13,NA,NA,116,1993-08-23,2013-10-29
kim-setong,Kim Setong,3264,3372,2018-10-18,NA,NA,128,2008-05-20,2023-01-31
son-makoto,Son Makoto,3291,3364,2020-06-03,NA,NA,216,2010-08-02,2025-10-19
wang-lei-jr,Wang Lei Jr.,3255,3356,2012-09-08,NA,NA,300,1999-05-14,2018-06-18
lee-hobeom,Lee Hobeom,3225,3356,2012-10-19,NA,NA,76,2008-05-20,2017-12-11
an-hyeongjun,An Hyeongjun,3202,3356,2009-11-25,NA,NA,86,2006-12-02,2018-07-29
fujisawa-kuranosuke,Fujisawa Kuranosuke,3276,3354,1950-01-19,NA,NA,35,1950-01-19,1956-11-01
sho-gyokuyo,Sho Gyokuyo,3305,3352,2025-12-04,NA,NA,42,2021-07-21,2025-12-23
