name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Sin Chin-seo,3657,902,2010-07-28,3155.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ding Hao,3566,450,2013-06-13,3154.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Wang Xinghao,3517,319,2015-05-30,3143.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ichiriki Ryo,3495,823,2008-07-10,3129.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Dang Yifei,3478,636,2008-03-25,3150.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
FineArt,3474,94,2016-11-19,3467.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Pak Cheong-hwan,3471,1297,2004-08-19,3175.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Xu Jiayang,3457,435,2012-06-18,3088.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Li Qincheng,3450,547,2009-11-17,3145.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Yang Dingxin,3441,711,2009-12-30,3265.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Shibano Toramaru,3439,666,2014-06-11,3131.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Li Weiqing,3420,378,2013-05-21,3102.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Kyo Kagen,3417,560,2013-08-29,3278.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Fan Tingyu,3407,748,2009-11-16,3155.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Tu Xiaoyu,3402,276,2016-12-01,3225.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Liao Yuanhe,3399,392,2013-09-17,3146.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ke Jie,3394,902,2008-07-10,3120.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Xie Ke,3393,408,2013-05-29,3196.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
