name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Shin Jinseo,3765,889,2010-07-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Ding Hao,3678,436,2013-06-13,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Xinghao,3632,306,2015-05-30,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Dang Yifei,3586,616,2008-03-25,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Ichiriki Ryo,3580,795,2008-12-13,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Park Junghwan,3575,1267,2004-08-19,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xu Jiayang,3568,424,2012-06-18,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Li Qincheng,3556,523,2009-11-17,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yang Dingxin,3550,675,2009-12-30,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Li Weiqing,3532,363,2013-05-21,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Shibano Toramaru,3531,646,2014-06-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Fan Tingyu,3517,720,2009-11-16,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tu Xiaoyu,3510,268,2016-12-01,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kyo Kagen,3509,556,2013-08-29,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Liao Yuanhe,3508,384,2013-09-17,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xie Ke,3507,386,2013-05-29,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Jin Yucheng,3501,140,2018-11-22,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Ke Jie,3498,836,2009-12-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Fan Yunruo,3491,344,2008-01-25,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Iyama Yuta,3488,1221,1997-08-06,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Li Xuanhao,3480,550,2009-07-04,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Mi Yuting,3479,786,2008-12-22,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Zhao Chenyu,3473,426,2013-04-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xue Guanhua,3471,81,2015-02-05,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Byun Sangil,3469,710,2008-07-21,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xu Haohong,3460,528,2016-03-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Gu Zihao,3459,525,2011-06-18,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Eunji,3459,368,2018-01-15,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tan Xiao,3454,743,2005-01-17,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Shin Minjun,3453,694,2012-09-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yang Kaiwen,3449,295,2011-12-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kang Dongyun,3446,978,1998-06-20,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yu Zhengqi,3446,594,2006-04-09,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lai Junfu,3445,410,2017-01-07,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Park Minkyu,3445,229,2006-09-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Liu Yuhang,3442,138,2015-05-31,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
An Sungjoon,3440,387,2008-04-02,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Junghyun  Sr.,3438,83,2022-10-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Fan Yin,3435,288,2011-12-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Jihyun  (m),3433,381,2008-12-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Myounghoon,3429,415,2013-04-19,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Chen Zijian,3428,240,2014-02-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Jiseok,3426,887,1999-07-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Xi,3426,561,1999-04-16,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lian Xiao,3423,645,2007-01-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tuo Jiaxi,3422,791,2006-01-17,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Huang Yunsong,3419,431,2010-12-07,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Han Woojin,3418,163,2017-12-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Donghoon,3417,411,2009-08-05,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xie Erhao,3417,484,2011-06-23,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Shi Yue,3415,879,2003-01-19,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Seol Hyunjun,3404,259,2014-10-31,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Jiang Weijie,3403,665,2006-08-08,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Chen Yunong,3400,109,2013-12-27,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Fukuoka Kotaro,3397,187,2014-12-14,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Song Jihoon,3393,196,2015-03-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Zhang Tao,3392,322,2006-07-30,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Hirata Tomoya,3386,183,2011-02-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Choi Jeong,3383,716,2008-11-24,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tao Xinran,3379,432,2008-03-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yokotsuka Riki,3379,94,2012-07-16,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Motoki Katsuya,3378,350,2011-11-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Chunhui,3378,101,2019-08-31,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Chen Yaoye,3372,905,1999-08-19,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kang Yootaek,3369,257,2008-04-13,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Park Sangjin,3368,175,2016-04-14,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Peng Liyao,3367,590,2003-08-04,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tong Mengcheng,3366,462,2010-09-25,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Yuanjun,3362,626,2009-08-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Qiu Jun,3357,630,1994-08-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yamashita Keigo,3352,1332,1986-08-05,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Takagawa Kaku,3347,345,1928-06-16,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Meng Tailing,3346,433,2004-04-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Miura Taro,3345,83,2016-08-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wu Guangya,3345,320,2005-04-04,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yoo Changhyuk,3345,1255,1978-09-25,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Chen Xian,3344,267,2010-10-09,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xia Chenkun,3344,224,2009-10-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lin Junyan,3343,464,2010-03-02,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Sakai Yuki,3343,148,2013-12-15,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Xu Jingen,3343,298,2018-11-12,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Hong Seongji,3342,449,1997-06-15,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Hu Yaoyu,3342,697,1992-07-27,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Weon Seongjin,3342,817,1998-05-12,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Changho,3340,2091,1986-07-31,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Han Seungjoo,3336,230,2013-04-21,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Rong Yi,3336,153,2009-02-06,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Changseok,3333,298,2013-07-09,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Jiang Qirun,3332,197,2014-02-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Wonyoung,3332,221,2009-08-08,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tao Xin,3332,108,2004-05-20,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Lee Sedol,3330,1329,1994-12-17,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kang Seungmin,3328,229,2005-08-07,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Gu Li,3327,1102,1995-06-12,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Cho Hanseung,3324,830,1995-07-01,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Cho U,3324,1190,1994-06-27,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Jinhwi,3324,140,2011-01-26,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Sada Atsushi,3324,295,2013-01-24,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Han Taehee,3321,161,2009-12-07,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Adachi Toshimasa,3320,162,2004-04-05,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Shiyi,3320,124,2015-02-05,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Park Jinsol,3318,255,2002-05-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Tang Weixing,3318,663,2005-01-11,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Ida Atsushi,3317,443,2009-01-19,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Yi Lingtao,3313,222,2014-01-10,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Na Hyun,3312,405,2007-07-27,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Wang Chuxuan,3312,66,2021-05-20,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Zhou Hongyu,3311,340,2016-04-22,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Junghyun,3310,170,2006-12-02,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Sun Tengyu,3310,239,2006-07-31,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Onishi Ryuhei,3309,234,2011-08-03,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Han Yizhou,3308,246,2010-12-21,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Murakawa Daisuke,3308,635,2002-04-07,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Park Jonghoon,3308,100,2016-04-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
Kim Seungjin,3305,84,2022-09-28,3100,TRUE,Pass1_FlatStart,Flat3000,3100,20,40,100,50
