name,rating,games,last_historical_game
A. Fumuirov,3099,1,1987-11-12
A. Magarian,3099,1,2011-06-01
Aaron Ye,3094.2630073505297,1,2014-12-20
Abe Hiroyuki,3078.738668769204,1,1989-03-05
Abe Kamejiro,3115.348867142509,2,1913-06-07
Abe Katsumasa,3099,1,1972-05-14
Abe Toshiaki,3106.4600773602924,4,1995-03-01
Abe Yoshiki,3077.0623896941183,78,2025-11-12
Abe Yoshiteru,2991.937269870662,54,2006-12-14
Abe Yumiko,3105.978587907095,3,1992-02-12
Adachi Keiichiro,3095.322165956329,6,1941-06-11
Adachi Toshimasa,3346.7202773214835,162,2025-12-22
Adrian Zweig,3096.1074655472394,4,1988-05-19
Agarijo Michiko,3098.0028782234185,2,2005-07-28
Ahn Kukhyun,3370.3198493470063,246,2025-12-21
Aiba Ikko,3099,1,1972-06-11
Aja Huang,3101,1,2014-04-05
Akaboshi Hikaru,3101,1,2014-07-28
Akagi Kazuo,3077.6662661695104,9,1984-01-12
Akai Makoto,3098.6239719483174,1,1991-01-03
Akamatsu Masahiro,3089.7392135620676,4,1968-06-01
Akasaka Hidetoshi,3098.616028051683,1,1996-09-29
Akedo Kazumi,3054.05241255839,9,1991-11-11
Akimoto Eizo,3101.365164293754,1,1968-11-24
Akimoto Keisuke,3104.0939610887417,1,1989-03-01
Akimoto Masahiro,3098.229883317194,1,2005-01-01
Akira Masao,3101,1,1960-01-01
Akiyama Jiro,3317.4285900121386,307,2025-05-01
Akiyama Tamigoro,3094.3232301043254,1,1929-07-01
Alain Kerbrat,3096.875841245598,1,2008-10-07
Alain Wettach,3092.1797000026236,5,2010-05-26
Albert Escue,3099.853327478474,3,2013-09-04
Albertas Petrauskas,3102.3720561691734,2,2009-05-28
Alberto Amador,3100.2230169792215,3,1989-05-24
Alberto Mariani,3097.4082123779262,1,2008-10-04
Alberto Zingoni,3099.441267793701,3,2013-09-04
Alejandro Rafael Curiel Sanchez,3099,1,2024-05-22
Aleksandar Savchovski,3097.5773506680875,2,2013-09-03
Aleksandr Matushkin,3101,1,2009-04-19
Aleksey Lazarev,3002.9004266908855,40,2010-05-28
Alex Selby,3097.207224754946,1,2007-09-15
Alexander Huber,3100.0028782234185,2,2015-06-08
Alexander Qi,3081.844253542105,5,2025-04-10
Alexander Rix,3099,1,2024-05-19
Alexandr Bukh,3096.626838739644,3,2013-09-03
Alexandr Vashurov,3101,1,2009-04-19
Alexandre Amaro de Souza,3085.409948633554,3,2007-03-04
Alexandre Dinerchtein,3134.266889480362,100,2018-04-26
Alexei Lazarev,3081.223778793755,1,2005-07-09
Alexis Hernandez Nunez,3097.6279438308266,2,2006-05-29
Alfred Nimmerichter,3101.363005927979,1,1963-10-02
Ali Jabarin,3043.4494701412946,37,2023-05-05
Aliaksandr Suponeu,3099.620011422086,2,2015-06-08
Amano Masafumi,3099.22180836486,1,1960-09-11
Amano Masashi,3099,1,2001-10-01
Amayake Nobuo,3089.9932343053274,1,1974-01-24
Amy Song,3082.7375966351788,2,2024-03-08
Amy Yimei Song,3078.603089851959,3,2016-06-07
Amyn Aliqua,3091.909631480702,2,2006-05-29
An Dalhoon,3285.3712314821714,112,2018-07-27
An Delie,3098.626953346827,1,2024-06-02
An Dongxu,3323.4529848929315,113,2024-06-06
An Hyeongjun,3202.124595044493,86,2018-07-29
An Jaeseong,3096.8576173006013,2,1981-07-20
An Jinweon,3101.169096759701,2,2001-05-23
An Joyeong,3238.655667341815,502,2025-09-24
An Jungki,3347.016535166746,131,2025-12-20
