player_id,player_name,gender_symbol,gender,flag,homepage_rank,homepage_elo,profile_url
1313,Shin Jinseo,♂,male,kr,1,3876,https://www.goratings.org/en/players/1313.html
1399,Xu Jiayang,♂,male,cn,2,3754,https://www.goratings.org/en/players/1399.html
1511,Ding Hao,♂,male,cn,3,3736,https://www.goratings.org/en/players/1511.html
1135,Dang Yifei,♂,male,cn,4,3706,https://www.goratings.org/en/players/1135.html
1195,Ke Jie,♂,male,cn,5,3706,https://www.goratings.org/en/players/1195.html
1746,Wang Xinghao,♂,male,cn,6,3703,https://www.goratings.org/en/players/1746.html
1423,Li Weiqing,♂,male,cn,7,3684,https://www.goratings.org/en/players/1423.html
1090,Park Junghwan,♂,male,kr,8,3674,https://www.goratings.org/en/players/1090.html
1193,Yang Dingxin,♂,male,cn,9,3665,https://www.goratings.org/en/players/1193.html
1282,Li Qincheng,♂,male,cn,10,3665,https://www.goratings.org/en/players/1282.html
1253,Gu Zihao,♂,male,cn,11,3657,https://www.goratings.org/en/players/1253.html
1363,Zhao Chenyu,♂,male,cn,12,3656,https://www.goratings.org/en/players/1363.html
1779,Tu Xiaoyu,♂,male,cn,13,3653,https://www.goratings.org/en/players/1779.html
1314,Shin Minjun,♂,male,kr,14,3653,https://www.goratings.org/en/players/1314.html
1290,Byun Sangil,♂,male,kr,15,3640,https://www.goratings.org/en/players/1290.html
1283,Yang Kaiwen,♂,male,cn,16,3628,https://www.goratings.org/en/players/1283.html
1231,Ichiriki Ryo,♂,male,jp,17,3613,https://www.goratings.org/en/players/1231.html
1082,Lian Xiao,♂,male,cn,18,3600,https://www.goratings.org/en/players/1082.html
1507,Xie Ke,♂,male,cn,19,3598,https://www.goratings.org/en/players/1507.html
1540,Shibano Toramaru,♂,male,jp,20,3588,https://www.goratings.org/en/players/1540.html
1155,Mi Yuting,♂,male,cn,21,3586,https://www.goratings.org/en/players/1155.html
1194,Fan Tingyu,♂,male,cn,22,3584,https://www.goratings.org/en/players/1194.html
1275,Fan Yin,♂,male,cn,23,3583,https://www.goratings.org/en/players/1275.html
1232,Huang Yunsong,♂,male,cn,24,3580,https://www.goratings.org/en/players/1232.html
995,Tan Xiao,♂,male,cn,25,3576,https://www.goratings.org/en/players/995.html
449,Shi Yue,♂,male,cn,26,3575,https://www.goratings.org/en/players/449.html
1175,Li Xuanhao,♂,male,cn,27,3573,https://www.goratings.org/en/players/1175.html
964,Jiang Weijie,♂,male,cn,28,3571,https://www.goratings.org/en/players/964.html
1582,Liu Yuhang,♂,male,cn,29,3569,https://www.goratings.org/en/players/1582.html
2032,Jin Yucheng,♂,male,cn,30,3568,https://www.goratings.org/en/players/2032.html
1427,Liao Yuanhe,♂,male,cn,31,3567,https://www.goratings.org/en/players/1427.html
313,Kang Dongyun,♂,male,kr,32,3567,https://www.goratings.org/en/players/313.html
1276,Xie Erhao,♂,male,cn,33,3562,https://www.goratings.org/en/players/1276.html
433,Tuo Jiaxi,♂,male,cn,34,3559,https://www.goratings.org/en/players/433.html
1364,Kim Myounghoon,♂,male,kr,35,3541,https://www.goratings.org/en/players/1364.html
601,Iyama Yuta,♂,male,jp,36,3536,https://www.goratings.org/en/players/601.html
862,Kim Jiseok,♂,male,kr,37,3531,https://www.goratings.org/en/players/862.html
1176,Kim Junghyun,♂,male,kr,38,3529,https://www.goratings.org/en/players/1176.html
1101,Tao Xinran,♂,male,cn,39,3529,https://www.goratings.org/en/players/1101.html
1298,Park Minkyu,♂,male,kr,40,3528,https://www.goratings.org/en/players/1298.html
1692,Xu Haohong,♂,male,tw,41,3524,https://www.goratings.org/en/players/1692.html
297,Chen Yaoye,♂,male,cn,42,3515,https://www.goratings.org/en/players/297.html
1451,Hsu Chia Yuan,♂,male,jp,43,3514,https://www.goratings.org/en/players/1451.html
1250,Tong Mengcheng,♂,male,cn,44,3511,https://www.goratings.org/en/players/1250.html
410,Meng Tailing,♂,male,cn,45,3511,https://www.goratings.org/en/players/410.html
1312,Xia Chenkun,♂,male,cn,46,3510,https://www.goratings.org/en/players/1312.html
993,Peng Liyao,♂,male,cn,47,3509,https://www.goratings.org/en/players/993.html
1488,Chen Yunong,♂,male,cn,48,3509,https://www.goratings.org/en/players/1488.html
1173,An Sungjoon,♂,male,kr,49,3508,https://www.goratings.org/en/players/1173.html
1504,Chen Zijian,♂,male,cn,50,3507,https://www.goratings.org/en/players/1504.html
1166,Lee Jihyun (m),♂,male,kr,51,3506,https://www.goratings.org/en/players/1166.html
1595,Wang Shiyi,♂,male,cn,52,3505,https://www.goratings.org/en/players/1595.html
1051,Zhang Tao,♂,male,cn,53,3503,https://www.goratings.org/en/players/1051.html
1292,Chen Xian,♂,male,cn,54,3498,https://www.goratings.org/en/players/1292.html
178,Gu Lingyi,♂,male,cn,55,3497,https://www.goratings.org/en/players/178.html
381,Zhou Ruiyang,♂,male,cn,56,3494,https://www.goratings.org/en/players/381.html
1494,Yi Lingtao,♂,male,cn,57,3493,https://www.goratings.org/en/players/1494.html
1403,Han Seungjoo,♂,male,kr,58,3491,https://www.goratings.org/en/players/1403.html
1132,Kang Yootaek,♂,male,kr,59,3490,https://www.goratings.org/en/players/1132.html
340,Hong Seongji,♂,male,kr,60,3489,https://www.goratings.org/en/players/340.html
1596,Shen Peiran,♂,male,cn,61,3485,https://www.goratings.org/en/players/1596.html
1284,Rong Yi,♂,male,cn,62,3484,https://www.goratings.org/en/players/1284.html
1619,Song Jihoon,♂,male,kr,63,3483,https://www.goratings.org/en/players/1619.html
1436,Jiang Qirun,♂,male,cn,64,3483,https://www.goratings.org/en/players/1436.html
897,Tang Weixing,♂,male,cn,65,3476,https://www.goratings.org/en/players/897.html
1627,Choi Jaeyoung,♂,male,kr,66,3472,https://www.goratings.org/en/players/1627.html
1599,Xue Guanhua,♂,male,cn,67,3471,https://www.goratings.org/en/players/1599.html
1706,Lai Junfu,♂,male,tw,68,3466,https://www.goratings.org/en/players/1706.html
114,Weon Seongjin,♂,male,kr,69,3466,https://www.goratings.org/en/players/114.html
1114,Yu Chengchi,♂,male,jp,70,3466,https://www.goratings.org/en/players/1114.html
2277,Wang Chuxuan,♂,male,cn,71,3465,https://www.goratings.org/en/players/2277.html
2204,Fukuoka Kotaro,♂,male,jp,72,3460,https://www.goratings.org/en/players/2204.html
1850,Huang Mingyu,♂,male,cn,73,3456,https://www.goratings.org/en/players/1850.html
1405,Lee Changseok,♂,male,kr,74,3454,https://www.goratings.org/en/players/1405.html
1765,Park Sangjin,♂,male,kr,75,3454,https://www.goratings.org/en/players/1765.html
1926,Kim Eunji,♀,female,kr,76,3453,https://www.goratings.org/en/players/1926.html
1235,Kim Jinhwi,♂,male,kr,77,3453,https://www.goratings.org/en/players/1235.html
1269,Motoki Katsuya,♂,male,jp,78,3452,https://www.goratings.org/en/players/1269.html
1197,Na Hyun,♂,male,kr,79,3447,https://www.goratings.org/en/players/1197.html
1882,Li Zerui,♂,male,cn,80,3446,https://www.goratings.org/en/players/1882.html
1251,Han Yizhou,♂,male,cn,81,3443,https://www.goratings.org/en/players/1251.html
1148,An Dongxu,♂,male,cn,82,3442,https://www.goratings.org/en/players/1148.html
2392,Duan Boyao,♂,male,cn,83,3441,https://www.goratings.org/en/players/2392.html
1351,Wang Xiru,♂,male,cn,84,3436,https://www.goratings.org/en/players/1351.html
1844,He Yang,♂,male,cn,85,3434,https://www.goratings.org/en/players/1844.html
1620,Park Hamin,♂,male,kr,86,3434,https://www.goratings.org/en/players/1620.html
1391,Wang Zejin,♂,male,cn,87,3432,https://www.goratings.org/en/players/1391.html
1223,Choi Jeong,♀,female,kr,88,3429,https://www.goratings.org/en/players/1223.html
184,Hu Yaoyu,♂,male,cn,89,3428,https://www.goratings.org/en/players/184.html
1178,Lee Wonyoung,♂,male,kr,90,3426,https://www.goratings.org/en/players/1178.html
1426,Chen Zhengxun,♂,male,cn,91,3426,https://www.goratings.org/en/players/1426.html
99,Cho Hanseung,♂,male,kr,92,3421,https://www.goratings.org/en/players/99.html
2164,Wang Chunhui,♂,male,cn,93,3414,https://www.goratings.org/en/players/2164.html
1257,Kang Seungmin,♂,male,kr,94,3412,https://www.goratings.org/en/players/1257.html
2038,Li Haotong,♂,male,cn,95,3412,https://www.goratings.org/en/players/2038.html
1638,Park Geunho,♂,male,kr,96,3409,https://www.goratings.org/en/players/1638.html
1715,Liu Qifeng,♂,male,cn,97,3409,https://www.goratings.org/en/players/1715.html
967,Sun Tengyu,♂,male,cn,98,3408,https://www.goratings.org/en/players/967.html
179,Gu Li,♂,male,cn,99,3408,https://www.goratings.org/en/players/179.html
1334,Ma Yichao,♂,male,cn,100,3404,https://www.goratings.org/en/players/1334.html
1622,An Jungki,♂,male,kr,101,3403,https://www.goratings.org/en/players/1622.html
968,Zhang Qiang,♂,male,cn,102,3402,https://www.goratings.org/en/players/968.html
1435,He Yuhan,♂,male,cn,103,3401,https://www.goratings.org/en/players/1435.html
1705,Chen Haoxin,♂,male,cn,104,3399,https://www.goratings.org/en/players/1705.html
1187,Hirata Tomoya,♂,male,jp,105,3398,https://www.goratings.org/en/players/1187.html
1171,Chen Hao,♂,male,cn,106,3397,https://www.goratings.org/en/players/1171.html
2205,Fu Jianheng,♂,male,cn,107,3396,https://www.goratings.org/en/players/2205.html
2308,Heo Youngrak,♂,male,kr,108,3396,https://www.goratings.org/en/players/2308.html
267,Yun Junsang,♂,male,kr,109,3393,https://www.goratings.org/en/players/267.html
2279,Ye Changxin,♂,male,cn,110,3392,https://www.goratings.org/en/players/2279.html
2489,Hong Seyoung,♂,male,kr,111,3392,https://www.goratings.org/en/players/2489.html
1609,Onishi Ryuhei,♂,male,jp,112,3392,https://www.goratings.org/en/players/1609.html
913,Murakawa Daisuke,♂,male,jp,113,3390,https://www.goratings.org/en/players/913.html
24,Liu Xing,♂,male,cn,114,3388,https://www.goratings.org/en/players/24.html
2043,Hu Zihao,♂,male,cn,115,3387,https://www.goratings.org/en/players/2043.html
1731,Song Gyusang,♂,male,kr,116,3386,https://www.goratings.org/en/players/1731.html
1188,Ida Atsushi,♂,male,jp,117,3384,https://www.goratings.org/en/players/1188.html
1202,Ryu Minhyung,♂,male,kr,118,3382,https://www.goratings.org/en/players/1202.html
1802,Chen Yichun,♂,male,cn,119,3382,https://www.goratings.org/en/players/1802.html
1201,Han Taehee,♂,male,kr,120,3380,https://www.goratings.org/en/players/1201.html
1945,Sakai Yuki,♂,male,jp,121,3379,https://www.goratings.org/en/players/1945.html
2033,Zheng Zaixiang,♂,male,cn,122,3379,https://www.goratings.org/en/players/2033.html
1875,Lee Jaesung,♂,male,kr,123,3378,https://www.goratings.org/en/players/1875.html
182,Kono Rin,♂,male,jp,124,3378,https://www.goratings.org/en/players/182.html
