issue,date,black_id,black_name,white_id,white_name,winner_id,reported_by_black,reported_by_white,details
Profile observation counts differ,2026-01-06,1090,Park Junghwan,2581,Pyo Hyeonwoo,1090,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-08,14898301,Lucas Neirynck,1711,Thomas Debarre,14898301,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-01-08,1663,Mateusz Surma,14898301,Lucas Neirynck,1663,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-08,1876,Andrii Kravets,14898301,Lucas Neirynck,1876,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-08,2450,Benjamin Dréan-Guénaïzia,14898301,Lucas Neirynck,2450,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-23,186,Han Chongjin,10000133,Lee Jihyeon (f),186,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-24,14898301,Lucas Neirynck,2450,Benjamin Dréan-Guénaïzia,14898301,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-01-24,1711,Thomas Debarre,14898301,Lucas Neirynck,1711,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-01-24,17937964,Kim Dohyup,1711,Thomas Debarre,17937964,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-02-19,10001368,Yang Gyebong,2393,Lee Nakyeong,10001368,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-02-20,10000938,Lee Seungjoon,1257,Kang Seungmin,1257,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-02-21,10001232,이서영(大),18,Lee Changho,18,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-02-28,1711,Thomas Debarre,17937964,Kim Dohyup,17937964,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-05,14962706,Tanguy Le Calvé,1218,Li Ting,14962706,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-03-05,14962706,Tanguy Le Calvé,2002,StanisÅaw Frejlak,14962706,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-03-05,14962706,Tanguy Le Calvé,2488,Jan Simara,14962706,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-03-05,1543,Ali Jabarin,14962706,Tanguy Le Calvé,1543,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-05,1663,Mateusz Surma,14962706,Tanguy Le Calvé,1663,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-05,1876,Andrii Kravets,14962706,Tanguy Le Calvé,1876,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-05,2450,Benjamin Dréan-Guénaïzia,14962706,Tanguy Le Calvé,2450,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-06,10001368,Yang Gyebong,2492,Cho Sangyeon (s),2492,0,1,Black profile rows: 0; White profile rows: 1
Profile observation counts differ,2026-03-06,2137,Nakamura Sumire,10001330,박태준,2137,1,0,Black profile rows: 1; White profile rows: 0
Profile observation counts differ,2026-03-06,2137,Nakamura Sumire,10001352,김단유,2137,1,0,Black profile rows: 1; White profile rows: 0
