base_key,occurrence,issue_type,date,player_id,player_name,opponent_id,opponent_name,colour,result,profile_url
2026-01-06|1090|2581|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-02-21|10001232|18|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-03-06|2137|10001330|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-03-06|2137|10001352|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-08|1282|2403|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-12|1595|2597|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-20|10001232|1315|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-23|36|2599|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-26|2586|2600|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-04-26|2603|2604|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-18|2586|2604|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-26|000551|2561|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-26|2419|000551|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-26|2419|2617|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-26|2617|2561|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-27|2361|000551|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-27|2361|2617|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-27|2562|000551|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-28|10001360|2446|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-28|2610|2581|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-05-29|2476|10001364|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-02|2601|2497|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-12|2532|2604|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-14|1534|2613|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-26|2265|2414|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-30|001379|1082|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-06-30|2615|1082|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-13|2455|10001375|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-14|000551|000546|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-14|000551|000550|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-14|2617|000546|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-14|2617|2618|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-15|000551|2364|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-15|000551|2430|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-15|2617|2364|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-15|2617|2430|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-24|10001328|10001376|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-07-31|10001376|2491|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-04|2559|001447|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-06|001445|2433|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-06|10001232|2137|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-07|10001376|2377|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-07|2509|10001375|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-15|001445|2544|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-15|1483|1283|W,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
2026-08-26|1223|10001232|B,1,only one player profile observed,NA,NA,NA,NA,NA,NA,NA,NA
