iteration,goratings_id,goratings_name,historical_name,matching_games,candidate_rank,top_candidate_ties,second_best_game_count,lead_over_second,accepted_this_iteration,rejection_reason
1,1002,Kim Byeongjun,Kimu Pyonjun,2,1,1,0,2,FALSE,Below minimum matching games
1,1004,Ha Youngil,Ha Yeongil,34,1,1,0,34,TRUE,NA
1,1010,Li Yi Hsiu,Li Yixiu,32,1,1,0,32,TRUE,NA
1,1013,Kim Hyun Jung,Kimu Hyonjon,7,1,1,0,7,TRUE,NA
1,108,Chang Hsu,Cho U,222,1,1,0,222,TRUE,NA
1,1099,Kim Seongjae,Kim Seungchae,95,1,1,0,95,TRUE,NA
1,1114,Yu Chengchi,Yu Zhengqi,363,1,1,0,363,TRUE,NA
1,1121,Cho Chien,Cho Chen,8,1,1,0,8,TRUE,NA
1,1145,Wang Jing Yi,Oh Keii,48,1,1,1,47,TRUE,NA
1,1145,Wang Jing Yi,Kyo Kagen,1,2,1,1,0,TRUE,NA
1,1145,Wang Jing Yi,Yao Zhiteng,1,3,1,1,0,TRUE,NA
1,116,Pan Shan Chi,Han Zenki,26,1,1,0,26,TRUE,NA
1,1169,Kim Miri,Kim Mili,38,1,1,0,38,TRUE,NA
1,1174,Oda Hiromitsu,Oda Hiromitsoo,3,1,1,0,3,TRUE,NA
1,1225,Yu Zhiying,Yoo Zhiying,316,1,1,1,315,TRUE,NA
1,1225,Yu Zhiying,Niu Yutian,1,2,1,1,0,FALSE,Not top candidate
1,1225,Yu Zhiying,Xie Yimin,1,3,1,1,0,TRUE,NA
1,1225,Yu Zhiying,Zhao Qianyue,1,4,1,1,0,FALSE,Not top candidate
1,1262,Sun Zhe,Son Makoto,107,1,1,1,106,TRUE,NA
1,1262,Sun Zhe,Lin Shixun,1,2,1,1,0,FALSE,Not top candidate
1,127,Park Shiun,Park Chieun,44,1,1,0,44,TRUE,NA
1,1300,Kang Byeongkwon,Kang Pyeonggwon,1,1,1,0,1,FALSE,Below minimum matching games
1,1321,Yao Zhi Teng,Yao Zhiteng,61,1,1,1,60,TRUE,NA
1,1321,Yao Zhi Teng,Oh Keii,1,2,1,1,0,TRUE,NA
1,1321,Yao Zhi Teng,Yo Chito,1,3,1,1,0,FALSE,Not top candidate
1,1353,Takeuchi Kousuke,Takeuchi Kosuke,10,1,1,0,10,TRUE,NA
1,1410,Kim Sinyoung,Kim Sinyeong,31,1,1,0,31,TRUE,NA
1,1451,Hsu Chia Yuan,Kyo Kagen,360,1,1,1,359,TRUE,NA
1,1451,Hsu Chia Yuan,Oh Keii,1,2,1,1,0,TRUE,NA
1,1464,Watanabe Kouki,Watanabe Koki,31,1,1,1,30,TRUE,NA
1,1464,Watanabe Kouki,Daito Kunio,1,2,1,1,0,FALSE,Not top candidate
1,1500,Shintani Yousuke,Shintani Yosuke,12,1,1,0,12,TRUE,NA
1,1535,Wu Boyi,U Boi,112,1,1,1,111,TRUE,NA
1,1535,Wu Boyi,Son Makoto,1,2,1,1,0,TRUE,NA
1,1545,Ota Ryou,Ota Ryo,12,1,1,0,12,TRUE,NA
1,1554,Chang Ruei Jie,Cho Zuiketsoo,45,1,1,0,45,TRUE,NA
1,1561,Meyer Francis,Francis Meyer,6,1,1,0,6,TRUE,NA
1,1607,Watanabe Yuu,Watanabe Yu,29,1,1,0,29,TRUE,NA
1,1631,Park Jinyoung,Park Jinyeong,21,1,1,0,21,TRUE,NA
1,1742,Choi Kyeongho,Choi Kwangho,26,1,1,0,26,TRUE,NA
1,176,Ko Keuntae,Ko Geuntae,29,1,1,0,29,TRUE,NA
1,1796,Cho Sang Yeun,Cho Sangyeon  (2),3,1,1,0,3,FALSE,Historical player claimed by multiple GoRatings IDs
1,1802,Chen Yichun,Chen Yijun,53,1,1,0,53,TRUE,NA
1,1823,Seki Koutarou,Seki Kotaro,107,1,1,0,107,TRUE,NA
1,1873,Han Sangcho,Han Sangjo,56,1,1,0,56,TRUE,NA
1,1874,Yi Liao,I Ryo,14,1,1,2,12,TRUE,NA
1,1874,Yi Liao,Lee Liao,2,2,1,2,0,FALSE,Not top candidate
1,1874,Yi Liao,Moon Minjong,1,3,1,2,-1,FALSE,Not top candidate
1,188,Huang Meng Cheng,Ko Mosei,3,1,1,0,3,TRUE,NA
1,1918,Lyu Liyan,Lü Liyan,17,1,1,10,7,TRUE,NA
1,1918,Lyu Liyan,Lu: Liyan,10,2,1,10,0,FALSE,Not top candidate
1,1918,Lyu Liyan,Xu Feiran,1,3,1,10,-9,FALSE,Not top candidate
1,194,Kim Soo Joon,Kim Sujun,42,1,1,1,41,TRUE,NA
1,194,Kim Soo Joon,Sakaguchi Ryuzo,1,2,1,1,0,FALSE,Not top candidate
1,2193,Cho Wankyu,Cho Wangyu,14,1,1,1,13,TRUE,NA
1,2193,Cho Wankyu,Choi Eunkyu,1,2,1,1,0,FALSE,Not top candidate
1,2221,Yang Yoojun,Yang Yujun,8,1,1,0,8,TRUE,NA
1,2228,Jeong Yujin,Cheong Yujin,84,1,1,0,84,TRUE,NA
1,2263,Tsukada Chiharu,Tsukada Jiharu,10,1,1,0,10,TRUE,NA
1,2305,Lee Suljoo,Lee Seuljoo,49,1,1,0,49,TRUE,NA
1,234,Park Byeongkyu,Park Pyeongkyu,3,1,1,0,3,TRUE,NA
