goratings_id,goratings_name,historical_name,match_iteration,date,color,result,historical_opponent_name,goratings_occurrences,gogod_occurrences,matched_occurrences
911,Arakaki Shun,Aragaki Shoon,1,2015-02-16,White,Loss,Imamura Yoshiaki,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2015-04-01,Black,Loss,Sada Atsushi,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2015-09-24,White,Loss,Ida Atsushi,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2016-07-03,Black,Win,Nakano Hironari,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2016-11-30,Black,Win,Konno Tameto,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2016-12-26,White,Loss,Matsumoto Takehisa,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2017-03-15,White,Win,Yokota Shigeaki,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2017-09-06,White,Loss,Murakawa Daisuke,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2017-10-18,White,Loss,Furuya Yutaka,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2019-09-02,White,Loss,Shibano Toramaru,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2020-07-08,Black,Loss,Hoshikawa Koyo,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2020-12-02,Black,Loss,Watanabe Koki,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2021-04-07,Black,Loss,Yuki Satoshi,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2022-05-25,Black,Loss,Takashima Yugo,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2023-09-27,White,Loss,Fujita Reo,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2024-04-24,White,Win,Kimu Pyonmin,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2024-08-21,White,Loss,Watanabe Yu,1,1,1
911,Arakaki Shun,Aragaki Shoon,1,2024-10-23,White,Loss,Taniguchi Toru,1,1,1
2429,Asahiyujun,Asahi Yujun,1,2025-07-22,Black,Win,Takeshita Nana,1,1,1
2429,Asahiyujun,Asahi Yujun,1,2025-08-13,Black,Win,Nakane Daiki,1,1,1
2429,Asahiyujun,Asahi Yujun,1,2025-08-13,White,Loss,Seki Ryosuke,1,1,1
2429,Asahiyujun,Asahi Yujun,1,2025-10-23,Black,Loss,Yin Chengzhi,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2024-07-26,Black,Loss,Kim Eunji,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2024-08-10,White,Loss,Kim Hyemin,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2024-09-21,Black,Loss,Gao Xing,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2024-10-11,White,Loss,Kim Kyeongeun,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-06-16,Black,Loss,Lee Changho,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-07-03,White,Loss,Oh Yujin,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-08-07,Black,Loss,Lee Nakyeong,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-10-09,White,Win,Oh Jeonga,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-11-05,Black,Loss,Nakamura Sumire,1,1,1
2521,Baek Yeojeong,Baek Yeocheong,1,2025-11-09,White,Loss,Cho Seungah,1,1,1
108,Chang Hsu,Cho U,1,2015-01-08,Black,Loss,Mimura Tomoyasu,1,1,1
108,Chang Hsu,Cho U,1,2015-01-15,Black,Loss,Ko Iso,1,1,1
108,Chang Hsu,Cho U,1,2015-02-05,Black,Win,Takao Shinji,1,1,1
108,Chang Hsu,Cho U,1,2015-02-12,White,Win,Takao Shinji,1,1,1
108,Chang Hsu,Cho U,1,2015-02-15,Black,Loss,Hane Naoki,1,1,1
108,Chang Hsu,Cho U,1,2015-02-19,White,Win,Komatsu Hideki,1,1,1
108,Chang Hsu,Cho U,1,2015-03-05,White,Loss,Yamashita Keigo,1,1,1
108,Chang Hsu,Cho U,1,2015-03-19,Black,Win,Kono Rin,1,1,1
108,Chang Hsu,Cho U,1,2015-04-02,White,Loss,Yamashita Keigo,1,1,1
108,Chang Hsu,Cho U,1,2015-04-09,White,Loss,So Yokoku,1,1,1
108,Chang Hsu,Cho U,1,2015-04-16,White,Loss,Murakawa Daisuke,1,1,1
108,Chang Hsu,Cho U,1,2015-04-23,White,Loss,Cho Riyu,1,1,1
108,Chang Hsu,Cho U,1,2015-05-04,Black,Win,Murakawa Daisuke,1,1,1
108,Chang Hsu,Cho U,1,2015-05-07,Black,Win,Kim Sujun,1,1,1
108,Chang Hsu,Cho U,1,2015-05-14,White,Win,Yuki Satoshi,1,1,1
108,Chang Hsu,Cho U,1,2015-05-28,Black,Loss,Ichiriki Ryo,1,1,1
108,Chang Hsu,Cho U,1,2015-06-01,Black,Win,Seto Taiki,1,1,1
108,Chang Hsu,Cho U,1,2015-06-25,White,Win,Hane Naoki,1,1,1
108,Chang Hsu,Cho U,1,2015-06-29,Black,Win,Tsuruta Kazushi,1,1,1
108,Chang Hsu,Cho U,1,2015-07-02,Black,Loss,Shuto Shun,1,1,1
108,Chang Hsu,Cho U,1,2015-07-16,White,Win,Cho Chikun,1,1,1
108,Chang Hsu,Cho U,1,2015-07-23,Black,Loss,Kono Rin,1,1,1
108,Chang Hsu,Cho U,1,2015-07-30,Black,Win,Kono Rin,1,1,1
108,Chang Hsu,Cho U,1,2015-08-03,Black,Loss,Yu Zhengqi,1,1,1
108,Chang Hsu,Cho U,1,2015-08-06,Black,Win,Hane Naoki,1,1,1
108,Chang Hsu,Cho U,1,2015-08-20,Black,Loss,Li Yixiu,1,1,1
108,Chang Hsu,Cho U,1,2015-08-27,Black,Win,Mizokami Tomochika,1,1,1
108,Chang Hsu,Cho U,1,2015-10-29,Black,Loss,Motoki Katsuya,1,1,1
108,Chang Hsu,Cho U,1,2015-11-12,Black,Win,Kim Sujun,1,1,1
108,Chang Hsu,Cho U,1,2015-11-19,Black,Loss,Kono Rin,1,1,1
108,Chang Hsu,Cho U,1,2015-12-10,White,Win,Hane Naoki,1,1,1
108,Chang Hsu,Cho U,1,2015-12-14,Black,Win,Onda Yasuhiko,1,1,1
108,Chang Hsu,Cho U,1,2015-12-17,Black,Loss,Yamashita Keigo,1,1,1
108,Chang Hsu,Cho U,1,2016-01-21,Black,Win,Uchida Shuhei,1,1,1
108,Chang Hsu,Cho U,1,2016-01-28,White,Loss,Takao Shinji,1,1,1
108,Chang Hsu,Cho U,1,2016-02-04,White,Win,Ichiriki Ryo,1,1,1
108,Chang Hsu,Cho U,1,2016-02-11,White,Win,Ko Iso,1,1,1
108,Chang Hsu,Cho U,1,2016-03-03,Black,Win,Awaji Shuzo,1,1,1
108,Chang Hsu,Cho U,1,2016-03-07,Black,Loss,Anzai Nobuaki,1,1,1
108,Chang Hsu,Cho U,1,2016-03-10,White,Loss,Ichiriki Ryo,1,1,1
108,Chang Hsu,Cho U,1,2016-03-17,Black,Win,Yu Zhengqi,1,1,1
108,Chang Hsu,Cho U,1,2016-03-31,White,Win,Ida Atsushi,1,1,1
108,Chang Hsu,Cho U,1,2016-04-28,White,Win,Hirata Tomoya,1,1,1
108,Chang Hsu,Cho U,1,2016-05-05,White,Loss,Ryu Shikun,1,1,1
