goratings_id,goratings_name,source_goratings_name,canonical_goratings_id,alias_count,historical_name,match_status,match_iteration,match_game_count,second_best_game_count,checkpoint_rating,checkpoint_games,last_historical_game,name_occurrences
1465,Abe Yoshiki,Abe Yoshiki,1465,1,Abe Yoshiki,exact_name_match,0,NA,NA,3077.0623896941183,78,2025-11-12,19
1190,Adachi Toshimasa,Adachi Toshimasa,1190,1,Adachi Toshimasa,exact_name_match,0,NA,NA,3346.7202773214835,162,2025-12-22,22
1210,Ahn Kukhyun,Ahn Kukhyun,1210,1,Ahn Kukhyun,exact_name_match,0,NA,NA,3370.3198493470063,246,2025-12-21,8
258,Akiyama Jiro,Akiyama Jiro,258,1,Akiyama Jiro,exact_name_match,0,NA,NA,3317.4285900121386,307,2025-05-01,8
2435,Alexander Qi,Alexander Qi,2435,1,Alexander Qi,exact_name_match,0,NA,NA,3081.844253542105,5,2025-04-10,4
1543,Ali Jabarin,Ali Jabarin,1543,1,Ali Jabarin,exact_name_match,0,NA,NA,3043.4494701412946,37,2023-05-05,16
1148,An Dongxu,An Dongxu,1148,1,An Dongxu,exact_name_match,0,NA,NA,3323.4529848929315,113,2024-06-06,1
144,An Joyeong,An Joyeong,144,1,An Joyeong,exact_name_match,0,NA,NA,3238.655667341815,502,2025-09-24,6
1622,An Jungki,An Jungki,1622,1,An Jungki,exact_name_match,0,NA,NA,3347.016535166746,131,2025-12-20,11
1173,An Sungjoon,An Sungjoon,1173,1,An Sungjoon,exact_name_match,0,NA,NA,3473.3441091672744,385,2025-12-24,22
2402,Ando Hinata,Ando Hinata,2402,1,Ando Hinata,exact_name_match,0,NA,NA,3019.7248524342817,16,2025-10-15,12
985,Ando Kazushige,Ando Kazushige,985,1,Ando Kazushige,exact_name_match,0,NA,NA,3043.941116541856,50,2023-07-20,5
1876,Andrii Kravets,Andrii Kravets,1876,1,Andrii Kravets,exact_name_match,0,NA,NA,3060.661334147775,23,2025-07-01,14
889,Anzai Nobuaki,Anzai Nobuaki,889,1,Anzai Nobuaki,exact_name_match,0,NA,NA,3301.7915814324697,262,2025-11-13,5
1025,Aoba Kaori,Aoba Kaori,1025,1,Aoba Kaori,exact_name_match,0,NA,NA,2960.359076989119,49,2025-05-05,3
1979,Aoki Hirotaka,Aoki Hirotaka,1979,1,Aoki Hirotaka,exact_name_match,0,NA,NA,3070.8217826188143,15,2024-05-20,2
44,Aoki Kikuyo,Aoki Kikuyo,44,1,Aoki Kikuyo,exact_name_match,0,NA,NA,3066.6054658893627,387,2025-08-25,4
774,Aoki Shinichi,Aoki Shinichi,774,1,Aoki Shinichi,exact_name_match,0,NA,NA,2993.356474213285,77,2025-11-02,3
2430,Arai Kanta,Arai Kanta,2430,1,Arai Kanta,exact_name_match,0,NA,NA,3092.9194161649148,8,2025-10-06,11
793,Araki Issei,Araki Issei,793,1,Araki Issei,exact_name_match,0,NA,NA,3037.050907689443,13,2022-09-05,2
704,Araki Masako,Araki Masako,704,1,Araki Masako,exact_name_match,0,NA,NA,3038.14179885978,19,2016-03-31,6
820,Arimura Hiroshi,Arimura Hiroshi,820,1,Arimura Hiroshi,exact_name_match,0,NA,NA,3035.0247366856433,71,2024-04-04,1
1024,Asano Yasuko,Asano Yasuko,1024,1,Asano Yasuko,exact_name_match,0,NA,NA,3003.748672587274,30,2015-12-24,1
243,Awaji Shuzo,Awaji Shuzo,243,1,Awaji Shuzo,exact_name_match,0,NA,NA,3190.657312163848,473,2025-05-08,4
1401,Baek Chanhee,Baek Chanhee,1401,1,Baek Chanhee,exact_name_match,0,NA,NA,3181.872858125913,21,2025-06-23,1
1448,Bian Wenkai,Bian Wenkai,1448,1,Bian Wenkai,exact_name_match,0,NA,NA,2993.6807166672884,17,2025-12-08,4
1290,Byun Sangil,Byun Sangil,1290,1,Byun Sangil,exact_name_match,0,NA,NA,3538.784729433869,708,2025-12-24,39
1047,Cai Bihan,Cai Bihan,1047,1,Cai Bihan,exact_name_match,0,NA,NA,3038.9963532344304,99,2025-06-27,1
1072,Cao Youyin,Cao Youyin,1072,1,Cao Youyin,exact_name_match,0,NA,NA,3046.034440561021,220,2025-11-26,1
1996,Chang Fukang,Chang Fukang,1996,1,Chang Fukang,exact_name_match,0,NA,NA,3023.0810414283465,31,2025-07-01,3
1770,Chen Bisen,Chen Bisen,1770,1,Chen Bisen,exact_name_match,0,NA,NA,3129.3910483324757,11,2025-10-21,1
1705,Chen Haoxin,Chen Haoxin,1705,1,Chen Haoxin,exact_name_match,0,NA,NA,3310.4286438835934,106,2025-12-09,15
2295,Chen Jiarui,Chen Jiarui,2295,1,Chen Jiarui,exact_name_match,0,NA,NA,3144.3708842005567,19,2025-09-17,8
2161,Chen Manqi,Chen Manqi,2161,1,Chen Manqi,exact_name_match,0,NA,NA,3001.5431182168168,32,2025-12-12,11
1534,Chen Qirui,Chen Qirui,1534,1,Chen Qirui,exact_name_match,0,NA,NA,3301.9080258828476,431,2025-12-30,5
241,Chen Shiyuan,Chen Shiyuan,241,1,Chen Shiyuan,exact_name_match,0,NA,NA,3229.5059020764184,525,2025-12-10,1
1292,Chen Xian,Chen Xian,1292,1,Chen Xian,exact_name_match,0,NA,NA,3400.6077074852046,267,2025-12-09,22
2444,Chen Xinyang,Chen Xinyang,2444,1,Chen Xinyang,exact_name_match,0,NA,NA,2971.6293883895346,28,2025-12-11,1
297,Chen Yaoye,Chen Yaoye,297,1,Chen Yaoye,exact_name_match,0,NA,NA,3430.1177724207473,905,2025-10-19,8
1180,Chen Yiming,Chen Yiming,1180,1,Chen Yiming,exact_name_match,0,NA,NA,3137.2262300386465,229,2025-10-30,9
1488,Chen Yunong,Chen Yunong,1488,1,Chen Yunong,exact_name_match,0,NA,NA,3458.112003918637,109,2025-12-16,19
1426,Chen Zhengxun,Chen Zhengxun,1426,1,Chen Zhengxun,exact_name_match,0,NA,NA,3279.231531673967,158,2025-11-29,14
1504,Chen Zijian,Chen Zijian,1504,1,Chen Zijian,exact_name_match,0,NA,NA,3498.040385453894,239,2025-12-09,16
1866,Cheng Jiaye,Cheng Jiaye,1866,1,Cheng Jiaye,exact_name_match,0,NA,NA,3148.1592364595417,23,2025-08-01,3
99,Cho Hanseung,Cho Hanseung,99,1,Cho Hanseung,exact_name_match,0,NA,NA,3373.4056480858917,830,2025-10-23,2
149,Cho Hunhyun,Cho Hunhyun,149,1,Cho Hunhyun,exact_name_match,0,NA,NA,3213.7129197864065,1945,2025-11-17,2
100,Cho Hyeyeon,Cho Hyeyeon,100,1,Cho Hyeyeon,exact_name_match,0,NA,NA,3178.5667590253315,395,2025-10-21,10
2364,Cho Koharu,Cho Koharu,2364,1,Cho Koharu,exact_name_match,0,NA,NA,3088.921160828645,14,2025-08-13,10
2250,Cho Kosumi,Cho Kosumi,2250,1,Cho Kosumi,exact_name_match,0,NA,NA,2993.6027300248543,23,2025-08-07,2
1812,Cho Seungah,Cho Seungah,1812,1,Cho Seungah,exact_name_match,0,NA,NA,3137.8477214204004,210,2025-12-12,17
161,Choi Cheolhan,Choi Cheolhan,161,1,Choi Cheolhan,exact_name_match,0,NA,NA,3309.2254012151298,1098,2024-11-25,4
1627,Choi Jaeyoung,Choi Jaeyoung,1627,1,Choi Jaeyoung,exact_name_match,0,NA,NA,3351.401235503703,146,2025-12-19,15
1223,Choi Jeong,Choi Jeong,1223,1,Choi Jeong,exact_name_match,0,NA,NA,3397.923092738029,714,2025-12-18,40
162,Choi Kyubyeong,Choi Kyubyeong,162,1,Choi Kyubyeong,exact_name_match,0,NA,NA,3147.9726562946207,371,2025-11-30,1
2256,Choi Minseo,Choi Minseo,2256,1,Choi Minseo,exact_name_match,0,NA,NA,3095.7974097229635,1,2021-03-15,6
2569,Choi Minseo (f),Choi Minseo (f),2569,1,Choi Minseo  (f),exact_name_match,0,NA,NA,3024.0156082428666,14,2025-10-16,11
159,Choi Myeonghun,Choi Myeonghun,159,1,Choi Myeonghun,exact_name_match,0,NA,NA,3316.439273353857,470,2025-11-06,7
2415,Choi Seungcheol,Choi Seungcheol,2415,1,Choi Seungcheol,exact_name_match,0,NA,NA,3126.3015519815467,20,2025-05-09,15
2026,Chu Keer,Chu Keer,2026,1,Chu Keer,exact_name_match,0,NA,NA,2960.2383903693085,40,2025-12-29,8
1422,Chujo Chihiro,Chujo Chihiro,1422,1,Chujo Chihiro,exact_name_match,0,NA,NA,3018.62166772405,4,2025-10-20,7
383,Cui Can,Cui Can,383,1,Cui Can,exact_name_match,0,NA,NA,3155.666095966724,49,2020-03-03,1
2315,Dai Qigao,Dai Qigao,2315,1,Dai Qigao,exact_name_match,0,NA,NA,3078.4685493971388,36,2025-12-27,7
1135,Dang Yifei,Dang Yifei,1135,1,Dang Yifei,exact_name_match,0,NA,NA,3633.4832665280414,615,2025-12-29,52
1332,Deguchi Mariko,Deguchi Mariko,1332,1,Deguchi Mariko,exact_name_match,0,NA,NA,2953.6043685211,20,2025-08-07,15
2468,Deng Youjia,Deng Youjia,2468,1,Deng Youjia,exact_name_match,0,NA,NA,3071.8845526538635,6,2025-09-02,1
1511,Ding Hao,Ding Hao,1511,1,Ding Hao,exact_name_match,0,NA,NA,3733.3544706900375,436,2025-12-26,46
