goratings_id,goratings_name,source_goratings_name,canonical_goratings_id,alias_count,historical_name,match_status,match_iteration,match_game_count,second_best_game_count,checkpoint_rating,checkpoint_games,last_historical_game,name_occurrences
2450,Benjamin Dréan-Guénaïzia,Benjamin Dréan-Guénaïzia,2450,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,17
246,Chang Luhsiang,Chang Luhsiang,246,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,5
2510,Chen Bo-Shao,Chen Bo-Shao,2510,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,11
2166,Chen Tuli,Chen Tuli,2166,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
1796,Cho Sang Yeun,Cho Sang Yeun,1796,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
2492,Cho Sangyeon (s),Cho Sangyeon (s),2492,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,21
2448,Choi Hwanyoung,Choi Hwanyoung,2448,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,18
1475,Hamanaka Takamitsu,Hamanaka Takamitsu,1475,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2439,Ikawa Ryougo,Ikawa Ryougo,2439,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,3
10001372,Jeong Wonchan,Jeong Wonchan,10001372,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,5
1300,Kang Byeongkwon,Kang Byeongkwon,1300,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001328,Kang Kyeonghyeon,Kang Kyeonghyeon,10001328,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,7
000532,Kasahara Yuki,Kasahara Yuki,000532,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
000551,Katayama Toko,Katayama Toko,000551,2,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,15
2617,Katayama Toko,Katayama Toko,000551,2,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,15
17937964,Kim Dohyup,Kim Dohyup,17937964,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,8
2602,Kim Juhyeong,Kim Juhyeong,2602,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,8
2455,Kim Junghyun (s),Kim Junghyun (s),2455,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,27
2454,Kim Kieon,Kim Kieon,2454,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,8
2588,Kim Sawoo,Kim Sawoo,2588,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,9
2607,Kim Wondae,Kim Wondae,2607,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,13
000550,Kohhara Nono,Kohhara Nono,000550,2,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,16
2618,Kohhara Nono,Kohhara Nono,000550,2,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,16
10000133,Lee Jihyeon (f),Lee Jihyeon (f),10000133,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2592,Lee Jooyoung,Lee Jooyoung,2592,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,14
2609,Lee Seoyoung (b),Lee Seoyoung (b),2609,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,9
10000938,Lee Seungjoon,Lee Seungjoon,10000938,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2605,Lee Yoon,Lee Yoon,2605,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,15
2499,Li Chongde,Li Chongde,2499,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001185,Lim Kyeongchan,Lim Kyeongchan,10001185,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,9
2586,Lyu Zhengyi,Lyu Zhengyi,2586,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,5
1483,Michael Chen,Michael Chen,1483,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2589,Mizokami Daisuke,Mizokami Daisuke,2589,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,11
12874356,Motoki Noguchi,Motoki Noguchi,12874356,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
2587,Nakagawa Takumi,Nakagawa Takumi,2587,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,8
2581,Pyo Hyeonwoo,Pyo Hyeonwoo,2581,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
2554,Saga Shuntaro,Saga Shuntaro,2554,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,6
2246,Shinoda Mitsuaki,Shinoda Mitsuaki,2246,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2547,Song Ruilai,Song Ruilai,2547,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
14962706,Tanguy Le Calvé,Tanguy Le Calvé,14962706,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,12
552,Wang Yi 1960,Wang Yi 1960,552,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2594,Wang Yi 2013,Wang Yi 2013,2594,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2608,Won Kangha,Won Kangha,2608,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,12
2615,Xie Qisen,Xie Qisen,2615,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2604,Xiong Mingrui,Xiong Mingrui,2604,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,3
2601,Xu Yuhao,Xu Yuhao,2601,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
10001368,Yang Gyebong,Yang Gyebong,10001368,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
2610,Yoo Hajoon,Yoo Hajoon,2610,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,7
10001281,Yoon Seowon,Yoon Seowon,10001281,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,16
2434,Yu Jiabu,Yu Jiabu,2434,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
1937,Yun Minjung,Yun Minjung,1937,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2424,Zhang Qin,Zhang Qin,2424,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2600,Zhang Wenzheng,Zhang Wenzheng,2600,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2563,Zhang Yandi,Zhang Yandi,2563,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
2603,Zou Ziyang,Zou Ziyang,2603,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
001445,吴新源,吴新源,001445,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
001447,杨千逸,杨千逸,001447,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
001379,解祁森,解祁森,001379,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
001377,邱启航,邱启航,001377,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001352,김단유,김단유,10001352,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001259,노우진,노우진,10001259,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,12
10001330,박태준,박태준,10001330,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001375,심효준,심효준,10001375,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,2
10001367,악지우,악지우,10001367,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,9
10001360,윤서율,윤서율,10001360,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001232,이서영(大),이서영(大),10001232,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,4
10001364,전종찬,전종찬,10001364,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,1
10001376,지유환,지유환,10001376,1,NA,unmatched_or_new,NA,NA,NA,NA,NA,NA,3
