name,gender,flag
Cho U,,jp
Kyo Kagen,,jp
Ma Xiaojun,,cn
Yu Zhengqi,,jp
Cho Jikun,,jp
Song T'ae-kon,,kr
Lee Younggu,,kr
Choi Jeong,,kr
Baek Hongseok,,kr
Kim Eunji,,kr
Lee Lingtao,,cn
Oh Rissei,,jp
Wang Lei Sr.,,cn
Yoo Bin,,cn
Kim Seungchae,,kr
Zhang Tao,,cn
Han Taeheui,,kr
Yoo Zhiying,,cn
Hon Akiyoshi,,jp
Kim Kiyong,,kr
Liu Xi Jr.,,cn
Oh Meien,,jp
Kim Jooho,,kr
Jin Siyeong,,kr
Mimura Tomoyasoo,,jp
Go Seigen,,jp
Cho Zuiketsoo,,jp
Sho Gyokuyo,,jp
Ko Geuntae,,kr
Ryu Jaehyung,,kr
Cho Namcheol,,kr
Son Makoto,,jp
Rin Kanketsoo,,jp
Wang Lei Jr.,,cn
Takagawa Shukaku,,jp
Handa Dogen,,jp
Kim Mansu,,kr
Li Yixiu,,cn
Kim Seongryong,,kr
Kitani Minoru,,jp
Sim Jaeui,,kr
Lee Jeongwoo,,kr
An Yeonggil,,kr
Chen Yijun,,cn
U Boi,,jp
Shuto Shoon,,jp
Chen Hao (1),,cn
Kim Suchang,,kr
Kim Setong,,kr
Yun Seonghyun,,kr
Yang Yi Sr.,,cn
Alexandre Dinerchtein,,ru
Park Chieun,,kr
On So-chin,,kr
Min Sangyeon,,kr
Baek Taehyun,,kr
Hong Gipyo,,kr
Cheong Suhyeon,,kr
Yoo Ping,,cn
Lee Hobeom,,kr
An Dalhoon,,kr
Chu Hyeonguk,,kr
Fujisawa Kuranosuke,,jp
Kawamura Yozo,,jp
Kim Younghwan,,kr
Ha Seongbong,,kr
Im Seonkeun,,kr
Miyashita Shuyo,,jp
Choi Kihun,,kr
Oba Junya,,jp
An Hyeongjun,,kr
Fu Jong,,jp
Kim Seongjin,,kr
Sekiyama Riichi,,jp
Murakami Bunsho,,jp
ELF OpenGo,,
Tsuchida Masamitsoo,,jp
Jeong Hyeonsan,,kr
Lee Seula,,kr
Kim Huichung,,kr
Tang Yi (2),,cn
Tang Yi (f),,cn
Baek Seongho,,kr
Lee Hoseung,,kr
Hong Malkeun Saem,,kr
Kim Yunyeong,,kr
Li Xiaoxi (1),,cn
Park Seunghyun,,kr
Yoo Pyeongyong,,kr
Iwata Masao,,jp
Murakami Fukashi,,jp
Ha Yeongil,,jp
Cho Wangyu,,kr
Yoshida Yoichi Sr.,,jp
Michael Redmond,,us
