date,home_team,away_team,result,score,tournament
1872-11-30,Scotland,England,Draw,0-0,Friendly
1873-03-08,England,Scotland,England,4-2,Friendly
1874-03-07,Scotland,England,Scotland,2-1,Friendly
1875-03-06,England,Scotland,Draw,2-2,Friendly
1876-03-04,Scotland,England,Scotland,3-0,Friendly
1876-03-25,Scotland,Wales,Scotland,4-0,Friendly
1877-03-03,England,Scotland,Scotland,1-3,Friendly
1877-03-05,Wales,Scotland,Scotland,0-2,Friendly
1878-03-02,Scotland,England,Scotland,7-2,Friendly
1878-03-23,Scotland,Wales,Scotland,9-0,Friendly
1879-01-18,England,Wales,England,2-1,Friendly
1879-04-05,England,Scotland,England,5-4,Friendly
1879-04-07,Wales,Scotland,Scotland,0-3,Friendly
1880-03-13,Scotland,England,Scotland,5-4,Friendly
1880-03-15,Wales,England,England,2-3,Friendly
1880-03-27,Scotland,Wales,Scotland,5-1,Friendly
1881-02-26,England,Wales,Wales,0-1,Friendly
1881-03-12,England,Scotland,Scotland,1-6,Friendly
1881-03-14,Wales,Scotland,Scotland,1-5,Friendly
1882-02-18,Republic of Ireland,England,England,0-13,Friendly
1882-02-25,Wales,Republic of Ireland,Wales,7-1,Friendly
1882-03-11,Scotland,England,Scotland,5-1,Friendly
1882-03-13,Wales,England,Wales,5-3,Friendly
1882-03-25,Scotland,Wales,Scotland,5-0,Friendly
1883-02-03,England,Wales,England,5-0,Friendly
1883-02-24,England,Republic of Ireland,England,7-0,Friendly
1883-03-10,England,Scotland,Scotland,2-3,Friendly
1883-03-12,Wales,Scotland,Scotland,0-3,Friendly
1883-03-17,Republic of Ireland,Wales,Draw,1-1,Friendly
1884-01-26,Republic of Ireland,Scotland,Scotland,0-5,British Championship
1884-02-09,Wales,Republic of Ireland,Wales,6-0,British Championship
1884-02-23,Republic of Ireland,England,England,1-8,British Championship
1884-03-15,Scotland,England,Scotland,1-0,British Championship
1884-03-17,Wales,England,England,0-4,British Championship
1884-03-29,Scotland,Wales,Scotland,4-1,British Championship
1885-02-28,England,Republic of Ireland,England,4-0,British Championship
1885-03-14,England,Wales,Draw,1-1,British Championship
1885-03-14,Scotland,Republic of Ireland,Scotland,8-2,British Championship
1885-03-21,England,Scotland,Draw,1-1,British Championship
1885-03-23,Wales,Scotland,Scotland,1-8,British Championship
1885-04-11,Republic of Ireland,Wales,Wales,2-8,British Championship
1886-02-27,Wales,Republic of Ireland,Wales,5-0,British Championship
1886-03-13,Republic of Ireland,England,England,1-6,British Championship
1886-03-20,Republic of Ireland,Scotland,Scotland,2-7,British Championship
1886-03-27,Scotland,England,Draw,1-1,British Championship
1886-03-29,Wales,England,England,1-3,British Championship
1886-04-10,Scotland,Wales,Scotland,4-1,British Championship
1887-02-05,England,Republic of Ireland,England,7-0,British Championship
1887-02-19,Scotland,Republic of Ireland,Scotland,4-1,British Championship
1887-02-26,England,Wales,England,4-0,British Championship
1887-03-12,Republic of Ireland,Wales,Republic of Ireland,4-1,British Championship
1887-03-19,England,Scotland,Scotland,2-3,British Championship
1887-03-21,Wales,Scotland,Scotland,0-2,British Championship
1888-02-04,England,Wales,England,5-1,British Championship
1888-03-03,Wales,Republic of Ireland,Wales,11-0,British Championship
1888-03-10,Scotland,Wales,Scotland,5-1,British Championship
1888-03-17,Scotland,England,England,0-5,British Championship
1888-03-24,Republic of Ireland,Scotland,Scotland,2-10,British Championship
1888-04-07,Republic of Ireland,England,England,1-5,British Championship
1889-02-23,England,Wales,England,4-1,British Championship
1889-03-02,England,Republic of Ireland,England,6-1,British Championship
1889-03-09,Scotland,Republic of Ireland,Scotland,7-0,British Championship
1889-04-13,England,Scotland,Scotland,2-3,British Championship
1889-04-15,Wales,Scotland,Draw,0-0,British Championship
1889-04-27,Republic of Ireland,Wales,Wales,1-3,British Championship
1890-02-08,Wales,Republic of Ireland,Wales,5-2,British Championship
1890-03-15,Republic of Ireland,England,England,1-9,British Championship
1890-03-15,Wales,England,England,1-3,British Championship
1890-03-22,Scotland,Wales,Scotland,5-0,British Championship
1890-03-29,Republic of Ireland,Scotland,Scotland,1-4,British Championship
1890-04-05,Scotland,England,Draw,1-1,British Championship
1891-02-07,Republic of Ireland,Wales,Republic of Ireland,7-2,British Championship
1891-03-07,England,Republic of Ireland,England,6-1,British Championship
1891-03-07,England,Wales,England,4-1,British Championship
1891-03-21,Wales,Scotland,Scotland,3-4,British Championship
1891-03-28,Scotland,Republic of Ireland,Scotland,2-1,British Championship
1891-04-04,England,Scotland,England,2-1,British Championship
1892-02-27,Wales,Republic of Ireland,Draw,1-1,British Championship
1892-03-05,Republic of Ireland,England,England,0-2,British Championship
1892-03-05,Wales,England,England,0-2,British Championship
1892-03-19,Republic of Ireland,Scotland,Scotland,2-3,British Championship
1892-03-26,Scotland,Wales,Scotland,6-1,British Championship
1892-04-02,Scotland,England,England,1-4,British Championship
1893-02-25,England,Republic of Ireland,England,6-1,British Championship
1893-03-13,England,Wales,England,6-0,British Championship
