tournament,matches,first_date,last_date,tournament_id,recognised
Friendly,15759,1872-11-30,2026-07-18,NA,FALSE
World Cup qualifier,7320,1933-06-11,2026-03-31,NA,FALSE
European Championship qual,2728,1958-09-28,2024-03-26,NA,FALSE
African Nations Cup qualifier,2352,1961-04-30,2026-03-31,NA,FALSE
Friendly tournament,2119,1913-06-15,2026-06-09,NA,FALSE
World Cup,1067,1930-07-13,2026-07-19,world-cup,TRUE
Asian Cup qualifier,896,1956-02-25,2026-06-04,NA,FALSE
African Nations Cup,844,1957-02-10,2026-01-18,african-nations-cup,TRUE
Olympic Games qualifier,725,1956-01-29,1988-05-25,NA,FALSE
CECAFA Cup,648,1973-09-22,2019-12-19,cecafa-cup,TRUE
Independence Tournament,566,1957-08-31,2024-09-08,NA,FALSE
British Championship,515,1884-01-26,1984-05-26,NA,FALSE
CONCACAF Championship,473,1963-03-23,2025-07-06,concacaf-championship,TRUE
Copa America,456,1975-07-17,2021-07-10,copa-america,TRUE
World Cup and Asian Cup qual,446,2015-03-12,2024-06-11,NA,FALSE
COSAFA Cup,422,1997-03-01,2025-06-15,cosafa-cup,TRUE
Asian Cup,420,1956-09-01,2024-02-10,asian-cup,TRUE
Gulf Cup,398,1970-03-27,2025-01-04,gulf-cup,TRUE
European Championship,388,1960-07-06,2024-07-14,european-championship,TRUE
World Cup and African Cup qual,384,2003-10-10,2009-11-15,NA,FALSE
Asian Games,364,1951-03-05,1998-12-19,NA,FALSE
South American Champ,355,1916-07-02,1967-02-01,copa-america,TRUE
Southeast Asian Champ,329,1996-09-02,2026-08-08,southeast-asian-championship,TRUE
Nordic Championship,286,1924-06-15,2001-02-01,NA,FALSE
CONCACAF Ch & Car Cup q,278,1991-05-08,2007-01-09,NA,FALSE
King's Cup,241,1968-11-20,2025-09-07,NA,FALSE
Amilcar Cabral Cup,236,1979-01-07,2007-12-07,NA,FALSE
CONCACAF Ch & Car Ch q,222,2008-07-27,2016-11-13,NA,FALSE
Olympic Games,192,1908-10-19,1988-09-22,olympic-games,TRUE
European Nations League C,191,2018-09-06,2024-11-19,european-nations-league,TRUE
CONCACAF Nations League B,189,2019-09-05,2024-11-19,concacaf-nations-league,TRUE
Southeast Asian Games,187,1956-12-31,1999-08-14,NA,FALSE
South Pacific Games,186,1963-08-29,2007-09-07,NA,FALSE
Arab Cup,180,1963-03-31,2025-12-18,arab-cup,TRUE
South Asian Championship,174,1993-07-16,2023-07-04,south-asian-championship,TRUE
European Nations League A,167,2018-09-06,2024-11-19,european-nations-league,TRUE
European Nations League B,161,2018-09-06,2024-11-19,european-nations-league,TRUE
Presidents Cup,146,1971-05-02,1993-06-28,NA,FALSE
