date,tournament,home_team,away_team,source
11/06/2026,FIFA World Cup,Mexico,South Africa,manual_world_cup_2026
11/06/2026,FIFA World Cup,South Korea,Czechia,manual_world_cup_2026
12/06/2026,FIFA World Cup,Canada,Bosnia and Herzegovina,manual_world_cup_2026
12/06/2026,FIFA World Cup,United States,Paraguay,manual_world_cup_2026
13/06/2026,FIFA World Cup,Qatar,Switzerland,manual_world_cup_2026
13/06/2026,FIFA World Cup,Brazil,Morocco,manual_world_cup_2026
13/06/2026,FIFA World Cup,Haiti,Scotland,manual_world_cup_2026
13/06/2026,FIFA World Cup,Australia,Turkey,manual_world_cup_2026
14/06/2026,FIFA World Cup,Germany,Curacao,manual_world_cup_2026
14/06/2026,FIFA World Cup,Netherlands,Japan,manual_world_cup_2026
14/06/2026,FIFA World Cup,Ivory Coast,Ecuador,manual_world_cup_2026
14/06/2026,FIFA World Cup,Sweden,Tunisia,manual_world_cup_2026
15/06/2026,FIFA World Cup,Spain,Cape Verde,manual_world_cup_2026
15/06/2026,FIFA World Cup,Belgium,Egypt,manual_world_cup_2026
15/06/2026,FIFA World Cup,Saudi Arabia,Uruguay,manual_world_cup_2026
15/06/2026,FIFA World Cup,Iran,New Zealand,manual_world_cup_2026
16/06/2026,FIFA World Cup,France,Senegal,manual_world_cup_2026
16/06/2026,FIFA World Cup,Iraq,Norway,manual_world_cup_2026
16/06/2026,FIFA World Cup,Argentina,Algeria,manual_world_cup_2026
16/06/2026,FIFA World Cup,Austria,Jordan,manual_world_cup_2026
17/06/2026,FIFA World Cup,Portugal,DR Congo,manual_world_cup_2026
17/06/2026,FIFA World Cup,England,Croatia,manual_world_cup_2026
17/06/2026,FIFA World Cup,Ghana,Panama,manual_world_cup_2026
17/06/2026,FIFA World Cup,Uzbekistan,Colombia,manual_world_cup_2026
18/06/2026,FIFA World Cup,Czechia,South Africa,manual_world_cup_2026
18/06/2026,FIFA World Cup,Switzerland,Bosnia and Herzegovina,manual_world_cup_2026
18/06/2026,FIFA World Cup,Canada,Qatar,manual_world_cup_2026
18/06/2026,FIFA World Cup,Mexico,South Korea,manual_world_cup_2026
19/06/2026,FIFA World Cup,United States,Australia,manual_world_cup_2026
19/06/2026,FIFA World Cup,Scotland,Morocco,manual_world_cup_2026
19/06/2026,FIFA World Cup,Brazil,Haiti,manual_world_cup_2026
19/06/2026,FIFA World Cup,Turkey,Paraguay,manual_world_cup_2026
20/06/2026,FIFA World Cup,Netherlands,Sweden,manual_world_cup_2026
20/06/2026,FIFA World Cup,Germany,Ivory Coast,manual_world_cup_2026
20/06/2026,FIFA World Cup,Ecuador,Curacao,manual_world_cup_2026
20/06/2026,FIFA World Cup,Tunisia,Japan,manual_world_cup_2026
21/06/2026,FIFA World Cup,Spain,Saudi Arabia,manual_world_cup_2026
21/06/2026,FIFA World Cup,Belgium,Iran,manual_world_cup_2026
21/06/2026,FIFA World Cup,Uruguay,Cape Verde,manual_world_cup_2026
21/06/2026,FIFA World Cup,New Zealand,Egypt,manual_world_cup_2026
22/06/2026,FIFA World Cup,Argentina,Austria,manual_world_cup_2026
22/06/2026,FIFA World Cup,France,Iraq,manual_world_cup_2026
22/06/2026,FIFA World Cup,Norway,Senegal,manual_world_cup_2026
22/06/2026,FIFA World Cup,Jordan,Algeria,manual_world_cup_2026
23/06/2026,FIFA World Cup,Portugal,Uzbekistan,manual_world_cup_2026
23/06/2026,FIFA World Cup,England,Ghana,manual_world_cup_2026
23/06/2026,FIFA World Cup,Panama,Croatia,manual_world_cup_2026
23/06/2026,FIFA World Cup,Colombia,DR Congo,manual_world_cup_2026
24/06/2026,FIFA World Cup,Switzerland,Canada,manual_world_cup_2026
24/06/2026,FIFA World Cup,Bosnia and Herzegovina,Qatar,manual_world_cup_2026
24/06/2026,FIFA World Cup,Scotland,Brazil,manual_world_cup_2026
24/06/2026,FIFA World Cup,Morocco,Haiti,manual_world_cup_2026
24/06/2026,FIFA World Cup,Czechia,Mexico,manual_world_cup_2026
24/06/2026,FIFA World Cup,South Africa,South Korea,manual_world_cup_2026
25/06/2026,FIFA World Cup,Curacao,Ivory Coast,manual_world_cup_2026
25/06/2026,FIFA World Cup,Ecuador,Germany,manual_world_cup_2026
25/06/2026,FIFA World Cup,Japan,Sweden,manual_world_cup_2026
25/06/2026,FIFA World Cup,Tunisia,Netherlands,manual_world_cup_2026
25/06/2026,FIFA World Cup,Turkey,United States,manual_world_cup_2026
25/06/2026,FIFA World Cup,Paraguay,Australia,manual_world_cup_2026
26/06/2026,FIFA World Cup,Norway,France,manual_world_cup_2026
26/06/2026,FIFA World Cup,Senegal,Iraq,manual_world_cup_2026
26/06/2026,FIFA World Cup,Cape Verde,Saudi Arabia,manual_world_cup_2026
26/06/2026,FIFA World Cup,Uruguay,Spain,manual_world_cup_2026
26/06/2026,FIFA World Cup,Egypt,Iran,manual_world_cup_2026
26/06/2026,FIFA World Cup,New Zealand,Belgium,manual_world_cup_2026
27/06/2026,FIFA World Cup,Panama,England,manual_world_cup_2026
27/06/2026,FIFA World Cup,Croatia,Ghana,manual_world_cup_2026
27/06/2026,FIFA World Cup,Colombia,Portugal,manual_world_cup_2026
27/06/2026,FIFA World Cup,DR Congo,Uzbekistan,manual_world_cup_2026
27/06/2026,FIFA World Cup,Algeria,Austria,manual_world_cup_2026
27/06/2026,FIFA World Cup,Jordan,Argentina,manual_world_cup_2026
