date,tournament,home_team,HomeFlag,away_team,AwayFlag,result,ResultFlag,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1872-11-30,Friendly,Scotland,gb-sct,England,gb-eng,Draw,,0.5,0.5,TRUE,TRUE,0,0,2550,2530,2550,2530,0.528750563892269,0.471249436107731,40,40,2548.84997744431,2531.15002255569,1,1
1873-03-08,Friendly,England,gb-eng,Scotland,gb-sct,England,gb-eng,1,0,FALSE,FALSE,1,1,2531.15002255569,2548.84997744431,2530,2550,0.47454973096187,0.52545026903813,40,40,2552.16803331722,2527.83196668278,2,2
1874-03-07,Friendly,Scotland,gb-sct,England,gb-eng,Scotland,gb-sct,1,0,FALSE,FALSE,2,2,2527.83196668278,2552.16803331722,2550,2530,0.465034749229071,0.53496525077093,40,40,2549.23057671362,2530.76942328638,3,3
1875-03-06,Friendly,England,gb-eng,Scotland,gb-sct,Draw,,0.5,0.5,FALSE,FALSE,3,3,2530.76942328638,2549.23057671362,2530,2550,0.47345723995764,0.52654276004236,40,40,2531.83113368807,2548.16886631193,4,4
1876-03-04,Friendly,Scotland,gb-sct,England,gb-eng,Scotland,gb-sct,1,0,FALSE,FALSE,4,4,2548.16886631193,2531.83113368807,2550,2530,0.523494572454757,0.476505427545243,40,40,2567.22908341374,2512.77091658626,5,5
1876-03-25,Friendly,Scotland,gb-sct,Wales,gb-wls,Scotland,gb-sct,1,0,FALSE,TRUE,5,0,2567.22908341374,2334.98077499148,2550,2334.98077499148,0.791984418839206,0.208015581160794,40,40,2575.54970666017,2326.66015174505,6,1
1877-03-03,Friendly,England,gb-eng,Scotland,gb-sct,Scotland,gb-sct,0,1,FALSE,FALSE,5,6,2512.77091658626,2575.54970666017,2530,2550,0.410624636666761,0.589375363333239,40,40,2496.34593111959,2591.97469212684,6,7
1877-03-05,Friendly,Wales,gb-wls,Scotland,gb-sct,Scotland,gb-sct,0,1,FALSE,FALSE,1,7,2326.66015174505,2591.97469212684,2334.98077499148,2550,0.178392990141329,0.821607009858671,40,40,2319.52443213939,2599.11041173249,2,8
1878-03-02,Friendly,Scotland,gb-sct,England,gb-eng,Scotland,gb-sct,1,0,FALSE,FALSE,8,6,2599.11041173249,2496.34593111959,2550,2530,0.643722979750149,0.356277020249851,40,40,2613.36149254249,2482.0948503096,9,7
1878-03-23,Friendly,Scotland,gb-sct,Wales,gb-wls,Scotland,gb-sct,1,0,FALSE,FALSE,9,2,2613.36149254249,2319.52443213939,2550,2334.98077499148,0.844416341866158,0.155583658133842,40,40,2619.58483886784,2313.30108581404,10,3
1879-01-18,Friendly,England,gb-eng,Wales,gb-wls,England,gb-eng,1,0,FALSE,FALSE,7,3,2482.0948503096,2313.30108581404,2530,2334.98077499148,0.725449254409376,0.274550745590624,40,40,2493.07688013322,2302.31905599041,8,4
1879-04-05,Friendly,England,gb-eng,Scotland,gb-sct,England,gb-eng,1,0,FALSE,FALSE,8,10,2493.07688013322,2619.58483886784,2530,2550,0.325581428406905,0.674418571593095,40,40,2520.05362299695,2592.60809600412,9,11
1879-04-07,Friendly,Wales,gb-wls,Scotland,gb-sct,Scotland,gb-sct,0,1,FALSE,FALSE,4,11,2302.31905599041,2592.60809600412,2334.98077499148,2550,0.158285830168713,0.841714169831287,40,40,2295.98762278367,2598.93952921087,5,12
1880-03-13,Friendly,Scotland,gb-sct,England,gb-eng,Scotland,gb-sct,1,0,FALSE,FALSE,12,9,2598.93952921087,2520.05362299695,2550,2530,0.611614500055185,0.388385499944815,40,40,2614.47494920866,2504.51820299915,13,10
1880-03-15,Friendly,Wales,gb-wls,England,gb-eng,England,gb-eng,0,1,FALSE,FALSE,5,10,2295.98762278367,2504.51820299915,2334.98077499148,2530,0.231404330734574,0.768595669265426,40,40,2286.73144955428,2513.77437622854,6,11
1880-03-27,Friendly,Scotland,gb-sct,Wales,gb-wls,Scotland,gb-sct,1,0,FALSE,FALSE,13,6,2614.47494920866,2286.73144955428,2550,2334.98077499148,0.868372321132869,0.131627678867131,40,40,2619.74005636334,2281.4663423996,14,7
1881-02-26,Friendly,England,gb-eng,Wales,gb-wls,Wales,gb-wls,0,1,FALSE,FALSE,11,7,2513.77437622854,2281.4663423996,2530,2334.98077499148,0.792041053684398,0.207958946315602,40,40,2482.09273408116,2313.14798454697,12,8
1881-03-12,Friendly,England,gb-eng,Scotland,gb-sct,Scotland,gb-sct,0,1,FALSE,FALSE,12,14,2482.09273408116,2619.74005636334,2530,2550,0.311661795806135,0.688338204193865,40,40,2469.62626224892,2632.20652819559,13,15
1881-03-14,Friendly,Wales,gb-wls,Scotland,gb-sct,Scotland,gb-sct,0,1,FALSE,FALSE,8,15,2313.14798454697,2632.20652819559,2334.98077499148,2550,0.13744813719185,0.86255186280815,40,40,2307.6500590593,2637.70445368326,9,16
