Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN,IncludePlayoffs
BUF,2766,436,1999-09-12,2584,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PHI,2739,437,1999-09-12,2637,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SEA,2728,437,1999-09-12,2585,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DET,2702,437,1999-09-12,2518,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
KC,2701,437,1999-09-12,2573,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LA,2700,165,2016-09-12,2691,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
BAL,2694,437,1999-09-12,2668,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DEN,2694,437,1999-09-13,2626,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIN,2690,437,1999-09-12,2622,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PIT,2682,437,1999-09-12,2647,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SF,2675,437,1999-09-12,2563,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
GB,2675,437,1999-09-12,2676,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LAC,2660,149,2017-09-11,2635,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
HOU,2655,389,2002-09-08,2471,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NE,2629,437,1999-09-12,2624,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DAL,2611,437,1999-09-12,2508,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TB,2608,437,1999-09-12,2697,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CIN,2599,436,1999-09-12,2427,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
JAX,2593,437,1999-09-12,2633,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIA,2590,437,1999-09-13,2730,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CHI,2584,437,1999-09-12,2617,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
IND,2557,437,1999-09-12,2687,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ATL,2555,437,1999-09-12,2462,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
WAS,2549,437,1999-09-12,2623,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
OAK,2531,336,1999-09-12,2700,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NO,2527,437,1999-09-12,2556,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
STL,2518,272,1999-09-12,2772,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CLE,2515,437,1999-09-12,2421,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SD,2508,288,1999-09-19,2460,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CAR,2492,437,1999-09-12,2488,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LV,2466,101,2020-09-13,2606,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ARI,2465,437,1999-09-12,2471,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYG,2457,437,1999-09-12,2628,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYJ,2443,437,1999-09-12,2657,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TEN,2434,437,1999-09-12,2731,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
