Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN,IncludePlayoffs
BUF,2767,436,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PHI,2739,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SEA,2727,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DET,2702,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
KC,2701,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LA,2698,165,2016-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
BAL,2695,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DEN,2693,437,1999-09-13,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIN,2690,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PIT,2682,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
GB,2675,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SF,2674,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LAC,2659,149,2017-09-11,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
HOU,2656,389,2002-09-08,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NE,2629,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DAL,2611,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TB,2608,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CIN,2600,436,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
JAX,2593,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIA,2590,437,1999-09-13,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CHI,2585,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
IND,2557,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ATL,2555,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
WAS,2550,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
OAK,2531,336,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NO,2527,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
STL,2522,272,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CLE,2516,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SD,2512,288,1999-09-19,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CAR,2492,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LV,2465,101,2020-09-13,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ARI,2465,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYG,2457,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYJ,2443,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TEN,2434,437,1999-09-12,2600,Pass1_TimeEntry,20,20,32,TimeLinear,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
