date,season,week,game_type,tournament,home_team,away_team,away_score_raw,home_score_raw,result,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1999-09-12,1999,1,REG,NFL Regular Season,PHI,ARI,25,24,ARI,0,1,TRUE,TRUE,0,0,2637,2471,2637,2471,0.722234533649171,0.277765466350829,20,20,2622.55530932702,2485.44469067298,1,1
1999-09-12,1999,1,REG,NFL Regular Season,STL,BAL,10,27,STL,1,0,TRUE,TRUE,0,0,2772,2668,2772,2668,0.645352450439383,0.354647549560618,20,20,2779.09295099121,2660.90704900879,1,1
1999-09-12,1999,1,REG,NFL Regular Season,IND,BUF,14,31,IND,1,0,TRUE,TRUE,0,0,2687,2584,2687,2584,0.644033853822293,0.355966146177707,20,20,2694.11932292355,2576.88067707645,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NO,CAR,10,19,NO,1,0,TRUE,TRUE,0,0,2556,2488,2556,2488,0.596629173305774,0.403370826694226,20,20,2564.06741653389,2479.93258346612,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TEN,CIN,35,36,TEN,1,0,TRUE,TRUE,0,0,2731,2427,2731,2427,0.851948345852574,0.148051654147426,20,20,2733.96103308295,2424.03896691705,1,1
1999-09-12,1999,1,REG,NFL Regular Season,WAS,DAL,41,35,DAL,0,1,TRUE,TRUE,0,0,2623,2508,2623,2508,0.659707994144748,0.340292005855252,20,20,2609.80584011711,2521.1941598829,1,1
1999-09-12,1999,1,REG,NFL Regular Season,SEA,DET,28,20,DET,0,1,TRUE,TRUE,0,0,2585,2518,2585,2518,0.595243039651572,0.404756960348428,20,20,2573.09513920697,2529.90486079303,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CHI,KC,17,20,CHI,1,0,TRUE,TRUE,0,0,2617,2573,2617,2573,0.562984728103596,0.437015271896404,20,20,2625.74030543793,2564.25969456207,1,1
1999-09-12,1999,1,REG,NFL Regular Season,ATL,MIN,17,14,MIN,0,1,TRUE,TRUE,0,0,2462,2622,2462,2622,0.284747248950801,0.715252751049199,20,20,2456.30505502098,2627.69494497902,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NYJ,NE,30,28,NE,0,1,TRUE,TRUE,0,0,2657,2624,2657,2624,0.547348518045865,0.452651481954135,20,20,2646.05302963908,2634.94697036092,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TB,NYG,17,13,NYG,0,1,TRUE,TRUE,0,0,2697,2628,2697,2628,0.598013765769344,0.401986234230656,20,20,2685.03972468461,2639.96027531539,1,1
1999-09-12,1999,1,REG,NFL Regular Season,GB,OAK,24,28,GB,1,0,TRUE,TRUE,0,0,2676,2700,2676,2700,0.465516055273169,0.534483944726832,20,20,2686.68967889454,2689.31032110546,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CLE,PIT,43,0,PIT,0,1,TRUE,TRUE,0,0,2421,2647,2421,2647,0.214003397717843,0.785996602282158,20,20,2416.71993204564,2651.28006795436,1,1
1999-09-12,1999,1,REG,NFL Regular Season,JAX,SF,3,41,JAX,1,0,TRUE,TRUE,0,0,2633,2563,2633,2563,0.599396796709257,0.400603203290743,20,20,2641.01206406582,2554.98793593419,1,1
1999-09-13,1999,1,REG,NFL Regular Season,DEN,MIA,38,21,MIA,0,1,TRUE,TRUE,0,0,2626,2730,2626,2730,0.354647549560618,0.645352450439382,20,20,2618.90704900879,2737.09295099121,1,1
1999-09-19,1999,2,REG,NFL Regular Season,MIA,ARI,16,19,MIA,1,0,FALSE,FALSE,1,1,2737.09295099121,2485.44469067298,2730,2471,0.80978346940338,0.19021653059662,20,20,2740.89728160315,2481.64036006105,2,2
1999-09-19,1999,2,REG,NFL Regular Season,TEN,CLE,9,26,TEN,1,0,FALSE,FALSE,1,1,2733.96103308295,2416.71993204564,2731,2421,0.861306812419999,0.138693187580001,20,20,2736.73489683455,2413.94606829404,2,2
1999-09-19,1999,2,REG,NFL Regular Season,KC,DEN,10,26,KC,1,0,FALSE,FALSE,1,1,2564.25969456207,2618.90704900879,2573,2626,0.421998315842625,0.578001684157375,20,20,2575.81972824522,2607.34701532564,2,2
1999-09-19,1999,2,REG,NFL Regular Season,DET,GB,15,23,DET,1,0,FALSE,FALSE,1,1,2529.90486079303,2686.68967889454,2518,2676,0.288531688044866,0.711468311955134,20,20,2544.13422703213,2672.46031265543,2,2
