band_start,band_end,elo_band,games,draws,draw_rate,draw_pct
0,24,0-24,339,14,0.04129793510324484,4.13
25,49,25-49,324,14,0.043209876543209874,4.32
50,74,50-74,296,14,0.0472972972972973,4.73
75,99,75-99,268,10,0.03731343283582089,3.73
100,124,100-124,255,8,0.03137254901960784,3.14
125,149,125-149,274,9,0.032846715328467155,3.28
150,174,150-174,251,6,0.02390438247011952,2.39
175,199,175-199,221,7,0.03167420814479638,3.17
200,224,200-224,217,7,0.03225806451612903,3.23
225,249,225-249,234,6,0.02564102564102564,2.56
250,274,250-274,205,6,0.02926829268292683,2.93
275,299,275-299,186,5,0.026881720430107527,2.69
300,324,300-324,164,3,0.018292682926829267,1.83
325,349,325-349,137,2,0.014598540145985401,1.46
350,374,350-374,126,1,0.007936507936507936,0.79
375,399,375-399,84,3,0.03571428571428571,3.57
400,424,400-424,102,0,0,0
425,449,425-449,58,0,0,0
450,474,450-474,58,0,0,0
475,499,475-499,52,0,0,0
500,524,500-524,43,1,0.023255813953488372,2.33
525,549,525-549,48,0,0,0
550,574,550-574,29,0,0,0
575,599,575-599,25,0,0,0
