date,home_team,away_team,home_score,away_score,result,competition
1871-03-27,Scotland,England,1,0,Scotland,England in Scotland
1872-02-05,England,Scotland,2,1,England,Scotland in England
1873-03-03,Scotland,England,0,0,Draw,England in Scotland
1874-02-23,England,Scotland,1,0,England,Scotland in England
1875-02-15,England,Ireland,1,0,England,Home Nations Friendlies
1875-03-08,Scotland,England,0,0,Draw,Home Nations Friendlies
1875-12-13,Ireland,England,0,1,England,Home Nations Friendlies
1876-03-06,England,Scotland,1,0,England,Home Nations Friendlies
1877-02-05,England,Ireland,2,0,England,Home Nations Friendlies
1877-02-19,Ireland,Scotland,0,6,Scotland,Home Nations Friendlies
1877-03-05,Scotland,England,0,1,England,Home Nations Friendlies
1878-03-04,England,Scotland,0,0,Draw,Home Nations Friendlies
1878-03-11,Ireland,England,0,2,England,Home Nations Friendlies
1879-02-17,Ireland,Scotland,0,2,Scotland,Home Nations Friendlies
1879-03-10,Scotland,England,0,1,England,Home Nations Friendlies
1879-03-24,England,Ireland,2,0,England,Home Nations Friendlies
1880-01-30,Ireland,England,0,1,England,Home Nations Friendlies
1880-02-14,Scotland,Ireland,3,0,Scotland,Home Nations Friendlies
1880-02-28,England,Scotland,2,1,England,Home Nations Friendlies
1881-02-05,England,Ireland,2,0,England,Home Nations Friendlies
1881-02-19,England,Wales,7,0,England,Home Nations Friendlies
1881-02-19,Ireland,Scotland,1,0,Ireland,Home Nations Friendlies
1881-03-19,Scotland,England,1,1,Draw,Home Nations Friendlies
1882-01-28,Ireland,Wales,0,2,Wales,Home Nations Friendlies
1882-02-06,Ireland,England,0,0,Draw,Home Nations Friendlies
1882-02-18,Scotland,Ireland,0,0,Draw,Home Nations Friendlies
1882-03-04,England,Scotland,0,0,Draw,Home Nations Friendlies
1882-12-16,Wales,England,0,2,England,Home Nations Championship
1883-01-08,Scotland,Wales,3,1,Scotland,Home Nations Championship
1883-02-05,England,Ireland,1,0,England,Home Nations Championship
1883-02-17,Ireland,Scotland,0,1,Scotland,Home Nations Championship
1883-03-03,Scotland,England,0,0,Draw,Home Nations Championship
1884-01-05,England,Wales,1,1,Draw,Home Nations Championship
1884-01-12,Wales,Scotland,0,1,Scotland,Home Nations Championship
1884-02-04,Ireland,England,0,1,England,Home Nations Championship
1884-02-16,Scotland,Ireland,2,0,Scotland,Home Nations Championship
1884-03-01,England,Scotland,1,0,England,Home Nations Championship
1884-04-12,Wales,Ireland,1,0,Wales,Home Nations Championship
1885-01-03,Wales,England,1,1,Draw,Home Nations Championship
1885-01-10,Scotland,Wales,0,0,Draw,Home Nations Championship
1885-02-07,England,Ireland,0,0,Draw,Home Nations Championship
1885-03-07,Scotland,Ireland,1,0,Scotland,Home Nations Championship
1886-01-02,England,Wales,1,1,Draw,Home Nations Championship
1886-01-09,Wales,Scotland,0,2,Scotland,Home Nations Championship
1886-02-06,Ireland,England,0,0,Draw,Home Nations Championship
1886-02-20,Scotland,Ireland,4,0,Scotland,Home Nations Championship
1886-03-13,Scotland,England,0,0,Draw,Home Nations Championship
1887-01-08,Wales,England,0,0,Draw,Home Nations Championship
1887-02-05,Ireland,England,2,0,Ireland,Home Nations Championship
1887-02-19,Ireland,Scotland,0,2,Scotland,Home Nations Championship
1887-02-26,Scotland,Wales,4,0,Scotland,Home Nations Championship
1887-03-05,England,Scotland,0,0,Draw,Home Nations Championship
1887-03-12,Wales,Ireland,1,0,Wales,Home Nations Championship
1888-02-04,Wales,Scotland,0,0,Draw,Home Nations Championship
1888-03-03,Ireland,Wales,2,0,Ireland,Home Nations Championship
1888-03-10,Scotland,Ireland,1,0,Scotland,Home Nations Championship
1889-02-02,Scotland,Wales,0,0,Draw,Home Nations Championship
1889-02-16,Ireland,Scotland,0,1,Scotland,Home Nations Championship
1889-03-02,Wales,Ireland,0,0,Draw,Home Nations Championship
1890-02-01,Wales,Scotland,0,1,Scotland,Home Nations Championship
1890-02-15,England,Wales,0,0,Draw,Home Nations Championship
1890-02-22,Scotland,Ireland,1,0,Scotland,Home Nations Championship
1890-03-01,Ireland,Wales,1,1,Draw,Home Nations Championship
1890-03-01,Scotland,England,0,1,England,Home Nations Championship
1890-03-15,England,Ireland,0,0,Draw,Home Nations Championship
1891-01-03,Wales,England,3,7,England,Home Nations Championship
1891-02-07,Ireland,England,0,9,England,Home Nations Championship
1891-02-07,Scotland,Wales,15,0,Scotland,Home Nations Championship
1891-02-21,Ireland,Scotland,0,14,Scotland,Home Nations Championship
1891-03-07,England,Scotland,3,9,Scotland,Home Nations Championship
1891-03-07,Wales,Ireland,6,4,Wales,Home Nations Championship
1891-07-30,South Africa,Great Britain,0,4,Great Britain,British Lions in South Africa
1891-08-29,South Africa,Great Britain,0,3,Great Britain,British Lions in South Africa
1891-09-05,South Africa,Great Britain,0,4,Great Britain,British Lions in South Africa
1892-01-02,England,Wales,17,0,England,Home Nations Championship
