MatchID,MatchDate,DateSource,EventID,EventName,EventSeason,EventStartDate,EventEndDate,RawMatchDate,SourceFile,PlayerA_ID,PlayerA_Name,PlayerA_Nationality,PlayerB_ID,PlayerB_Name,PlayerB_Nationality,WinnerID,Winner_Name,Winner_Nationality,WinnerFromScore,WinnerFromScore_Name,WinnerFromScore_Nationality,ScoreA,ScoreB,FramesA,FramesB,TotalFrames,AFirstAppearance,BFirstAppearance,AGamesBefore,BGamesBefore,AFramesBefore,BFramesBefore,ARating_Before,BRating_Before,AStartRating,BStartRating,ABaseK,BBaseK,AKMultiplier,BKMultiplier,AEffectiveK,BEffectiveK,ExpectedA,ExpectedB,OppWeightA,OppWeightB,ActualScoreA,ActualScoreB,DeltaA,DeltaB,ARating_After,BRating_After,AGamesAfter,BGamesAfter,AFramesAfter,BFramesAfter
8768839,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,153,Stephen Hendry,Scotland,9,Matthew Stevens,Wales,9,Matthew Stevens,Wales,9,Matthew Stevens,Wales,1,5,1,5,6,FALSE,FALSE,206,5,2267,39,2831.06870084464,2726.28959972889,2727.71851092324,2721.75373792231,5,5,1,1,5,5,0.646378243376902,0.353621756623098,1,1,0.166666666666667,0.833333333333333,-14.3913473013071,14.3913473013071,2816.67735354334,2740.6809470302,207,6,2273,45
8768840,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,3213,Jason Ferguson,England,28,Mark King,England,28,Mark King,England,28,Mark King,England,0,5,0,5,5,FALSE,FALSE,39,16,410,211,2711.04411370833,2664.90848924561,2673.17551562986,2650.41419841964,5,5,1,1,5,5,0.566006990709724,0.433993009290276,1,1,0,1,-14.1501747677431,14.1501747677431,2696.89393894059,2679.05866401336,40,17,415,216
8768841,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,1049,Steve James,England,800,Wayne Jones,Wales,1049,Steve James,England,1049,Steve James,England,5,4,5,4,9,FALSE,FALSE,93,58,911,572,2689.06694265473,2632.82548826168,2661.36302063012,2631.78363952506,5,5,1,1,5,5,0.580238330276973,0.419761669723027,1,1,0.555555555555556,0.444444444444444,-1.11072486246377,1.11072486246377,2687.95621779227,2633.93621312414,94,59,920,581
8768842,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,1,Mark J Williams,Wales,3226,Mark Gray,England,1,Mark J Williams,Wales,1,Mark J Williams,Wales,5,3,5,3,8,FALSE,FALSE,19,1,173,18,2664.62795964304,2576.54716564636,2646.42906931203,2576.62718642936,5,5,1,1,5,5,0.624110872840367,0.375889127159633,1,1,0.625,0.375,0.0355650863853096,-0.0355650863853096,2664.66352472942,2576.51160055997,20,2,181,26
8768843,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,669,Alain Robidoux,Canada,173,Paul Davies,Wales,669,Alain Robidoux,Canada,669,Alain Robidoux,Canada,5,1,5,1,6,FALSE,FALSE,74,20,661,217,2684.52960001358,2661.99135743402,2688.64682568323,2636.94453942695,5,5,1,1,5,5,0.532389717480429,0.467610282519571,1,1,0.833333333333333,0.166666666666667,9.02830847558714,-9.02830847558714,2693.55790848917,2652.96304895844,75,21,667,223
8768844,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,804,Gary Wilkinson,England,1931,Noppadon Noppachorn,Thailand,804,Gary Wilkinson,England,804,Gary Wilkinson,England,5,1,5,1,6,FALSE,FALSE,86,5,828,73,2708.25917152228,2678.74156039312,2665.00430525806,2654.6503515518,5,5,1,1,5,5,0.542377346954662,0.457622653045339,1,1,0.833333333333333,0.166666666666667,8.72867959136016,-8.72867959136016,2716.98785111364,2670.01288080176,87,6,834,79
8768845,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,2505,David Finbow,England,207,Nick Pearce,England,207,Nick Pearce,England,207,Nick Pearce,England,3,5,3,5,8,FALSE,TRUE,20,0,229,0,2626.81458268758,2636.93723775385,2631.06163983231,2636.93723775385,5,5,1,1,5,5,0.485436448951383,0.514563551048617,1,1,0.375,0.625,-4.41745795805532,4.41745795805532,2622.39712472952,2641.35469571191,21,1,237,8
8768846,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,5,Ronnie O'Sullivan,England,3221,Gary Ponting,England,5,Ronnie O'Sullivan,England,5,Ronnie O'Sullivan,England,5,1,5,1,6,FALSE,FALSE,60,7,656,101,2790.86262834004,2634.06375882918,2727.41414214416,2637.94112530171,5,5,1,1,5,5,0.711484916127506,0.288515083872494,1,1,0.833333333333333,0.166666666666667,3.65545251617483,-3.65545251617483,2794.51808085621,2630.408306313,61,8,662,107
8768847,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,14,Nigel Bond,England,3279,Oliver King,England,3279,Oliver King,England,3279,Oliver King,England,1,5,1,5,6,FALSE,FALSE,77,6,828,86,2769.78182559943,2563.88343333329,2698.84872106548,2600,5,5,1,1,5,5,0.765889812778608,0.234110187221392,1,1,0.166666666666667,0.833333333333333,-17.9766943833583,17.9766943833583,2751.80513121608,2581.86012771665,78,7,834,92
8768848,1996-10-16 00:00:00,EventStart_Pre2008Season,2067,Grand Prix,1996,1996-10-16 00:00:00,1996-10-27 00:00:00,2024-07-10 05:07:35,matches_1996_all.csv,667,Dene O'Kane,New Zealand,714,Billy Snaddon,Scotland,714,Billy Snaddon,Scotland,714,Billy Snaddon,Scotland,4,5,4,5,9,FALSE,FALSE,79,19,724,224,2649.81003415657,2650.21174131998,2635.37223544571,2654.16813866531,5,5,1,1,5,5,0.49942189717873,0.50057810282127,1,1,0.444444444444444,0.555555555555556,-2.47398537304283,2.47398537304283,2647.33604878353,2652.68572669302,80,20,733,233
