Season,SeasonLabel,SeasonEndDate,Rank,PlayerID,PlayerName,Nationality,Rating,MatchesPlayed,FramesPlayed,ListedFrames,FirstMatchDate,LastMatchDate,EntryRating,Active,Listable
2026,2026/2027,2026-08-16,1,17,Mark Selby,England,2858.77,1534,11119,11119,1999-09-08 00:00:00,2026-08-16 06:04:57,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,2,946,Zhao Xintong,China,2836.7,498,3379,3379,2012-06-18 09:11:07,2026-08-11 11:33:43,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,3,97,Shaun Murphy,England,2835.95,1288,9662,9662,2001-02-04 00:00:00,2026-08-14 06:00:02,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,4,202,Mark Allen,Northern Ireland,2819.07,1063,7851,7851,2005-07-20 00:00:00,2026-04-30 18:06:36,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,5,12,Judd Trump,England,2815.72,1488,10468,10468,2005-10-31 00:00:00,2026-08-09 05:54:13,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,6,2469,Wu Yize,China,2813.8,237,1748,1748,2019-04-01 01:30:31,2026-08-12 06:01:17,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,7,237,John Higgins,Scotland,2801.35,1566,12180,12180,1992-10-12 00:00:00,2026-08-11 05:59:58,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,8,5,Ronnie O'Sullivan,England,2800.24,1095,9739,9739,1992-06-20 00:00:00,2026-08-12 11:36:22,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,9,154,Neil Robertson,Australia,2790.28,1283,9459,9459,1999-01-03 00:00:00,2026-08-14 11:26:27,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,10,16,Barry Hawkins,England,2788.4,1210,8528,8528,1997-01-03 00:00:00,2026-08-08 11:34:09,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,11,666,Hossein Vafaei,Iran,2787.48,401,2852,2852,2011-09-05 06:37:39,2026-08-13 06:08:11,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,12,81,Zhang Anda,China,2784.54,575,4078,4078,2008-03-23 00:00:00,2026-08-14 11:44:39,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,13,118,David Gilbert,England,2784.25,886,6102,6102,2002-10-04 00:00:00,2026-08-14 06:00:02,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,14,1981,Chang Bingyu,China,2784.11,155,973,973,2015-10-19 05:49:29,2026-08-10 07:01:24,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,15,39,Kyren Wilson,England,2783.81,1089,7125,7125,2010-08-01 10:00:00,2026-08-13 11:25:44,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,16,90,Jak Jones,Wales,2777.46,482,3104,3104,2010-08-01 10:00:00,2026-07-15 16:49:15,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,17,208,Noppon Saengkham,Thailand,2772.1,527,3649,3649,2010-07-19 00:00:00,2026-08-16 06:04:57,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,18,906,Zhou Yuelong,China,2771.13,573,3810,3810,2012-02-27 11:42:20,2026-08-15 05:59:43,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,19,1,Mark J Williams,Wales,2768.51,1447,10599,10599,1993-02-22 00:00:00,2026-08-08 05:57:45,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,20,30,Stuart Bingham,England,2763.64,1268,8717,8717,1997-01-03 00:00:00,2026-08-15 11:29:36,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,21,158,Ali Carter,England,2763.37,1224,8426,8426,1997-01-03 00:00:00,2026-07-04 18:56:03,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,22,24,Xiao Guodong,China,2760.84,814,5381,5381,2005-03-26 00:00:00,2026-08-12 11:36:22,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,23,1417,Fan Zhengyi,China,2759.21,233,1591,1591,2013-10-21 04:37:20,2026-06-29 17:47:50,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,24,224,Ding Junhui,China,2757.37,973,7585,7585,2002-02-24 00:00:00,2026-08-08 05:57:45,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,25,546,Gary Wilson,England,2755.38,707,4674,4674,2004-10-02 00:00:00,2026-07-11 17:07:10,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,26,1044,Chris Wakelin,England,2752.73,516,3479,3479,2012-09-06 12:42:07,2026-08-13 11:25:44,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,27,2611,Liu Hongyu,China,2751.77,106,671,671,2019-10-24 17:04:02,2026-08-12 06:01:17,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,28,45,Liam Highfield,England,2749.95,497,3477,3477,2010-08-01 10:00:00,2026-07-20 08:57:57,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,29,2640,Jiang Jun,China,2749.38,95,667,667,2019-10-24 17:08:11,2026-08-10 07:01:24,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,30,1257,Pang Junxu,China,2740.87,277,1788,1788,2013-06-13 05:00:49,2026-08-10 11:24:12,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,31,2758,Stan Moody,England,2738.94,142,940,940,2020-08-04 08:00:46,2026-07-11 16:24:41,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,32,1982,Si Jiahui,China,2737.5,301,1997,1997,2015-10-20 12:58:33,2026-08-13 06:08:11,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,33,608,Elliot Slessor,England,2735.27,467,2977,2977,2011-06-19 13:58:53,2026-07-15 18:04:01,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,34,217,Thepchaiya Un-Nooh,Thailand,2733.12,595,4247,4247,2008-07-08 00:00:00,2026-06-27 17:57:06,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,35,1038,Joe O'Connor,England,2727.91,414,2553,2553,2012-09-05 14:16:08,2026-07-02 18:58:42,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,36,22,Anthony McGill,Scotland,2726.93,722,5023,5023,2010-08-01 10:00:00,2026-08-09 05:54:13,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,37,4,Fu Marco,Hong Kong,2726.31,871,6414,6414,1998-01-02 00:00:00,2026-07-20 08:57:57,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,38,2470,Aaron Hill,Ireland,2725.72,196,1228,1228,2019-04-10 14:04:18,2026-08-10 11:24:12,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,39,2166,Jackson Page,Wales,2725.71,301,1877,1877,2017-02-13 12:41:23,2026-08-09 11:35:33,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,40,1383,He Guoqiang,China,2725.25,121,804,804,2013-09-24 07:12:06,2026-06-26 18:48:38,2600,TRUE,TRUE
2026,2026/2027,2026-08-16,41,8,Tom Ford,England,2723.33,875,5993,5993,2001-02-20 00:00:00,2026-08-11 11:33:43,2600,TRUE,TRUE
