"ID","Name","StartDate","EndDate","Sponsor","Season","Type","Num","Venue","City","Country","Discipline","Main","Sex","AgeGroup","Url","Related","Stage","ValueType","ShortName","WorldSnookerId","RankingType","EventPredictionID","Team","Format","Twitter","HashTag","ConversionRate","AllRoundsAdded","PhotoURLs","NumCompetitors","NumUpcoming","NumActive","NumResults","Note","CommonNote","DefendingChampion","PreviousEdition","Tour"
621,"Riga Masters Qualifiers","2017-05-31","2017-06-02","Kaspersky",2017,"Qualifying",0,"Guild Hall","Preston","England","snooker",620,"Both","O","","","Q","RM","",13953,"WR",0,FALSE,1,"","RigaMasters",1,TRUE,"",0,0,0,64,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,0,"main"
622,"China Championship Qualifiers","2017-06-03","2017-06-06","EverGrande",2017,"Qualifying",0,"Guild Hall","Preston","England","snooker",623,"Both","O","","","Q","CC","",13955,"WR",0,FALSE,1,"","ChinaChampionship",1,TRUE,"",0,0,0,64,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",237,568,"main"
620,"Riga Masters","2017-06-23","2017-06-25","Kaspersky",2017,"Ranking",0,"Arena Riga","Riga","Latvia","snooker",620,"Both","O","","riga","F","RM","",13953,"WR",2701,FALSE,1,"","RigaMasters",1,TRUE,"",128,0,0,63,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",154,515,"main"
658,"World Cup, Group A","2017-07-03","2017-07-07","",2017,"Invitational",1,"Wuxi City Sports Park Stadium","Wuxi","China","snooker",626,"Both","O","","","Q","WCUP","World Cup, A",13961,"",0,TRUE,2,"","",0.65,TRUE,"",0,0,0,15,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,0,"main"
659,"World Cup, Group B","2017-07-03","2017-07-07","",2017,"Invitational",2,"Wuxi City Sports Park Stadium","Wuxi","China","snooker",626,"Both","O","","","Q","WCUP","World Cup, B",13961,"",0,TRUE,2,"","",0.65,TRUE,"",0,0,0,15,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,0,"main"
660,"World Cup, Group C","2017-07-03","2017-07-07","",2017,"Invitational",3,"Wuxi City Sports Park Stadium","Wuxi","China","snooker",626,"Both","O","","","Q","WCUP","World Cup, C",13961,"",0,TRUE,2,"","",0.65,TRUE,"",0,0,0,15,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,0,"main"
661,"World Cup, Group D","2017-07-03","2017-07-07","",2017,"Invitational",4,"Wuxi City Sports Park Stadium","Wuxi","China","snooker",626,"Both","O","","","Q","WCUP","World Cup, D",13961,"",0,TRUE,2,"","",0.65,TRUE,"",0,0,0,15,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,0,"main"
626,"World Cup","2017-07-03","2017-07-09","Little Swan",2017,"Invitational",0,"Wuxi City Sports Park Stadium","Wuxi","China","snooker",626,"Both","O","","world","F","WCUP","World Cup",13961,"",0,TRUE,1,"","",0.77,TRUE,"",24,0,0,7,"","<a href=""http://www.eurosportplayer.com/"">Eurosport</a> or selected betting sites",0,452,"main"
657,"Hong Kong Masters","2017-07-20","2017-07-23","",2017,"Invitational",0,"Queen Elisabeth Stadium","Hong Kong","Hong Kong","snooker",657,"Both","O","https://www.snookermasters.hk","hkm","F","HKM","",13956,"",2740,FALSE,1,"","",1,TRUE,"",8,0,0,7,"","<a href=""http://nowplayer.now.com"">Now TV</a>, <a href=""http://www.cbsa.org.cn/gjnews/2017/0720/150984.html"">CBSA</a> or the SuperStarOnline app",0,0,"main"
662,"World Games ","2017-07-26","2017-07-30","",2017,"Invitational",0,"Wroclaw Congress Center","Wroclaw","Poland","snooker",662,"Both","O","https://theworldgames2017.com/","","F","","",0,"",0,FALSE,1,"twg2017","TWG2017",1,TRUE,"",16,0,0,16,"","the <a href=""https://www.olympicchannel.com/en/channel/olympic-channel/"">Olympic Channel</a> or <a href=""http://www.wpbsa.com/world-games-2017-watch-live/"">WPBSA</a>",108,263,"other"
663,"CVB Snooker Challenge","2017-07-28","2017-07-29","Camsing Global",2017,"Invitational",0,"Shenzhen Nanshan Sports Centre ","Shenzhen","China","snooker",663,"Both","O","https://en.m.wikipedia.org/wiki/CVB_Snooker_Challenge","","F","CVB","",0,"Unknown",0,TRUE,1,"","",1,TRUE,"",2,0,0,1,"","<a href=""http://eurosportplayer.com"">Eurosport Player</a>, <a href=""http://www.juxingzaixian.com/pc/pages/curriculum/coursePage.jsp?courseType=2"">SuperStar Online</a> and the SuperStarOnline app",0,0,"main"
636,"Indian Open Qualifiers","2017-08-01","2017-08-02","",2017,"Qualifying",0,"Guild Hall","Preston","England","snooker",634,"Both","O","","","Q","IO","",13966,"WR",0,FALSE,1,"","IndianOpen",1,TRUE,"",0,0,0,64,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",0,0,"main"
640,"European Masters Qualifiers","2017-08-03","2017-08-04","",2017,"Qualifying",0,"Guild Hall","Preston","England","snooker",639,"Both","O","","","Q","EM","",13968,"WR",0,FALSE,1,"","EuropeanMasters",0.75,TRUE,"",0,0,0,64,"","Watch on <a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",0,0,"main"
635,"World Open Qualifiers","2017-08-06","2017-08-09","",2017,"Qualifying",0,"Guild Hall","Preston","England","snooker",638,"Both","O","","hwo","Q","WO","",13971,"WR",0,FALSE,1,"","",1,TRUE,"",0,0,0,64,"","Watch on <a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",0,0,"main"
623,"China Championship","2017-08-16","2017-08-22","EverGrande",2017,"Ranking",0,"Guangzhou Sports Institute Asian Games Venue","Guangzhou","China","snooker",623,"Both","O","","","F","CC","",13955,"WR",2702,FALSE,1,"","ChinaChampionship",1,TRUE,"",128,0,0,63,"","Watch on <a href=""http://www.eurosportplayer.com/"">Eurosport Player</a>, <a href=""http://juxingzaixian.com/pc/pages/curriculum/coursePage.jsp?courseType=2"">Superstar Online</a> and selected betting sites",237,568,"main"
625,"Paul Hunter Classic ","2017-08-22","2017-08-27","",2017,"Ranking",0,"Stadthalle","Furth","Germany","snooker",625,"Both","O","","ptc","F","PHC","",13963,"WR",2703,FALSE,1,"","",1,TRUE,"",292,0,0,291,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and selected betting sites",17,518,"main"
673,"Paul Hunter Women's Classic, Group A","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, A",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",1485,570,"women"
674,"Paul Hunter Women's Classic, Group B","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, B",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",1485,570,"women"
675,"Paul Hunter Women's Classic, Group C","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, C",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",1485,570,"women"
676,"Paul Hunter Women's Classic, Group D","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, D",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,6,"","",1485,570,"women"
677,"Paul Hunter Women's Classic, Group E","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, E",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",1485,570,"women"
678,"Paul Hunter Women's Classic, Group F","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, F",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",1485,570,"women"
679,"Paul Hunter Women's Classic, Group G","2017-08-24","2017-08-25","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","Q","","Paul Hunter Women's Classic, G",0,"WWR",0,FALSE,2,"","",1,TRUE,"",0,0,0,3,"","",1485,570,"women"
672,"Paul Hunter Women's Classic","2017-08-24","2017-08-27","",2017,"Ranking",0,"Ballroom","Nurnberg","Germany","snooker",672,"Women","O","http://www.mysnookerstats.com/tournament/trn565/","phl","F","PHLC","",0,"WWR",0,FALSE,1,"","",0.75,TRUE,"",27,0,0,15,"","<a href=""http://www.eurosportplayer.com/"">Eurosport Player</a> and <a href=""https://www.facebook.com/wlbsl/"">Facebook</a>",1485,570,"women"
664,"6 Red World Championship, Group A","2017-09-04","2017-09-06","",2017,"Qualifying",1,"BCC Hall at Central Plaza Lardprao","Bangkok","Thailand","six-red snooker",637,"Both","O","","","Q","","6 Red, A",0,"",0,FALSE,2,"","SixRedWorldChampionship",0.018,TRUE,"",0,0,0,6,"","<a href=""http://eurosportplayer.com"">Eurosport Player</a>, <a href=""http://www.juxingzaixian.com/pc/pages/curriculum/coursePage.jsp?courseType=2"">SuperStar Online</a> and the SuperStarOnline app",0,0,"main"
665,"6 Red World Championship, Group B","2017-09-04","2017-09-06","",2017,"Qualifying",2,"BCC Hall at Central Plaza Lardprao","Bangkok","Thailand","six-red snooker",637,"Both","O","","","Q","","6 Red, B",0,"",0,FALSE,2,"","SixRedWorldChampionship",0.018,TRUE,"",0,0,0,6,"","<a href=""http://eurosportplayer.com"">Eurosport Player</a>, <a href=""http://www.juxingzaixian.com/pc/pages/curriculum/coursePage.jsp?courseType=2"">SuperStar Online</a> and the SuperStarOnline app",0,0,"main"
