MatchID,EventID,EventName,EventSeason,EventStartDate,EventEndDate,PlayerA_ID,PlayerB_ID,ScoreA,ScoreB,WinnerID,MatchDate,SourceFile
8324069,1712,Masters,1988,1989-01-21,1989-01-29,212,3467,5,2,212,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324070,1712,Masters,1988,1989-01-21,1989-01-29,181,205,5,3,181,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324071,1712,Masters,1988,1989-01-21,1989-01-29,2877,2879,5,1,2877,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324072,1712,Masters,1988,1989-01-21,1989-01-29,153,2184,5,2,153,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324073,1712,Masters,1988,1989-01-21,1989-01-29,668,1298,5,2,668,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324074,1712,Masters,1988,1989-01-21,1989-01-29,470,469,5,2,470,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324075,1712,Masters,1988,1989-01-21,1989-01-29,408,468,5,1,408,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324076,1712,Masters,1988,1989-01-21,1989-01-29,20,3484,5,2,20,2023-11-30T10:06:37Z,matches_1988_event_1712.csv
8324081,1712,Masters,1988,1989-01-21,1989-01-29,212,181,5,0,212,2023-11-30T10:06:55Z,matches_1988_event_1712.csv
8324082,1712,Masters,1988,1989-01-21,1989-01-29,2877,153,3,5,153,2023-11-30T10:06:55Z,matches_1988_event_1712.csv
8324083,1712,Masters,1988,1989-01-21,1989-01-29,668,470,5,2,668,2023-11-30T10:06:55Z,matches_1988_event_1712.csv
8324084,1712,Masters,1988,1989-01-21,1989-01-29,408,20,5,4,408,2023-11-30T10:06:55Z,matches_1988_event_1712.csv
8364389,1712,Masters,1988,1989-01-21,1989-01-29,212,153,3,6,153,2023-11-30T10:07:15Z,matches_1988_event_1712.csv
8364390,1712,Masters,1988,1989-01-21,1989-01-29,668,408,5,6,408,2023-11-30T10:07:15Z,matches_1988_event_1712.csv
8324092,1712,Masters,1988,1989-01-21,1989-01-29,153,408,9,6,153,2023-11-30T10:07:27Z,matches_1988_event_1712.csv
8364373,1739,World Championship,1988,1989-04-15,1989-05-01,212,795,10,5,212,2023-12-01T10:35:46Z,matches_1988_event_1739.csv
8364374,1739,World Championship,1988,1989-04-15,1989-05-01,3467,3463,1,10,3463,2023-12-01T10:35:46Z,matches_1988_event_1739.csv
