Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN
New Zealand,2776,616,1903-08-15,2538.9,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
South Africa,2758,498,1906-11-17,2634,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Ireland,2756,765,1875-02-15,2327.1,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
France,2678,821,1906-01-01,2198,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
England,2585,807,1871-03-27,2601.8,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Scotland,2533,762,1871-03-27,2554.9,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Australia,2520,632,1903-08-15,2352.5,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Argentina,2486,408,1949-08-28,2317.7,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Fiji,2406,282,1952-07-26,2173.1,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Wales,2361,796,1881-02-19,2458.3,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
New South Wales,2330,5,1927-11-12,2307.1,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Japan,2316,271,1973-11-11,2105.1,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Italy,2315,365,1936-05-14,2183,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Georgia,2312,109,1998-11-14,2161.3,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
Samoa,2210,236,1980-06-03,2296.4,Pass2_RetroStartFromPass1,20,20,50,RetroFromPass1FirstN,2500,2000,1870-01-01,2020-01-01,2300,50
