Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN
New Zealand,2774,616,1903-08-15,2387.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
South Africa,2756,498,1906-11-17,2377.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Ireland,2755,765,1875-02-15,2482.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
France,2678,821,1906-01-01,2380,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
England,2584,807,1871-03-27,2495.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Scotland,2533,762,1871-03-27,2495.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Australia,2519,632,1903-08-15,2387.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Argentina,2486,408,1949-08-28,2234.5,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Fiji,2409,282,1952-07-26,2224.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Wales,2360,796,1881-02-19,2462.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
New South Wales,2332,5,1927-11-12,2307.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Japan,2320,271,1973-11-11,2153.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Italy,2316,365,1936-05-14,2278.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Georgia,2314,109,1998-11-14,2070.4,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Samoa,2215,236,1980-06-03,2131.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Czech Republic,2194,3,1956-12-16,2210.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
United States,2150,198,1912-11-16,2357.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Germany,2140,36,1927-04-17,2309,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Uruguay,2136,131,1985-09-17,2114.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Hong Kong,2136,82,1990-12-05,2096.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Netherlands,2135,28,1937-10-10,2274.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Tonga,2125,235,1973-06-23,2155.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Spain,2121,59,1952-04-13,2225.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Portugal,2116,53,1994-05-18,2085.4,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Belgium,2115,32,1937-10-10,2274.1,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Zimbabwe,2113,16,1987-05-23,2108.7,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
American Samoa,2088,1,1991-09-30,2094.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Romania,2074,188,1924-05-04,2318.9,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Cook Islands,2072,9,1980-07-05,2131.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Ivory Coast,2068,3,1995-05-26,2082,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Taiwan,2061,9,1998-10-24,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Singapore,2049,15,1998-10-24,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Thailand,2046,12,1998-10-24,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Sri Lanka,2046,20,1998-10-26,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
China,2043,14,1998-10-24,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Papua New Guinea,2034,4,2002-11-30,2057,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Venezuela,2033,3,2004-04-24,2052.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Malaysia,2030,14,1998-10-24,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Namibia,2017,47,1990-06-02,2098.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Kazakhstan,2014,27,2001-04-25,2062.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
South Korea,2009,65,1987-05-17,2108.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Philippines,2003,8,2013-04-20,2022.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Qatar,2000,2,2024-04-30,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Switzerland,1993,1,2024-11-02,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Algeria,1993,1,2024-07-28,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
United Arab Emirates,1991,17,2011-04-23,2029,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Burkina Faso,1990,1,2024-07-20,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Brazil,1988,42,1989-10-06,2100.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Colombia,1987,1,2024-10-16,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Chile,1985,84,1985-09-21,2114.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Kenya,1984,2,2022-11-06,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Uganda,1983,2,2024-07-20,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Russia,1971,36,1994-04-10,2085.8,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Canada,1964,199,1985-06-15,2115.2,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Poland,1956,10,2023-02-04,2000,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
India,1954,13,1998-10-26,2070.6,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
Paraguay,1908,44,1985-09-19,2114.3,Pass1_TimeEntry,20,20,50,TimeLinear,2500,2000,1870-01-01,2020-01-01,2300,50
