Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN,IncludePlayoffs
BUF,2767,436,1999-09-12,2583.9,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PHI,2739,437,1999-09-12,2637.4,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SEA,2728,437,1999-09-12,2584.6,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DET,2702,437,1999-09-12,2518.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
KC,2701,437,1999-09-12,2573.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LA,2700,165,2016-09-12,2690.8,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
BAL,2694,437,1999-09-12,2667.8,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DEN,2694,437,1999-09-13,2626.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIN,2690,437,1999-09-12,2622.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
PIT,2682,437,1999-09-12,2646.6,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SF,2675,437,1999-09-12,2563.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
GB,2675,437,1999-09-12,2676.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LAC,2660,149,2017-09-11,2635,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
HOU,2656,389,2002-09-08,2471.1,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NE,2629,437,1999-09-12,2623.7,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
DAL,2611,437,1999-09-12,2507.9,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TB,2608,437,1999-09-12,2697.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CIN,2600,436,1999-09-12,2426.9,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
JAX,2593,437,1999-09-12,2632.5,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
MIA,2590,437,1999-09-13,2730.4,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CHI,2585,437,1999-09-12,2616.6,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
IND,2557,437,1999-09-12,2687.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ATL,2555,437,1999-09-12,2462.2,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
WAS,2550,437,1999-09-12,2622.8,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
OAK,2531,336,1999-09-12,2699.7,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NO,2527,437,1999-09-12,2556.1,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
STL,2518,272,1999-09-12,2772.1,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CLE,2515,437,1999-09-12,2421.2,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
SD,2508,288,1999-09-19,2460.5,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
CAR,2492,437,1999-09-12,2487.7,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
LV,2466,101,2020-09-13,2606.1,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
ARI,2465,437,1999-09-12,2471.2,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYG,2457,437,1999-09-12,2627.9,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
NYJ,2443,437,1999-09-12,2657.2,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
TEN,2434,437,1999-09-12,2731.3,Pass2_RetroStart,20,20,32,RetroFromPass1FirstN,2600,2600,1920-01-01,2028-01-01,2600,50,FALSE
