Team,Rating,Games,FirstMatchDate,EntryRating,Pass,BaseK,ProvisionalK,ProvisionalGames,EntryMode,EntryRatingStart,EntryRatingEnd,EntryDateStart,EntryDateEnd,BaselineStartRating,RetroGamesN,IncludePlayoffs
BUF,1635,436,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
PHI,1607,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
SEA,1596,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
DET,1571,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
KC,1569,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
LA,1567,165,2016-09-12,1453.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
BAL,1563,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
DEN,1561,437,1999-09-13,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
MIN,1559,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
PIT,1551,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
GB,1543,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
SF,1543,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
LAC,1527,149,2017-09-11,1452.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
HOU,1524,389,2002-09-08,1467.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
NE,1497,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
DAL,1480,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
TB,1477,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
CIN,1468,436,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
JAX,1462,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
MIA,1459,437,1999-09-13,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
CHI,1453,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
IND,1425,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
ATL,1423,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
WAS,1418,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
OAK,1400,336,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
NO,1396,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
STL,1392,272,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
CLE,1384,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
SD,1383,288,1999-09-19,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
CAR,1361,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
ARI,1333,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
LV,1332,101,2020-09-13,1450,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
NYG,1326,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
NYJ,1312,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
TEN,1302,437,1999-09-12,1470.3,Pass1_TimeEntry,20,20,32,TimeLinear,1550,1450,1920-01-01,2020-01-01,1500,50,FALSE
