date,season,week,game_type,tournament,home_team,away_team,away_score_raw,home_score_raw,result,HomeScore,AwayScore,HomeFirstAppearance,AwayFirstAppearance,HomeGamesBefore,AwayGamesBefore,HomeRating_Before,AwayRating_Before,HomeStartRating,AwayStartRating,ExpectedHome,ExpectedAway,KHome,KAway,HomeRating_After,AwayRating_After,HomeGamesAfter,AwayGamesAfter
1999-09-12,1999,1,REG,NFL Regular Season,PHI,ARI,25,24,ARI,0,1,TRUE,TRUE,0,0,2637.37433548458,2471.1606339251,2637.37433548458,2471.1606339251,0.722481251811392,0.277518748188608,20,20,2622.92471044835,2485.61025896132,1,1
1999-09-12,1999,1,REG,NFL Regular Season,STL,BAL,10,27,STL,1,0,TRUE,TRUE,0,0,2772.11439084083,2667.82802088447,2772.11439084083,2667.82802088447,0.645729651521767,0.354270348478233,20,20,2779.1997978104,2660.7426139149,1,1
1999-09-12,1999,1,REG,NFL Regular Season,IND,BUF,14,31,IND,1,0,TRUE,TRUE,0,0,2687.30731359501,2583.85420319729,2687.30731359501,2583.85420319729,0.64463159578544,0.355368404214561,20,20,2694.41468167931,2576.74683511299,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NO,CAR,10,19,NO,1,0,TRUE,TRUE,0,0,2556.07216013776,2487.6800252779,2556.07216013776,2487.6800252779,0.597172305087164,0.402827694912836,20,20,2564.12871403601,2479.62347137965,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TEN,CIN,35,36,TEN,1,0,TRUE,TRUE,0,0,2731.28814772071,2426.92741037119,2731.28814772071,2426.92741037119,0.852210077291702,0.147789922708298,20,20,2734.24394617488,2423.97161191703,1,1
1999-09-12,1999,1,REG,NFL Regular Season,WAS,DAL,41,35,DAL,0,1,TRUE,TRUE,0,0,2622.79381515129,2507.94017953487,2622.79381515129,2507.94017953487,0.659518823817096,0.340481176182904,20,20,2609.60343867495,2521.13055601121,1,1
1999-09-12,1999,1,REG,NFL Regular Season,SEA,DET,28,20,DET,0,1,TRUE,TRUE,0,0,2584.55543491316,2518.29342559126,2584.55543491316,2518.29342559126,0.594219109508206,0.405780890491794,20,20,2572.671052723,2530.17780778142,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CHI,KC,17,20,CHI,1,0,TRUE,TRUE,0,0,2616.59918867886,2573.29606770732,2616.59918867886,2573.29606770732,0.561997504605698,0.438002495394302,20,20,2625.35923858675,2564.53601779943,1,1
1999-09-12,1999,1,REG,NFL Regular Season,ATL,MIN,17,14,MIN,0,1,TRUE,TRUE,0,0,2462.16205609633,2622.31213845141,2462.16205609633,2622.31213845141,0.284571325545267,0.715428674454733,20,20,2456.47062958543,2628.00356496231,1,1
1999-09-12,1999,1,REG,NFL Regular Season,NYJ,NE,30,28,NE,0,1,TRUE,TRUE,0,0,2657.23860556656,2623.67569435643,2657.23860556656,2623.67569435643,0.548151223993086,0.451848776006914,20,20,2646.2755810867,2634.63871883629,1,1
1999-09-12,1999,1,REG,NFL Regular Season,TB,NYG,17,13,NYG,0,1,TRUE,TRUE,0,0,2697.25962492668,2627.88490446125,2697.25962492668,2627.88490446125,0.598532199791732,0.401467800208268,20,20,2685.28898093084,2639.85554845709,1,1
1999-09-12,1999,1,REG,NFL Regular Season,GB,OAK,24,28,GB,1,0,TRUE,TRUE,0,0,2676.32972435955,2699.66251282862,2676.32972435955,2699.66251282862,0.466471808028726,0.533528191971274,20,20,2687.00028819898,2688.9919489892,1,1
1999-09-12,1999,1,REG,NFL Regular Season,CLE,PIT,43,0,PIT,0,1,TRUE,TRUE,0,0,2421.20288737487,2646.62704097432,2421.20288737487,2646.62704097432,0.214561501818834,0.785438498181166,20,20,2416.91165733849,2650.9182710107,1,1
1999-09-12,1999,1,REG,NFL Regular Season,JAX,SF,3,41,JAX,1,0,TRUE,TRUE,0,0,2632.52554968229,2563.28405027438,2632.52554968229,2563.28405027438,0.59834791070902,0.40165208929098,20,20,2640.55859146811,2555.25100848856,1,1
1999-09-13,1999,1,REG,NFL Regular Season,DEN,MIA,38,21,MIA,0,1,TRUE,TRUE,0,0,2626.33669976403,2730.3731402041,2626.33669976403,2730.3731402041,0.354599540855314,0.645400459144686,20,20,2619.24470894692,2737.4651310212,1,1
1999-09-19,1999,2,REG,NFL Regular Season,MIA,ARI,16,19,MIA,1,0,FALSE,FALSE,1,1,2737.4651310212,2485.61025896132,2730.3731402041,2471.1606339251,0.809966602915889,0.190033397084111,20,20,2741.26579896288,2481.80959101964,2,2
1999-09-19,1999,2,REG,NFL Regular Season,TEN,CLE,9,26,TEN,1,0,FALSE,FALSE,1,1,2734.24394617488,2416.91165733849,2731.28814772071,2421.20288737487,0.861369506000534,0.138630493999466,20,20,2737.01655605487,2414.1390474585,2,2
1999-09-19,1999,2,REG,NFL Regular Season,KC,DEN,10,26,KC,1,0,FALSE,FALSE,1,1,2564.53601779943,2619.24470894692,2573.29606770732,2626.33669976403,0.421912195853598,0.578087804146402,20,20,2576.09777388236,2607.682952864,2,2
1999-09-19,1999,2,REG,NFL Regular Season,DET,GB,15,23,DET,1,0,FALSE,FALSE,1,1,2530.17780778142,2687.00028819898,2518.29342559126,2676.32972435955,0.28848718477856,0.71151281522144,20,20,2544.40806408585,2672.77003189455,2,2
1999-09-19,1999,2,REG,NFL Regular Season,NE,IND,28,31,NE,1,0,FALSE,FALSE,1,1,2634.63871883629,2694.41468167931,2623.67569435643,2687.30731359501,0.414814343729318,0.585185656270682,20,20,2646.3424319617,2682.71096855389,2,2
1999-09-19,1999,2,REG,NFL Regular Season,CAR,JAX,22,20,JAX,0,1,FALSE,FALSE,1,1,2479.62347137965,2640.55859146811,2487.6800252779,2632.52554968229,0.283652188274322,0.716347811725678,20,20,2473.95042761416,2646.2316352336,2,2
1999-09-19,1999,2,REG,NFL Regular Season,SF,NO,21,28,SF,1,0,FALSE,FALSE,1,1,2555.25100848856,2564.12871403601,2563.28405027438,2556.07216013776,0.48722673452361,0.51277326547639,20,20,2565.50647379809,2553.87324872649,2,2
