Team,Rating,Games,FirstMatchDate,StartRating
Argentina,2806,1062,1902-07-20,2300
Spain,2779,779,1920-08-28,2300
France,2736,931,1904-05-01,2300
England,2714,1086,1872-11-30,2300
Brazil,2701,1055,1914-09-20,2300
Portugal,2696,691,1921-12-18,2300
Colombia,2694,634,1938-02-10,2300
Netherlands,2670,875,1905-04-30,2300
Germany,2668,1027,1908-04-05,2300
Italy,2654,889,1910-05-15,2300
Croatia,2650,392,1940-04-02,2300
Japan,2636,787,1917-05-07,2300
Morocco,2633,612,1958-04-03,2300
Uruguay,2628,966,1902-07-20,2300
Belgium,2625,849,1904-05-01,2300
South Korea,2620,1003,1949-01-02,2300
Senegal,2614,634,1961-12-05,2300
Ecuador,2611,587,1938-08-08,2300
Iran,2608,608,1941-08-23,2300
Denmark,2597,870,1908-10-22,2300
Mexico,2597,997,1923-01-01,2300
United States,2595,786,1885-11-28,2300
Switzerland,2591,880,1905-02-12,2300
Australia,2571,577,1922-06-17,2300
Turkey,2568,638,1923-10-26,2300
Algeria,2561,613,1963-01-06,2300
Norway,2559,868,1908-07-12,2300
Russia,2558,744,1910-10-16,2300
Austria,2554,857,1902-10-12,2300
Canada,2548,465,1885-11-28,2300
Ukraine,2542,334,1928-08-19,2300
Poland,2542,888,1921-12-18,2300
Uzbekistan,2532,350,1992-06-17,2300
Jersey,2531,235,1905-04-27,2300
Serbia,2527,344,1950-02-26,2300
Basque Country,2523,58,1915-01-03,2300
Paraguay,2521,780,1919-05-11,2300
Scotland,2507,847,1872-11-30,2300
Chile,2506,831,1910-05-27,2300
Czech Republic,2506,356,1994-02-23,2300
Egypt,2499,752,1920-08-28,2300
Sweden,2497,1097,1908-07-12,2300
Greece,2497,629,1919-06-25,2300
Nigeria,2497,655,1949-10-08,2300
Hungary,2492,1002,1902-10-12,2300
Ivory Coast,2492,633,1960-04-14,2300
Wales,2485,722,1876-03-25,2300
Panama,2483,533,1938-02-12,2300
Venezuela,2481,456,1938-02-12,2300
Peru,2480,710,1927-11-01,2300
Yugoslavia,2478,483,1920-08-28,2300
Iraq,2477,651,1960-06-05,2300
Czechoslovakia,2477,520,1903-04-05,2300
Slovenia,2474,313,1991-06-19,2300
Tunisia,2469,674,1957-06-02,2300
Guernsey,2460,240,1905-04-17,2300
Padania,2460,44,2008-07-08,2300
Jordan,2458,477,1963-01-06,2300
