name,rating,games,is_seed,category
"Kosteniuk, Alexandra",2671,24,TRUE,Blitz
"Batsiashvili, Nino",2650,22,TRUE,Blitz
"Roebers, Eline",2636,20,TRUE,Blitz
"Ju, Wenjun",2596,9,FALSE,Blitz
"Osmak, Yuliia",2594,21,TRUE,Blitz
"Narva Mallqui, Miguel",2592,16,FALSE,Blitz
Nihal Sarin,2592,23,TRUE,Blitz
"Xiao, Yiyi",2584,9,FALSE,Blitz
"Stefanova, Antoaneta",2582,21,TRUE,Blitz
"Arabidze, Meri",2571,22,TRUE,Blitz
"Zhao, Yunqing",2570,4,FALSE,Blitz
"Avramidou, Anastasia",2565,18,FALSE,Blitz
"Kulon, Klaudia",2562,11,FALSE,Blitz
"Tsatsalashvili, Keti",2562,22,TRUE,Blitz
"So, Wesley",2561,22,TRUE,Blitz
"Kiolbasa, Oliwia",2558,13,FALSE,Blitz
"Ni, Shiqun",2551,10,FALSE,Blitz
"Atalik, Ekaterina",2550,18,FALSE,Blitz
"Bulmaga, Ion",2550,17,FALSE,Blitz
"Gvetadze, Sopi",2550,11,FALSE,Blitz
"Ushenina, Anna",2550,21,TRUE,Blitz
Vantika Agrawal,2549,27,TRUE,Blitz
"Khotenashvili, Bella",2546,21,TRUE,Blitz
"Sivanandan, Bodhana",2546,10,FALSE,Blitz
"Beydullayeva, Govhar",2538,18,FALSE,Blitz
"Zhai, Mo",2538,10,FALSE,Blitz
"Maltsevskaya, Aleksandra",2535,13,FALSE,Blitz
"Rozman, Levy",2535,8,FALSE,Blitz
"Niemann, Hans Moke",2534,24,TRUE,Blitz
"Dzagnidze, Nana",2530,24,TRUE,Blitz
Erigaisi Arjun,2529,24,TRUE,Blitz
"Sliwicka, Alicja",2529,12,FALSE,Blitz
"Badelka, Olga",2527,15,FALSE,Blitz
"Yip, Carissa",2524,27,TRUE,Blitz
"Mgeladze, Kesaria",2522,1,FALSE,Blitz
Praggnanandhaa R,2520,23,TRUE,Blitz
"Daulyte-Cornette, Deimante",2519,12,FALSE,Blitz
"Tsolakidou, Stavroula",2519,26,TRUE,Blitz
"Wei, Yi",2515,23,TRUE,Blitz
"Injac, Teodora",2513,16,FALSE,Blitz
"Lagno, Kateryna",2513,25,TRUE,Blitz
"Pi, Aiying",2508,4,FALSE,Blitz
"Jarocka, Liwia",2506,5,FALSE,Blitz
"Alfano, Emilie",2504,1,FALSE,Blitz
"Malicka, Maria",2503,3,FALSE,Blitz
"Bensdorp, M.",2501,1,FALSE,Blitz
"Mu, Wangxueyao",2501,1,FALSE,Blitz
"Rudzinska, Michalina",2501,12,FALSE,Blitz
"Sindarov, Javokhir",2501,1,FALSE,Blitz
"Bellahcene, Sofia",2500,1,FALSE,Blitz
"Guichard, Paul",2500,4,FALSE,Blitz
"Unuk, Laura",2499,7,FALSE,Blitz
"Jimenez Fernandez, Rebeca",2497,2,FALSE,Blitz
"Vaishali, Rameshbabu",2494,27,TRUE,Blitz
"Blanquet, Camille",2492,3,FALSE,Blitz
"Javakhishvili, Lela",2491,10,FALSE,Blitz
"Wang, Qinxuanyi",2489,3,FALSE,Blitz
"Zaksaite, Salomeja",2489,3,FALSE,Blitz
"Buksa, Nataliya",2488,15,FALSE,Blitz
"Dronavalli, Harika",2488,27,TRUE,Blitz
"Dwilewicz, Katarzyna",2488,3,FALSE,Blitz
Divya Deshmukh,2487,25,TRUE,Blitz
"Sevcikova, Lucia",2487,3,FALSE,Blitz
"Kirtadze, Anastasia",2486,2,FALSE,Blitz
"Paasikangas, Johanna",2486,1,FALSE,Blitz
"Deak-Sala, Emilia",2485,1,FALSE,Blitz
"Simkunaite, Gabija",2485,1,FALSE,Blitz
"Bacrot, Nathalie",2484,1,FALSE,Blitz
"Galvan Cipriani, Viviana",2484,2,FALSE,Blitz
"Garcia Martin, Marta",2484,1,FALSE,Blitz
"Zhu, Yixin",2484,1,FALSE,Blitz
"Zonyte, Aukse",2484,1,FALSE,Blitz
"Dylag, Emilia",2483,1,FALSE,Blitz
"Prochaieva, Tina",2483,1,FALSE,Blitz
"Bosc, Seraphina",2482,1,FALSE,Blitz
"Caku, Kler",2482,1,FALSE,Blitz
"Dornbusch, Tatiana",2482,1,FALSE,Blitz
"He, Ziyu",2482,1,FALSE,Blitz
"Li, Yilin(ZJ)",2482,1,FALSE,Blitz
"Zhao, Shengxin",2482,1,FALSE,Blitz
"Drakaki, Anna-Maria",2481,1,FALSE,Blitz
"Gu, Xiaobing",2481,3,FALSE,Blitz
"Pinyol i Llora, Julia",2481,1,FALSE,Blitz
"Prochaieva, Alina",2481,1,FALSE,Blitz
"Rojickova, Monika",2481,1,FALSE,Blitz
"Uta, Ad",2481,1,FALSE,Blitz
"Yang, Le",2481,1,FALSE,Blitz
"Zhang, Xiaoyao",2481,1,FALSE,Blitz
"Chen, Yining(BJ)",2480,1,FALSE,Blitz
"Huang, Zixin",2480,1,FALSE,Blitz
"Matnadze Bujiashvili, Ann",2480,14,FALSE,Blitz
"Meng, Qianxun",2480,1,FALSE,Blitz
"Gaal, Zsoka",2479,13,FALSE,Blitz
"Maisuradze, Nata",2479,1,FALSE,Blitz
"Goryachkina, Aleksandra",2478,24,TRUE,Blitz
"Berend, Elvira",2477,4,FALSE,Blitz
"Lach, Aleksandra",2477,1,FALSE,Blitz
"Nomin-Erdene, Davaademberel",2475,7,FALSE,Blitz
"Djidjeli, Sarah",2472,3,FALSE,Blitz
"Zherebtsova, Alexandra",2472,3,FALSE,Blitz
"Mickunaite, Agne",2470,2,FALSE,Blitz
"Bellaiche, Elise",2469,2,FALSE,Blitz
"Piddubna, Bozhena",2469,6,FALSE,Blitz
"Charkhalashvili, Inga",2468,5,FALSE,Blitz
"Yang, Youqing",2468,2,FALSE,Blitz
"Antolak, Julia",2467,6,FALSE,Blitz
"Socko, Monika",2466,9,FALSE,Blitz
"Czarnecka, Lidia",2465,3,FALSE,Blitz
"Song, Julien",2465,8,FALSE,Blitz
"Hunt, Harriet V",2463,2,FALSE,Blitz
"Shi, Yige",2463,2,FALSE,Blitz
"Zimina, Oksana",2463,5,FALSE,Blitz
"Gaponenko, Inna",2462,10,FALSE,Blitz
"Gao, Muziyan",2460,2,FALSE,Blitz
"Schulze, Lara",2460,8,FALSE,Blitz
Anand V,2457,23,TRUE,Blitz
"Zhang, Xiao",2457,4,FALSE,Blitz
"Cramling, Pia",2456,6,FALSE,Blitz
"Hrebenshchykova, Yelyzaveta",2456,6,FALSE,Blitz
"Hejazipour, Mitra",2453,8,FALSE,Blitz
"De Seroux, Camille",2446,3,FALSE,Blitz
"Papp, Petra",2444,9,FALSE,Blitz
"Agrest, Inna",2443,3,FALSE,Blitz
"Ince, Safiye Oyku",2443,3,FALSE,Blitz
"Manko, Mariia",2437,4,FALSE,Blitz
"Murzin, Volodar",2430,24,TRUE,Blitz
"Borosova, Zuzana",2421,6,FALSE,Blitz
Rakshitta Ravi,2418,26,TRUE,Blitz
"Cramling Bellon, Anna",2412,6,FALSE,Blitz
"Aravindh, Chithambaram VR.",2360,23,TRUE,Blitz
