name,rating,games,is_seed,category
Aditya Tari,2707,23,TRUE,Classical
"Delgado Ramirez, Neuris",2701,27,TRUE,Classical
"Meng, Yihan",2695,26,TRUE,Classical
"Jacobson, Brandon",2693,22,TRUE,Classical
Shahil Dey,2669,33,TRUE,Classical
"Gloeckler, Christian",2665,17,FALSE,Classical
"Cuenca Jimenez, Jose Fernando",2664,18,FALSE,Classical
"Elias Reyes, Jorge Roberto",2661,18,FALSE,Classical
"Christiansen, Johan-Sebastian",2660,10,FALSE,Classical
"Balakrishnan, Praveen",2659,18,FALSE,Classical
"Savchenko, Boris",2658,21,TRUE,Classical
"Tsydypov, Zhamsaran",2656,34,TRUE,Classical
"Flores Quillas, Diego Saul Rodri",2651,27,TRUE,Classical
"Nguyen, Duc Hoa",2651,17,FALSE,Classical
"Bruzon Batista, Lazaro",2646,17,FALSE,Classical
Neelash Saha,2645,24,TRUE,Classical
"Vazquez, Facundo",2643,22,TRUE,Classical
"Huschenbeth, Niclas",2642,17,FALSE,Classical
"Diamant, Andre",2641,10,FALSE,Classical
"Soriano Quispe, Ivan Excender",2640,27,TRUE,Classical
"Afanasiev, Nikita",2633,27,TRUE,Classical
"Alekseev, Evgeny",2625,13,FALSE,Classical
"Putnam, Liam",2625,9,FALSE,Classical
Nguyen Van Huy,2622,22,TRUE,Classical
Mayank Chakraborty,2621,14,FALSE,Classical
Aronyak Ghosh,2620,17,FALSE,Classical
"Siddharth, Jagadeesh",2620,16,FALSE,Classical
Ayush Sharma (2010-10-21),2619,16,FALSE,Classical
"Flores, Di",2619,9,FALSE,Classical
Daaevik Wadhawan,2617,34,TRUE,Classical
"Sokolovsky, Yahli",2617,13,FALSE,Classical
"Liang, Awonder",2615,8,FALSE,Classical
"Santiago Ortiz, Yael De Jesus",2615,19,FALSE,Classical
Vignesh N R,2615,17,FALSE,Classical
"Fier, Alexandr",2614,10,FALSE,Classical
"Gupta, Ab",2613,10,FALSE,Classical
"Supi, Luis Paulo",2612,9,FALSE,Classical
Apoorv Kamble,2611,35,TRUE,Classical
"Liu, Yi(HB)",2611,11,FALSE,Classical
Prraneeth Vuppala,2611,9,FALSE,Classical
Srihari L R,2611,17,FALSE,Classical
"Di Berardino, Diego Rafael",2610,10,FALSE,Classical
Jake Shanty,2610,34,TRUE,Classical
"Vaz, Ethan",2610,36,TRUE,Classical
"Ben Ari, Yannay",2609,12,FALSE,Classical
Dau Khuong Duy,2609,26,TRUE,Classical
"Larkin, Vladyslav",2608,11,FALSE,Classical
"Woodward, Andy",2608,12,FALSE,Classical
"Schnaider, Ilan",2607,10,FALSE,Classical
"Krallis, Christos",2606,18,FALSE,Classical
"Licznerski, Lukasz",2606,16,FALSE,Classical
"Bortnyk, Mykola",2604,9,FALSE,Classical
"Burmakin, Victor",2604,20,TRUE,Classical
"Holtel, Jasper",2603,10,FALSE,Classical
"Ivanchuk, Vasyl",2600,15,FALSE,Classical
"Mekhitarian, Krikor Sevag",2600,9,FALSE,Classical
"Nikitenko, Mihail",2597,9,FALSE,Classical
"Gonzalez Vidal, Yuri",2596,8,FALSE,Classical
"Tudor, Henry Edward",2596,16,FALSE,Classical
"Almeida Quintana, Omar",2595,9,FALSE,Classical
"Chasin, Nico",2595,7,FALSE,Classical
"Leitao, Rafael",2595,9,FALSE,Classical
"Tokman, Ariel",2595,9,FALSE,Classical
"Zanan, Evgeny",2595,14,FALSE,Classical
"Cubas, Jo",2593,10,FALSE,Classical
Shyam N,2593,15,FALSE,Classical
"Smirin, Ilia",2593,14,FALSE,Classical
"Vivas Zamora, Fabian Ernesto",2593,10,FALSE,Classical
"Culum, Sanjin",2592,8,FALSE,Classical
"Kushko, Dmitriy",2592,9,FALSE,Classical
"Ponkratov, Pavel",2592,9,FALSE,Classical
"Sivuk, Vitaly",2592,18,FALSE,Classical
"Kharkevich, Stepan",2591,9,FALSE,Classical
"Ljepic, Andrej",2591,26,TRUE,Classical
"Palczert, Matyas",2591,17,FALSE,Classical
"Saric, Ivan",2591,8,FALSE,Classical
"Yaniv, Yuval",2591,12,FALSE,Classical
"Efroimski, Marsel",2590,11,FALSE,Classical
"Erenberg, Ariel",2590,5,FALSE,Classical
"Cukrowski, Fabian",2589,9,FALSE,Classical
"Nemec, Jachym",2589,5,FALSE,Classical
"Quintiliano Pinto, R.",2589,10,FALSE,Classical
"Gorodetzky, David",2588,12,FALSE,Classical
"Krysa, Leandro",2587,9,FALSE,Classical
Ajay Santhosh Parvathareddy,2586,33,TRUE,Classical
"Akopian, Vladimir",2586,5,FALSE,Classical
"Brodowski, Piotr",2586,18,FALSE,Classical
"Mitkov, Nikola",2586,9,FALSE,Classical
"Salinas Herrera, Pablo",2586,9,FALSE,Classical
"Ticona Rocabado, Licael Roderick",2586,10,FALSE,Classical
"Gasparyan, Erik R.",2585,8,FALSE,Classical
"Gorshtein, Ido",2585,14,FALSE,Classical
Rohith Krishna S,2584,8,FALSE,Classical
"Arca, Christian Gian Karlo",2583,12,FALSE,Classical
"Cando Cordova, Emerson",2583,8,FALSE,Classical
"Moroni, Leonardo",2583,7,FALSE,Classical
Aaryan Varshney,2582,7,FALSE,Classical
"Larino Nieto, David",2582,17,FALSE,Classical
"Pankiv, Maksym",2582,12,FALSE,Classical
Ezra Paul Chambers,2581,12,FALSE,Classical
"Gochelashvili, David",2581,17,FALSE,Classical
"Ilinca, Felix-Antonio",2581,8,FALSE,Classical
"Noe, Christopher",2581,11,FALSE,Classical
