name,rating,games,is_seed,category
"Pribelszky, Bence",2602,9,FALSE,Rapid
"Xie, Felix",2597,8,FALSE,Rapid
"Vanczak, Tamas",2594,9,FALSE,Rapid
"Fernandez, Dan",2570,7,FALSE,Rapid
"Pasztor, Balazs",2566,9,FALSE,Rapid
"Popovics, Adam",2538,9,FALSE,Rapid
"Stopa, Jacek",2522,4,FALSE,Rapid
"Atalik, Ekaterina",2520,1,FALSE,Rapid
"Cramling Bellon, Anna",2520,1,FALSE,Rapid
"Fernandez, Daniel Howard",2520,1,FALSE,Rapid
"Manko, Mariia",2520,1,FALSE,Rapid
"Narva Mallqui, Miguel",2520,1,FALSE,Rapid
"Rozman, Levy",2520,4,FALSE,Rapid
"Varga, Cs2",2515,4,FALSE,Rapid
"Gelfand, Boris",2512,4,FALSE,Rapid
"Wang, Justin Zhide",2506,1,FALSE,Rapid
"Keith, Matthew",2505,1,FALSE,Rapid
"Sun, Nathan",2501,1,FALSE,Rapid
Anand V,2500,1,FALSE,Rapid
"Czebe, Attila",2500,3,FALSE,Rapid
Praggnanandhaa R,2500,1,FALSE,Rapid
"Steele, Hayden",2499,1,FALSE,Rapid
"Steinberg, Nitzan",2488,4,FALSE,Rapid
"Ker, Anthony F",2485,1,FALSE,Rapid
"Tumo, Bence",2485,1,FALSE,Rapid
"Morvai, Pal",2484,1,FALSE,Rapid
"Markot, David Bence",2483,1,FALSE,Rapid
"Diczko, Zsombor",2482,1,FALSE,Rapid
"Gudoy, Paul",2482,1,FALSE,Rapid
"Lee, Edward S",2482,1,FALSE,Rapid
"Van Meter, Lester",2482,1,FALSE,Rapid
"Forster Georgiou, William",2481,1,FALSE,Rapid
"Kovacs, Kristof 2",2481,1,FALSE,Rapid
"Lehocz, Jozsef",2481,1,FALSE,Rapid
"Molnar, Ja2",2481,1,FALSE,Rapid
"Smith, Ro",2481,1,FALSE,Rapid
"Ashe, Michael",2480,1,FALSE,Rapid
"Borsavolgyi, Tamas",2480,1,FALSE,Rapid
"Guichard, Paul",2480,1,FALSE,Rapid
"Hejazipour, Mitra",2480,1,FALSE,Rapid
"Injac, Teodora",2480,1,FALSE,Rapid
Jadhav Pratik,2480,1,FALSE,Rapid
"Korpas, Zoltan",2480,1,FALSE,Rapid
"Kovacs, Balazs",2480,1,FALSE,Rapid
"Song, Julien",2480,4,FALSE,Rapid
"Thurner, Anya",2480,1,FALSE,Rapid
"Tsatsalashvili, Keti",2480,1,FALSE,Rapid
"Lee, Dylan E S",2479,1,FALSE,Rapid
Guivan Virtus,2471,3,FALSE,Rapid
"Szegedy, Matyas",2469,2,FALSE,Rapid
"Liu, William Rui",2467,2,FALSE,Rapid
"Mizik, Zsolt",2465,2,FALSE,Rapid
"Bodrogi, Lajos",2461,2,FALSE,Rapid
