Date,Event,Category,White,Black,Result,WhiteElo,BlackElo,Kw,Kb,Rw_Before,Rb_Before,Rw_After,Rb_After,GameKey
2026-01-04,China Women's Open Blitz,Blitz,"Gao, Muziyan","Ni, Shiqun",0-1,2258,2345,40,40,2500,2500,2480,2520,"2026-01-04|China Women's Open Blitz|Gao, Muziyan|Ni, Shiqun|0-1|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Gu, Xiaobing","Zhai, Mo",1-0,2106,2385,40,40,2500,2500,2520,2480,"2026-01-04|China Women's Open Blitz|Gu, Xiaobing|Zhai, Mo|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","Chen, Yining(BJ)",1-0,2565,2285,40,40,2500,2500,2520,2480,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|Chen, Yining(BJ)|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","Gu, Xiaobing",1-0,2565,2106,40,40,2520,2520,2540,2500,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|Gu, Xiaobing|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","He, Ziyu",1-0,2565,1831,40,40,2540,2500,2557.7075346495085,2482.2924653504915,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|He, Ziyu|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","Pi, Aiying",1-0,2565,1966,40,40,2557.7075346495085,2500,2574.415836589451,2483.2916980600576,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|Pi, Aiying|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","Zhang, Xiao",1-0,2565,2160,40,40,2574.415836589451,2500,2590.1964426793797,2484.219393910071,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|Zhang, Xiao|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ju, Wenjun","Zhao, Yunqing",0-1,2565,2151,40,40,2590.1964426793797,2500,2565.1178988835177,2525.078543795862,"2026-01-04|China Women's Open Blitz|Ju, Wenjun|Zhao, Yunqing|0-1|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Meng, Qianxun","Xiao, Yiyi",0-1,1671,2352,40,40,2500,2500,2480,2520,"2026-01-04|China Women's Open Blitz|Meng, Qianxun|Xiao, Yiyi|0-1|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Mu, Wangxueyao","Xiao, Yiyi",1/2-1/2,1941,2352,40,40,2500,2520,2501.1500225556906,2518.8499774443094,"2026-01-04|China Women's Open Blitz|Mu, Wangxueyao|Xiao, Yiyi|1/2-1/2|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ni, Shiqun","Gu, Xiaobing",1-0,2345,2106,40,40,2520,2500,2538.8499774443094,2481.1500225556906,"2026-01-04|China Women's Open Blitz|Ni, Shiqun|Gu, Xiaobing|1-0|Blitz|LumbrasGigaBase_OTB_2026.pgn"
2026-01-04,China Women's Open Blitz,Blitz,"Ni, Shiqun","Ju, Wenjun",1/2-1/2,2345,2565,40,40,2538.8499774443094,2565.1178988835177,2540.359205994147,2563.60867033368,"2026-01-04|China Women's Open Blitz|Ni, Shiqun|Ju, Wenjun|1/2-1/2|Blitz|LumbrasGigaBase_OTB_2026.pgn"
