Date,Event,Category,White,Black,Result,WhiteElo,BlackElo,Kw,Kb,Rw_Before,Rb_Before,Rw_After,Rb_After,GameKey
2026-01-09,Tata Steel India Rapid,Rapid,Anand V,Praggnanandhaa R,1/2-1/2,2743,2758,40,40,2500,2500,2500,2500,2026-01-09|Tata Steel India Rapid|Anand V|Praggnanandhaa R|1/2-1/2|Rapid|LumbrasGigaBase_OTB_2026.pgn
2026-01-10,European Women Rapid 2026,Rapid,"Cramling Bellon, Anna","Guichard, Paul",1-0,2046,2333,40,40,2500,2500,2520,2480,"2026-01-10|European Women Rapid 2026|Cramling Bellon, Anna|Guichard, Paul|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-10,European Women Rapid 2026,Rapid,"Hejazipour, Mitra","Atalik, Ekaterina",0-1,2338,2349,40,40,2500,2500,2480,2520,"2026-01-10|European Women Rapid 2026|Hejazipour, Mitra|Atalik, Ekaterina|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-10,European Women Rapid 2026,Rapid,"Injac, Teodora","Manko, Mariia",0-1,2421,2262,40,40,2500,2500,2480,2520,"2026-01-10|European Women Rapid 2026|Injac, Teodora|Manko, Mariia|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-10,European Women Rapid 2026,Rapid,"Narva Mallqui, Miguel","Tsatsalashvili, Keti",1-0,2413,2305,40,40,2500,2500,2520,2480,"2026-01-10|European Women Rapid 2026|Narva Mallqui, Miguel|Tsatsalashvili, Keti|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Ashe, Michael","Fernandez, Dan",0-1,1639,2527,40,40,2500,2500,2480,2520,"2026-01-11|2026 New Zealand Congress | Rapid|Ashe, Michael|Fernandez, Dan|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Fernandez, Dan","Sun, Nathan",1/2-1/2,2527,1858,40,40,2520,2500,2518.8499774443094,2501.1500225556906,"2026-01-11|2026 New Zealand Congress | Rapid|Fernandez, Dan|Sun, Nathan|1/2-1/2|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Fernandez, Daniel Howard","Stopa, Jacek",1-0,2527,2330,40,40,2500,2500,2520,2480,"2026-01-11|2026 New Zealand Congress | Rapid|Fernandez, Daniel Howard|Stopa, Jacek|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Forster Georgiou, William","Fernandez, Dan",0-1,1812,2527,40,40,2500,2518.8499774443094,2481.084028500577,2537.7659489437324,"2026-01-11|2026 New Zealand Congress | Rapid|Forster Georgiou, William|Fernandez, Dan|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,Jadhav Pratik,"Xie, Felix",0-1,1629,2407,40,40,2500,2500,2480,2520,"2026-01-11|2026 New Zealand Congress | Rapid|Jadhav Pratik|Xie, Felix|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Smith, Ro","Xie, Felix",0-1,2136,2407,40,40,2500,2520,2481.1500225556906,2538.8499774443094,"2026-01-11|2026 New Zealand Congress | Rapid|Smith, Ro|Xie, Felix|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Steele, Hayden","Stopa, Jacek",1/2-1/2,1993,2330,40,40,2500,2480,2498.8499774443094,2481.1500225556906,"2026-01-11|2026 New Zealand Congress | Rapid|Steele, Hayden|Stopa, Jacek|1/2-1/2|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Stopa, Jacek","Lee, Dylan E S",1-0,2330,1548,40,40,2481.1500225556906,2500,2502.2340510562676,2478.915971499423,"2026-01-11|2026 New Zealand Congress | Rapid|Stopa, Jacek|Lee, Dylan E S|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Stopa, Jacek","Thurner, Anya",1-0,2330,1900,40,40,2502.2340510562676,2500,2522.1054505121733,2480.1286005440943,"2026-01-11|2026 New Zealand Congress | Rapid|Stopa, Jacek|Thurner, Anya|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Xie, Felix","Gudoy, Paul",1-0,2407,1647,40,40,2538.8499774443094,2500,2556.6228674948247,2482.2271099494847,"2026-01-11|2026 New Zealand Congress | Rapid|Xie, Felix|Gudoy, Paul|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-11,2026 New Zealand Congress | Rapid,Rapid,"Xie, Felix","Liu, William Rui",1-0,2407,2118,40,40,2556.6228674948247,2500,2573.391947582054,2483.230919912771,"2026-01-11|2026 New Zealand Congress | Rapid|Xie, Felix|Liu, William Rui|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Fernandez, Dan","Van Meter, Lester",1-0,2527,1918,40,40,2537.7659489437324,2500,2555.600488126171,2482.1654608175613,"2026-01-12|2026 New Zealand Congress | Rapid|Fernandez, Dan|Van Meter, Lester|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Fernandez, Dan","Xie, Felix",0-1,2527,2407,40,40,2555.600488126171,2573.391947582054,2536.623752596269,2592.368683111956,"2026-01-12|2026 New Zealand Congress | Rapid|Fernandez, Dan|Xie, Felix|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Keith, Matthew","Xie, Felix",1/2-1/2,1965,2407,40,40,2500,2592.368683111956,2505.195338333357,2587.173344778599,"2026-01-12|2026 New Zealand Congress | Rapid|Keith, Matthew|Xie, Felix|1/2-1/2|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Lee, Edward S","Fernandez, Dan",0-1,1989,2527,40,40,2500,2536.623752596269,2482.100458599123,2554.5232939971456,"2026-01-12|2026 New Zealand Congress | Rapid|Lee, Edward S|Fernandez, Dan|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Liu, William Rui","Fernandez, Dan",0-1,2118,2527,40,40,2483.230919912771,2554.5232939971456,2467.278193675995,2570.476020233921,"2026-01-12|2026 New Zealand Congress | Rapid|Liu, William Rui|Fernandez, Dan|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Xie, Felix","Ker, Anthony F",1-0,2407,2191,40,40,2587.173344778599,2500,2602.2579599986993,2484.9153847799,"2026-01-12|2026 New Zealand Congress | Rapid|Xie, Felix|Ker, Anthony F|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-12,2026 New Zealand Congress | Rapid,Rapid,"Xie, Felix","Wang, Justin Zhide",1/2-1/2,2407,2066,40,40,2602.2579599986993,2500,2596.535800516366,2505.722159482333,"2026-01-12|2026 New Zealand Congress | Rapid|Xie, Felix|Wang, Justin Zhide|1/2-1/2|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-17,Gotham vs. Song Rapid,Rapid,"Rozman, Levy","Song, Julien",0-1,2323,2320,40,40,2500,2500,2480,2520,"2026-01-17|Gotham vs. Song Rapid|Rozman, Levy|Song, Julien|0-1|Rapid|LumbrasGigaBase_OTB_2026.pgn"
2026-01-17,Gotham vs. Song Rapid,Rapid,"Rozman, Levy","Song, Julien",1-0,2323,2320,40,40,2480,2520,2502.2924653504915,2497.7075346495085,"2026-01-17|Gotham vs. Song Rapid|Rozman, Levy|Song, Julien|1-0|Rapid|LumbrasGigaBase_OTB_2026.pgn"
