name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Shin Jinseo,3546,256,2023-01-02,3232.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Ichiriki Ryo,3441,178,2023-01-06,3201.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Wang Xinghao,3409,161,2023-02-06,3231,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Li Weiqing,3388,136,2023-02-06,3122.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Shibano Toramaru,3376,197,2023-01-06,3043.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Ding Hao,3368,179,2023-01-30,3127.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Hsu Chiayuan,3355,136,2023-01-06,3129.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Xu Jiayang,3350,140,2023-02-03,3038.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Yang Dingxin,3336,150,2023-01-30,3116.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Mi Yuting,3334,156,2023-02-06,3129.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Dang Yifei,3328,196,2023-02-05,3109.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Yu Zhengqi,3320,127,2023-01-09,3137,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Li Xuanhao,3319,143,2023-02-05,2977.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Li Qincheng,3312,129,2023-02-06,3047.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Iyama Yuta,3310,169,2023-01-12,3145.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Lai Junfu,3310,218,2023-01-11,3151.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Park Junghwan,3304,241,2023-01-05,3169.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Xu Haohong,3302,211,2023-01-08,3088.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Chen Shiyuan,3298,78,2023-01-09,3036.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Ke Jie,3297,174,2023-02-04,3201.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Liao Yuanhe,3297,112,2023-02-05,2997.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Tu Xiaoyu,3297,121,2023-02-05,3074.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Jin Yucheng,3291,101,2023-02-06,3029.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Lin Junyan,3291,176,2023-01-08,3118.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Lee Jihyun (m),3285,109,2023-01-02,2969.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Xu Jingen,3283,210,2023-01-06,3226,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Xiao Yuyang,3278,39,2023-01-23,3176.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Fan Yin,3270,81,2023-02-03,3039.1,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Chen Zijian,3268,70,2023-02-06,3076.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
Tan Xiao,3266,113,2023-02-03,3109,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,40,100,25
