name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Shin Jinseo,3509,256,2023-01-02,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Ichiriki Ryo,3407,178,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Wang Xinghao,3373,161,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Li Weiqing,3352,136,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Shibano Toramaru,3345,197,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Ding Hao,3332,179,2023-01-30,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Hsu Chiayuan,3327,136,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Xu Jiayang,3316,140,2023-02-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Lai Junfu,3302,218,2023-01-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Mi Yuting,3300,156,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Yang Dingxin,3300,150,2023-01-30,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Chen Shiyuan,3298,78,2023-01-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Yu Zhengqi,3294,127,2023-01-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Dang Yifei,3293,196,2023-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Lin Junyan,3285,176,2023-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Li Xuanhao,3282,143,2023-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Xu Haohong,3280,211,2023-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Iyama Yuta,3279,169,2023-01-12,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Li Qincheng,3277,129,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Xu Jingen,3273,210,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Park Junghwan,3271,241,2023-01-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Tu Xiaoyu,3265,121,2023-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Liao Yuanhe,3263,112,2023-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Jin Yucheng,3258,101,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Lee Jihyun (m),3256,109,2023-01-02,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Ke Jie,3255,174,2023-02-04,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Xiao Yuyang,3251,39,2023-01-23,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Kim Eunji,3247,235,2023-01-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Wang Yuanjun,3245,184,2023-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Fan Yin,3242,81,2023-02-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Cho U,3237,85,2023-01-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Sakai Yuki,3234,108,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Tan Xiao,3234,113,2023-02-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Chen Zijian,3231,70,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Xie Ke,3228,115,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Motoki Katsuya,3227,75,2023-01-19,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Li Wei,3222,119,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Fan Tingyu,3220,141,2023-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Shin Minjun,3217,213,2023-01-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Park Minkyu,3214,84,2023-01-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Hirata Tomoya,3210,65,2023-01-15,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Ueno Asami,3210,171,2023-01-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Jian Jingting,3209,154,2023-01-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Kang Dongyun,3207,161,2023-01-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Miura Taro,3207,66,2023-06-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Fukuoka Kotaro,3206,137,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Seto Taiki,3206,67,2023-02-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Huang Yunsong,3205,86,2023-02-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Koike Yoshihiro,3203,72,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Choi Jeong,3201,202,2023-01-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Lin Lixiang,3198,152,2023-01-06,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Yoo Changhyuk,3196,75,2023-01-19,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
Chen Qirui,3194,210,2023-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,40,100,25
