name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Shin Jinseo,3681,1028,2012-09-11,3081.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ding Hao,3563,521,2013-12-10,3203.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Wang Xinghao,3539,362,2016-12-16,3097.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ichiriki Ryo,3510,963,2010-10-04,3149.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Xu Jiayang,3499,538,2012-06-18,3157.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Dang Yifei,3484,724,2008-03-25,3105.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Li Qincheng,3484,637,2009-12-19,3120.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Shibano Toramaru,3471,715,2014-06-11,3165.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Li Weiqing,3470,431,2013-05-21,3061.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Ke Jie,3467,926,2008-12-16,3078.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Yang Dingxin,3466,795,2008-12-16,3212.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Park Junghwan,3461,1432,2007-05-02,3173.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Iyama Yuta,3459,1230,2002-12-05,3224.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Hsu Chiayuan,3451,620,2013-08-29,3321.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Yang Kaiwen,3427,414,2011-12-28,3172.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Fan Tingyu,3426,853,2008-09-16,3220.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Liao Yuanhe,3426,486,2013-08-18,3077.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Jin Yucheng,3421,172,2018-10-22,3198.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Shin Minjun,3419,815,2012-09-11,3137.3,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Yu Zhengqi,3416,659,2006-01-21,2954.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Xie Ke,3410,491,2013-08-14,3095.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Fan Yunruo,3408,441,2008-01-24,3181.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Li Xuanhao,3406,685,2008-09-18,3092.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Xu Haohong,3404,712,2013-03-07,3039,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Tu Xiaoyu,3398,342,2016-12-01,3273.4,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Zhao Chenyu,3395,546,2012-05-26,3148.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Tan Xiao,3392,856,2005-04-16,3017.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Gu Zihao,3387,633,2011-06-18,3104.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Fan Yin,3386,386,2011-12-28,3086.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Kim Myounghoon,3382,515,2013-04-19,3213.2,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Lai Junfu,3380,653,2015-06-08,3052,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Liu Yuhang,3373,182,2015-01-11,3038.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Lee Donghoon,3370,554,2010-08-03,3091.5,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Chen Zijian,3368,311,2013-06-29,3054.8,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Kim Eunji,3366,404,2020-04-14,3049.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Motoki Katsuya,3357,409,2011-11-10,3099,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Mi Yuting,3356,903,2008-12-16,3219.6,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Byun Sangil,3355,812,2011-08-01,3111.9,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Shi Yue,3351,1014,2003-01-19,3132.7,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
Park Minkyu,3350,284,2012-04-16,3031,TRUE,Pass2_RetroStart,RetroFromPass1FirstN,3000,20,20,100,25
