name,rating,games,first_date,entry_rating,is_seed,Pass,EntryMode,StartR,KNormal,KNew,KNewGames,RetroGamesN
Shin Jinseo,3649,1028,2012-09-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Ding Hao,3530,521,2013-12-10,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Wang Xinghao,3504,362,2016-12-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Ichiriki Ryo,3489,963,2010-10-04,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xu Jiayang,3466,538,2012-06-18,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Shibano Toramaru,3455,715,2014-06-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Dang Yifei,3450,724,2008-03-25,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Li Qincheng,3449,637,2009-12-19,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Iyama Yuta,3442,1230,2002-12-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Hsu Chiayuan,3435,620,2013-08-29,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Li Weiqing,3434,431,2013-05-21,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yang Dingxin,3433,795,2008-12-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Ke Jie,3431,926,2008-12-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Park Junghwan,3430,1432,2007-05-02,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yu Zhengqi,3402,659,2006-01-21,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Fan Tingyu,3393,853,2008-09-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Liao Yuanhe,3393,486,2013-08-18,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yang Kaiwen,3393,414,2011-12-28,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Shin Minjun,3392,815,2012-09-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lai Junfu,3389,653,2015-06-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xu Haohong,3388,712,2013-03-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Jin Yucheng,3384,172,2018-10-22,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xie Ke,3376,491,2013-08-14,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Li Xuanhao,3371,685,2008-09-18,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kim Eunji,3366,404,2020-04-14,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Fan Yunruo,3365,441,2008-01-24,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Tu Xiaoyu,3364,342,2016-12-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Zhao Chenyu,3360,546,2012-05-26,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Tan Xiao,3359,856,2005-04-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Gu Zihao,3353,633,2011-06-18,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kim Myounghoon,3353,515,2013-04-19,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Fan Yin,3351,386,2011-12-28,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Motoki Katsuya,3347,409,2011-11-10,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lin Junyan,3343,727,2010-09-02,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xu Jingen,3342,496,2018-11-12,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Liu Yuhang,3340,182,2015-01-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Chen Zijian,3332,311,2013-06-29,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lee Donghoon,3331,554,2010-08-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Byun Sangil,3328,812,2011-08-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Wang Yuanjun,3328,849,2009-08-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Mi Yuting,3322,903,2008-12-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Park Minkyu,3321,284,2012-04-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Shi Yue,3315,1014,2003-01-19,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xiao Zhenghao,3315,758,2003-09-28,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Fukuoka Kotaro,3313,255,2019-11-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kang Dongyun,3312,1111,2002-07-31,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
An Sungjoon,3311,499,2009-05-04,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Choi Jeong,3301,897,2010-08-14,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lee Jihyun,3295,522,1994-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xie Erhao,3294,582,2011-12-28,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Song Jihoon,3293,260,2015-03-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Tuo Jiaxi,3293,984,2006-01-17,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Chen Qirui,3288,755,2014-01-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kim Jiseok,3287,1053,2004-07-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Jiang Weijie,3282,826,2006-01-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kono Rin,3282,994,1997-06-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Seol Hyunjun,3279,375,2014-04-12,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kim Junghyun,3278,354,2009-02-28,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lian Xiao,3277,799,2007-01-26,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Han Woojin,3276,158,2019-01-25,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Koike Yoshihiro,3276,219,2015-10-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Sakai Yuki,3276,193,2018-10-25,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Otake Yu,3272,217,2016-02-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Chen Yaoye,3271,1066,2002-08-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Hirose Yuichi,3269,250,2016-01-08,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Huang Yunsong,3269,548,2010-12-07,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Onishi Ryuhei,3268,281,2015-02-17,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kang Yootaek,3267,342,2007-12-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Hirata Tomoya,3266,263,2009-10-29,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Tao Xinran,3266,577,2007-07-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Ida Atsushi,3265,553,2009-09-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Peng Liyao,3264,717,2005-07-13,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Murakawa Daisuke,3263,684,2005-02-03,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Wang Xi,3261,678,1999-04-16,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Chen Xian,3259,366,2012-03-14,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Xue Guanhua,3256,85,2015-02-05,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Zhang Tao,3254,439,2007-07-11,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Chen Shiyuan,3253,813,2001-12-20,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Jian Jingting,3253,549,2015-02-12,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Park Sangjin,3253,244,2016-01-22,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Lin Lixiang,3244,680,2008-11-17,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yamashita Keigo,3244,1370,1994-02-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Kim Jinhwi,3242,190,2011-01-26,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Zhou Hongyu,3240,415,2015-08-29,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yokotsuka Riki,3238,139,2015-02-04,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Cho U,3237,1267,1996-03-20,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Suzuki Shinji,3236,311,2008-10-02,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Miura Taro,3233,126,2020-03-12,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Ueno Asami,3232,482,2016-08-09,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Yoo Changhyuk,3230,1153,1984-04-13,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Hong Seongji,3229,521,2002-08-01,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
Seto Taiki,3229,496,2001-10-17,3000,TRUE,Pass1_FlatStart,Flat3000,3000,20,20,100,25
