Date,Black,White,ResultCode,GameKey,BlackFirstAppearance,WhiteFirstAppearance,BlackStartRating,WhiteStartRating,Gb_Before,Gw_Before,Kb,Kw,Rb_Before,Rw_Before,ExpectedBlack,ExpectedWhite,Rb_After,Rw_After,Gb_After,Gw_After
2023-01-01,Hong Mujin,Cho Hanseung,B+R,2023-01-01|Hong Mujin|Cho Hanseung|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-01,Kang Dongyun,Shin Minjun,W+R,2023-01-01|Kang Dongyun|Shin Minjun|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-01,Kang Seungmin,Choi Jeong,B+1.5,2023-01-01|Kang Seungmin|Choi Jeong|B+1.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-01,Shin Minjun,Han Seungjoo,B+R,2023-01-01|Shin Minjun|Han Seungjoo|B+R,FALSE,TRUE,3000,3000,1,0,40,40,3020,3000,0.5287505638922686,0.4712494361077314,3038.8499774443094,2981.1500225556906,2,1
2023-01-01,Yun Junsang,Han Seungjoo,W+R,2023-01-01|Yun Junsang|Han Seungjoo|W+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,2981.1500225556906,0.527100712514422,0.47289928748557797,2978.915971499423,3002.2340510562676,1,2
2023-01-02,An Sungjoon,Lee Yeonggu,W+R,2023-01-02|An Sungjoon|Lee Yeonggu|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-02,Geum Jiwoo,Moon Minjong,B+4.5,2023-01-02|Geum Jiwoo|Moon Minjong|B+4.5,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-02,Kim Junghyun,Kang Dongyun,W+R,2023-01-02|Kim Junghyun|Kang Dongyun|W+R,TRUE,FALSE,3000,3000,0,1,40,40,3000,2980,0.5287505638922686,0.4712494361077314,2978.8499774443094,3001.1500225556906,1,2
2023-01-02,Lee Jihyun (m),Shin Jinseo,W+R,2023-01-02|Lee Jihyun (m)|Shin Jinseo|W+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,2980,3020,1,1
2023-01-03,Chen Pinhua,Liu Jianchang,B+R,2023-01-03|Chen Pinhua|Liu Jianchang|B+R,TRUE,TRUE,3000,3000,0,0,40,40,3000,3000,0.5,0.5,3020,2980,1,1
2023-01-03,Cho Hanseung,Hong Kipyo,B+R,2023-01-03|Cho Hanseung|Hong Kipyo|B+R,FALSE,TRUE,3000,3000,1,0,40,40,2980,3000,0.4712494361077314,0.5287505638922686,3001.1500225556906,2978.8499774443094,2,1
